measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Generation","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Quantity Consumed For Electricity","Waste/Other Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Waste Oil - Total Fuel Consumed"
2003-01-01,32899.0,473953.0,526410.0,86.0,1237.0,1375.0
2003-02-01,31385.485,408150.0,471307.0,90.268,1174.0,1356.0
2003-03-01,36065.987,339458.0,407363.0,119.07700000000001,1123.0,1348.0
2003-04-01,13187.0,185635.0,230492.0,213.0,3003.0,3728.0
2003-05-01,13945.0,295412.0,335428.0,139.0,2952.0,3352.0
2003-06-01,38413.0,432268.0,480368.0,104.0,1166.0,1296.0
2003-07-01,31864.0,453222.0,490157.0,85.0,1215.0,1313.0
2003-08-01,31066.0,454218.0,493598.0,69.0,1007.0,1094.0
2003-09-01,36776.0,327841.0,372897.0,200.0,1787.0,2033.0
2003-10-01,14550.0,204262.0,247199.0,152.0,2129.0,2576.0
2003-11-01,14729.0,268451.0,315965.0,78.0,1423.0,1674.0
2003-12-01,36430.0,442317.0,510989.0,106.0,1283.0,1482.0
2004-01-01,3495.94276,40990.23,46692.79,20.19724,236.81,269.76
2004-02-01,3365.74071,39463.6,44953.67,20.19729,236.81,269.76
2004-03-01,3266.27275,38297.34,43625.24,20.19725,236.81,269.76
2004-04-01,2709.40864,31768.05,36187.4,20.19736,236.82,269.76
2004-05-01,3175.39275,37231.76,42411.43,20.19725,236.81,269.76
2004-06-01,3028.21871,35506.13,40445.63,20.19729,236.82,269.76
2004-07-01,3497.77871,41011.76,46717.2,20.19729,236.81,269.76
2004-08-01,3226.35569,37829.3,43091.96,20.197309999999998,236.82,269.76
2004-09-01,2482.06578,29102.44,33151.2,20.197219999999998,236.81,269.76
2004-10-01,2699.70766,31654.31,36057.87,20.19734,236.82,269.76
2004-11-01,2564.07364,30064.0,34246.28,20.19736,236.82,269.76
2004-12-01,2960.20169,34708.62,39537.14,20.197309999999998,236.82,269.76
