measured_on,"Other Gases-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Gases-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Gases-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2020-01-01,2149.456,21971.0,21971.0
2020-02-01,2130.258,21775.0,21775.0
2020-03-01,1989.466,20335.0,20335.0
2020-04-01,1636.646,16730.0,16730.0
2020-05-01,1654.721,16914.0,16914.0
2020-06-01,1262.497,12905.0,12905.0
2020-07-01,1397.2,14281.0,14281.0
2020-08-01,1406.365,14375.0,14375.0
2020-09-01,1533.928,15679.0,15679.0
2020-10-01,1921.216,19638.0,19638.0
2020-11-01,1982.057,20260.0,20260.0
2020-12-01,1923.19,19659.0,19659.0
2021-01-01,630.665,7723.0,7723.0
2021-02-01,543.28,6653.0,6653.0
2021-03-01,574.134,7030.0,7030.0
2021-04-01,481.727,5898.0,5898.0
2021-05-01,464.219,5684.0,5684.0
2021-06-01,510.243,6248.0,6248.0
2021-07-01,567.068,6944.0,6944.0
2021-08-01,546.129,6687.0,6687.0
2021-09-01,531.914,6513.0,6513.0
2021-10-01,530.356,6495.0,6495.0
2021-11-01,530.38,6495.0,6495.0
2021-12-01,541.885,6636.0,6636.0
2022-01-01,204.309,2346.0,2346.0
2022-02-01,178.157,2046.0,2046.0
2022-03-01,202.843,2329.0,2329.0
2022-04-01,198.454,2279.0,2279.0
2022-05-01,235.971,2709.0,2709.0
2022-06-01,228.42,2623.0,2623.0
2022-07-01,258.869,2972.0,2972.0
2022-08-01,230.592,2648.0,2648.0
2022-09-01,228.304,2621.0,2621.0
2022-10-01,198.651,2281.0,2281.0
2022-11-01,224.082,2573.0,2573.0
2022-12-01,220.348,2530.0,2530.0
2023-01-01,0.0,283.0,283.0
2023-02-01,0.0,261.0,261.0
2023-03-01,0.0,238.0,238.0
2023-04-01,0.0,184.0,184.0
2023-05-01,0.0,216.0,216.0
2023-06-01,0.0,208.0,208.0
2023-07-01,0.0,266.0,266.0
2023-08-01,0.0,332.0,332.0
2023-09-01,0.0,264.0,264.0
2023-10-01,0.0,273.0,273.0
2023-11-01,0.0,301.0,301.0
2023-12-01,0.0,308.0,308.0
