measured_on,"Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Black Liquor - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Generation","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Quantity Consumed For Electricity","Sludge Waste - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other Renewables - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,51.864000000000004,1217.0,1217.0,9.342,219.0,219.0,8192.052,192306.0,192306.0,,,,41.561,975.0,975.0,963.8480000000001,22626.0,22626.0,16464.257,386493.0,386493.0
2003-02-01,44.713,1050.0,1050.0,8.054,189.0,189.0,7062.572,165791.0,165791.0,,,,35.831,841.0,841.0,830.957,19507.0,19507.0,14194.247,333206.0,333206.0
2003-03-01,43.724000000000004,1026.0,1026.0,7.876,185.0,185.0,6906.279,162122.0,162122.0,,,,35.038000000000004,822.0,822.0,812.568,19075.0,19075.0,13880.131000000001,325832.0,325832.0
2003-04-01,40.132000000000005,942.0,942.0,7.229,169.0,169.0,6338.942,148804.0,148804.0,,,,32.16,755.0,755.0,745.818,17508.0,17508.0,12739.907,299065.0,299065.0
2003-05-01,50.443000000000005,1184.0,1184.0,9.086,213.0,213.0,7967.55,187035.0,187035.0,,,,40.422000000000004,949.0,949.0,937.4340000000001,22006.0,22006.0,16013.056,375902.0,375902.0
2003-06-01,52.905,1242.0,1242.0,9.53,223.0,223.0,8356.531,196167.0,196167.0,,,,42.395,995.0,995.0,983.2,23081.0,23081.0,16794.825,394253.0,394253.0
2003-07-01,58.572,1375.0,1375.0,10.551,247.0,247.0,9251.549,217177.0,217177.0,,,,46.936,1101.0,1101.0,1088.505,25553.0,25553.0,18593.619,436480.0,436480.0
2003-08-01,60.841,1428.0,1428.0,10.96,257.0,257.0,9610.0,225591.0,225591.0,,,,48.755,1144.0,1144.0,1130.679,26543.0,26543.0,19314.025999999998,453391.0,453391.0
2003-09-01,50.837,1193.0,1193.0,9.158000000000001,215.0,215.0,8029.897,188499.0,188499.0,,,,40.738,956.0,956.0,944.769,22178.0,22178.0,16138.36,378843.0,378843.0
2003-10-01,45.339,1064.0,1064.0,8.167,191.0,191.0,7161.361000000001,168110.0,168110.0,,,,36.332,853.0,853.0,842.58,19780.0,19780.0,14392.79,337866.0,337866.0
2003-11-01,44.917,1054.0,1054.0,8.091000000000001,190.0,190.0,7094.714,166546.0,166546.0,,,,35.994,845.0,845.0,834.739,19595.0,19595.0,14258.844000000001,334722.0,334722.0
2003-12-01,49.715,1167.0,1167.0,8.955,210.0,210.0,7852.553000000001,184336.0,184336.0,,,,39.839,935.0,935.0,923.904,21689.0,21689.0,15781.938,370476.0,370476.0
2004-01-01,12970.34866,128012.16,1046727.0,65.51301,646.59,5287.0,3288.6915000000004,32458.07,265402.44,,,,522.72614,5159.1,42184.8,147.50648999999999,1455.83,11904.0,2748.0222000000003,27121.88,221769.6
