measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Petroleum Coke-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Waste/Other Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Liquids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,,,,1411.0,13647.0,53632.0,,,,,,,8692.0,84083.0,330431.0,3266.0,31592.0,124151.0
2003-02-01,,,,,,,981.0,9797.0,44045.0,,,,,,,5675.0,56679.0,254814.0,1983.0,19807.0,89046.0
2003-03-01,,,,,,,1132.0,10069.0,42106.0,,,,,,,6774.0,60249.0,251920.0,2718.0,24175.0,101082.0
2003-04-01,,,,,,,972.0,12042.0,40224.0,,,,,,,6489.0,80397.0,268563.0,3478.0,43095.0,143956.0
2003-05-01,,,,,,,1033.0,10072.0,38394.0,,,,,,,6956.0,67811.0,258473.0,2616.0,25502.0,97205.0
2003-06-01,,,,,,,631.0,5988.0,23738.0,,,,,,,7066.0,67082.0,265963.0,2656.0,25218.0,99986.0
2003-07-01,,,,,,,876.0,9864.0,33939.0,,,,,,,9068.0,102126.0,351388.0,3102.0,34937.0,120208.0
2003-08-01,,,,,,,399.0,3742.0,15264.0,,,,,,,7439.0,69732.0,284469.0,2664.0,24975.0,101886.0
2003-09-01,,,,,,,1408.0,13311.0,56454.0,,,,,,,6641.0,62778.0,266253.0,1109.0,10486.0,44475.0
2003-10-01,,,,,,,801.0,8084.0,30509.0,,,,,,,9362.0,94538.0,356788.0,3411.0,34449.0,130011.0
2003-11-01,,,,,,,1256.0,11174.0,49536.0,,,,,,,6292.0,55988.0,248222.0,2713.0,24141.0,107026.0
2004-01-01,,,,,,,2802.50367,34218.05,122663.17,,,,,,,6517.03021,79571.74,285244.79,3244.85011,39619.02,142024.29
2004-02-01,,,,,,,2980.45162,36390.76,130522.5,,,,,,,6513.50014,79528.63,285244.79,2890.30824,35290.13,126574.86
2004-03-01,,,,,,,1609.2540000000001,19648.69,70268.61,,,,,,,6532.52331,79760.9,285244.79,2889.59269,35281.39,126175.02
2004-04-01,,,,,,,243.66656,2975.12,10600.83,,,,,,,6556.52466,80053.95,285244.79,2458.32378,30015.68,106950.57
2004-05-01,,,,,,,53.641529999999996,654.95,2332.29,,,,,,,6560.49694,80102.46,285244.79,1538.78053,18788.23,66904.86
2004-06-01,,,,,,,0.0,0.0,0.0,,,,,,,6561.80768,80118.46,285244.79,2331.82632,28471.17,101365.56
