measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed"
2019-06-01,3214.866,29005.0,29005.0
2019-07-01,4069.238,36713.0,36713.0
2019-08-01,3979.084,35900.0,35900.0
2019-09-01,3415.195,30812.0,30812.0
2019-10-01,3244.995,29276.0,29276.0
2019-11-01,2828.807,25521.0,25521.0
2019-12-01,3177.815,28670.0,28670.0
2020-01-01,3597.767,32634.0,32634.0
2020-02-01,3288.937,29832.0,29832.0
2020-03-01,3252.703,29503.0,29503.0
2020-04-01,2553.281,23159.0,23159.0
2020-05-01,2678.611,24296.0,24296.0
2020-06-01,3571.006,32390.0,32390.0
2020-07-01,4522.05,41016.0,41016.0
2020-08-01,4466.242,40510.0,40510.0
2020-09-01,3998.557,36268.0,36268.0
2020-10-01,3455.806,31345.0,31345.0
2020-11-01,2624.108,23802.0,23802.0
2020-12-01,3711.932,33668.0,33668.0
2021-01-01,3932.032,35690.0,35690.0
2021-02-01,3517.374,31925.0,31925.0
2021-03-01,3495.35,31725.0,31725.0
2021-04-01,2960.175,26867.0,26867.0
2021-05-01,3411.539,30964.0,30964.0
2021-06-01,3926.495,35637.0,35637.0
2021-07-01,4298.815,39017.0,39017.0
2021-08-01,4291.063,38947.0,38947.0
2021-09-01,3844.628,34894.0,34894.0
2021-10-01,3353.265,30435.0,30435.0
2021-11-01,3477.581,31564.0,31564.0
2021-12-01,4008.683,36383.0,36383.0
2022-01-01,4600.189,41753.0,41753.0
2022-02-01,4284.326,38886.0,38886.0
2022-03-01,4451.527,40403.0,40403.0
2022-04-01,3540.945,32139.0,32139.0
2022-05-01,3730.159,33856.0,33856.0
2022-06-01,4462.925,40507.0,40507.0
2022-07-01,5321.985,48303.0,48303.0
2022-08-01,5283.095,47950.0,47950.0
2022-09-01,4781.352,43397.0,43397.0
2022-10-01,4537.684,41185.0,41185.0
2022-11-01,4106.974,37276.0,37276.0
2022-12-01,4695.839,42620.0,42620.0
2023-01-01,5994.419,54984.0,54984.0
2023-02-01,5486.88,50328.0,50328.0
2023-03-01,5780.814,53024.0,53024.0
2023-04-01,4535.77,41604.0,41604.0
2023-05-01,4883.94,44797.0,44797.0
2023-06-01,5891.371,54038.0,54038.0
2023-07-01,6656.995,61061.0,61061.0
2023-08-01,6585.569,60405.0,60405.0
2023-09-01,5876.066,53898.0,53898.0
2023-10-01,4442.2,40746.0,40746.0
2023-11-01,4519.123,41451.0,41451.0
2023-12-01,5447.853,49970.0,49970.0
2024-01-01,3728.294,40045.0,40045.0
2024-02-01,3668.031,39397.0,39397.0
2024-03-01,3867.114,41535.0,41535.0
2024-04-01,3088.877,33177.0,33177.0
2024-05-01,3669.939,39418.0,39418.0
2024-06-01,4162.076,44704.0,44704.0
2024-07-01,4494.81,48277.0,48277.0
2024-08-01,4328.875,46494.0,46494.0
2024-09-01,3784.091,40643.0,40643.0
2024-10-01,2871.666,30843.0,30843.0
2024-11-01,3288.736,35323.0,35323.0
2024-12-01,3935.491,42269.0,42269.0
