measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Jet Fuel-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,376.696,3912.0,3912.0,,,
2003-02-01,333.711,3466.0,3466.0,,,
2003-03-01,344.675,3580.0,3580.0,,,
2003-04-01,302.66200000000003,3143.0,3143.0,,,
2003-05-01,297.033,3085.0,3085.0,,,
2003-06-01,282.64300000000003,2935.0,2935.0,,,
2003-07-01,302.498,3141.0,3141.0,,,
2003-08-01,289.612,3008.0,3008.0,,,
2003-09-01,309.78200000000004,3217.0,3217.0,,,
2003-10-01,333.939,3468.0,3468.0,,,
2003-11-01,350.401,3639.0,3639.0,,,
2003-12-01,391.348,4064.0,4064.0,,,
2004-01-01,237.32600000000002,2554.0,2554.0,,,
2004-02-01,306.988,3303.0,3303.0,,,
2004-03-01,275.511,2965.0,2965.0,,,
2004-04-01,186.811,2010.0,2010.0,,,
2004-05-01,202.58800000000002,2180.0,2180.0,,,
2004-06-01,194.59900000000002,2094.0,2094.0,,,
2004-07-01,309.909,3335.0,3335.0,,,
2004-08-01,328.082,3530.0,3530.0,,,
2004-09-01,267.182,2875.0,2875.0,,,
2004-10-01,195.416,2103.0,2103.0,,,
2004-11-01,113.57900000000001,1222.0,1222.0,,,
2004-12-01,110.01,1184.0,1184.0,,,
2005-01-01,382.265,4189.11,4189.11,,,
2005-02-01,131.334,1439.24,1439.24,,,
2005-03-01,145.567,1595.22,1595.22,,,
2005-04-01,176.323,1932.26,1932.26,,,
2005-05-01,163.75900000000001,1794.58,1794.58,,,
2005-06-01,212.544,2329.19,2329.19,,,
2005-07-01,216.34400000000002,2370.83,2370.83,,,
2005-08-01,254.151,2785.15,2785.15,,,
2005-09-01,166.37,1823.19,1823.19,,,
2005-10-01,184.756,2024.68,2024.68,,,
2005-11-01,148.52800000000002,1627.67,1627.67,,,
2005-12-01,314.059,3441.66,3441.66,,,
2006-01-01,374.55,4091.0,4091.0,,,
2006-02-01,195.99,2140.0,2140.0,,,
2006-03-01,164.633,1798.0,1798.0,,,
2006-04-01,315.362,3444.0,3444.0,,,
2006-05-01,294.785,3219.0,3219.0,,,
2006-06-01,267.939,2926.0,2926.0,,,
2006-07-01,388.11600000000004,4239.0,4239.0,,,
2006-08-01,376.47,4111.0,4111.0,,,
2006-09-01,172.95600000000002,1889.0,1889.0,,,
2006-10-01,182.698,1995.0,1995.0,,,
2006-11-01,215.132,2349.0,2349.0,,,
2006-12-01,238.369,2603.0,2603.0,,,
2007-01-01,164.281,1879.0,1879.0,,,
2007-02-01,127.224,1456.0,1456.0,,,
2007-03-01,251.585,2877.0,2877.0,,,
2007-04-01,153.029,1746.0,1746.0,,,
2007-05-01,141.184,1612.0,1612.0,,,
2007-06-01,138.026,1578.0,1578.0,,,
2007-07-01,203.811,2332.0,2332.0,,,
2007-08-01,257.26800000000003,2941.0,2941.0,,,
2007-09-01,213.71,2442.0,2442.0,,,
2007-10-01,258.09,2946.0,2946.0,,,
2007-11-01,189.33800000000002,2163.0,2163.0,,,
2007-12-01,271.454,3103.0,3103.0,,,
2008-01-01,311.534,3576.0,3576.0,,,
2008-02-01,285.154,3264.0,3264.0,,,
2008-03-01,190.80700000000002,2184.0,2184.0,,,
2008-04-01,192.547,2202.0,2202.0,,,
2008-05-01,201.417,2304.0,2304.0,,,
2008-06-01,134.927,1542.0,1542.0,,,
2008-07-01,140.199,1602.0,1602.0,,,
2008-08-01,138.745,1590.0,1590.0,,,
2008-09-01,144.767,1656.0,1656.0,,,
2008-10-01,164.80700000000002,1884.0,1884.0,,,
2008-11-01,200.99200000000002,2298.0,2298.0,,,
2008-12-01,341.10400000000004,3906.0,3906.0,,,
2009-01-01,333.832,3828.0,3828.0,,,
2009-02-01,245.01,2814.0,2814.0,,,
2009-03-01,254.483,2922.0,2922.0,,,
2009-04-01,261.476,3006.0,3006.0,,,
2009-05-01,156.761,1800.0,1800.0,,,
2009-06-01,153.94,1770.0,1770.0,,,
2009-07-01,173.55200000000002,1992.0,1992.0,,,
2009-08-01,172.65300000000002,1986.0,1986.0,,,
2009-09-01,115.01,1320.0,1320.0,,,
2009-10-01,113.95400000000001,1308.0,1308.0,,,
2009-11-01,216.609,2490.0,2490.0,,,
2009-12-01,219.72,2526.0,2526.0,,,
2010-01-01,313.971,3540.0,3540.0,,,
2010-02-01,249.45700000000002,2817.0,2817.0,,,
2010-03-01,220.798,2493.0,2493.0,,,
2010-04-01,195.48100000000002,2205.0,2205.0,,,
2010-05-01,162.55200000000002,1835.0,1835.0,,,
2010-06-01,127.60000000000001,1441.0,1441.0,,,
2010-07-01,146.39700000000002,1652.0,1652.0,,,
2010-08-01,149.257,1682.0,1682.0,,,
2010-09-01,136.666,1541.0,1541.0,,,
2010-10-01,163.822,1846.0,1846.0,,,
2010-11-01,186.592,2105.0,2105.0,,,
2010-12-01,339.40700000000004,3828.0,3828.0,,,
2011-01-01,322.64,3532.0,3532.0,,,
2011-02-01,288.131,3155.0,3155.0,,,
2011-03-01,252.255,2767.0,2767.0,,,
2011-04-01,163.439,1792.0,1792.0,,,
2011-05-01,171.298,1879.0,1879.0,,,
2011-06-01,159.15,1746.0,1746.0,,,
2011-07-01,168.181,1844.0,1844.0,,,
2011-08-01,151.796,1665.0,1665.0,,,
2011-09-01,168.224,1844.0,1844.0,,,
2011-10-01,297.402,3260.0,3260.0,,,
2011-11-01,275.351,3016.0,3016.0,,,
2011-12-01,272.133,2981.0,2981.0,,,
2012-01-01,319.809,3352.0,3352.0,,,
2012-02-01,188.623,1978.0,1978.0,,,
2012-03-01,286.083,2999.0,2999.0,,,
2012-04-01,181.144,1897.0,1897.0,,,
2012-05-01,226.675,2372.0,2372.0,,,
2012-06-01,184.975,1937.0,1937.0,,,
2012-07-01,289.221,3028.0,3028.0,,,
2012-08-01,269.499,2825.0,2825.0,,,
2012-09-01,250.894,2627.0,2627.0,,,
2012-10-01,186.36,1955.0,1955.0,,,
2012-11-01,199.87,2094.0,2094.0,,,
2012-12-01,307.847,3225.0,3225.0,,,
2013-01-01,343.473,3457.0,3457.0,,,
2013-02-01,236.983,2384.0,2384.0,,,
2013-03-01,239.708,2413.0,2413.0,,,
2013-04-01,276.494,2784.0,2784.0,,,
2013-05-01,278.655,2807.0,2807.0,,,
2013-06-01,200.114,2013.0,2013.0,,,
2013-07-01,189.478,1908.0,1908.0,,,
2013-08-01,186.948,1879.0,1879.0,,,
2013-09-01,219.404,2210.0,2210.0,,,
2013-10-01,211.126,2123.0,2123.0,,,
2013-11-01,275.188,2772.0,2772.0,,,
2013-12-01,311.429,3138.0,3138.0,,,
2014-01-01,278.135,3039.0,3039.0,,,
2014-02-01,263.898,2877.0,2877.0,,,
2014-03-01,257.613,2813.0,2813.0,,,
2014-04-01,242.045,2639.0,2639.0,,,
2014-05-01,204.368,2227.0,2227.0,,,
2014-06-01,121.813,1328.0,1328.0,,,
2014-07-01,215.353,2349.0,2349.0,,,
2014-08-01,173.267,1891.0,1891.0,,,
2014-09-01,203.854,2221.0,2221.0,,,
2014-10-01,269.477,2941.0,2941.0,,,
2014-11-01,196.968,2152.0,2152.0,,,
2014-12-01,256.209,2796.0,2796.0,,,
2015-01-01,226.976,2471.0,2471.0,0.0,0.0,0.0
2015-02-01,200.175,2175.0,2175.0,0.0,0.0,0.0
2015-03-01,201.371,2187.0,2187.0,0.0,0.0,0.0
2015-04-01,208.547,2268.0,2268.0,0.0,0.0,0.0
2015-05-01,167.602,1821.0,1821.0,0.0,0.0,0.0
2015-06-01,166.978,1815.0,1815.0,0.0,0.0,0.0
2015-07-01,173.52,1885.0,1885.0,0.0,0.0,0.0
2015-08-01,197.001,2140.0,2140.0,0.0,0.0,0.0
2015-09-01,177.423,1931.0,1931.0,0.0,0.0,0.0
2015-10-01,202.984,2204.0,2204.0,0.0,0.0,0.0
2015-11-01,141.93,1543.0,1543.0,0.0,0.0,0.0
2015-12-01,136.493,1485.0,1485.0,0.0,0.0,0.0
2016-01-01,173.434,1873.0,1873.0,0.0,0.0,0.0
2016-02-01,192.468,2076.0,2076.0,0.0,0.0,0.0
2016-03-01,182.142,1966.0,1966.0,0.0,0.0,0.0
2016-04-01,149.164,1612.0,1612.0,0.0,0.0,0.0
2016-05-01,136.064,1467.0,1467.0,0.0,0.0,0.0
2016-06-01,136.865,1479.0,1479.0,0.0,0.0,0.0
2016-07-01,114.495,1235.0,1235.0,0.0,0.0,0.0
2016-08-01,150.054,1618.0,1618.0,0.0,0.0,0.0
2016-09-01,152.896,1653.0,1653.0,0.0,0.0,0.0
2016-10-01,175.576,1897.0,1897.0,0.0,0.0,0.0
2016-11-01,245.003,2645.0,2645.0,0.0,0.0,0.0
2016-12-01,330.839,3573.0,3573.0,0.0,0.0,0.0
2017-01-01,196.779,2158.0,2158.0,0.0,0.0,0.0
2017-02-01,158.887,1746.0,1746.0,0.0,0.0,0.0
2017-03-01,182.944,2013.0,2013.0,0.0,0.0,0.0
2017-04-01,168.672,1856.0,1856.0,0.0,0.0,0.0
2017-05-01,168.491,1850.0,1850.0,0.0,0.0,0.0
2017-06-01,177.714,1955.0,1955.0,0.0,0.0,0.0
2017-07-01,181.1,1989.0,1989.0,0.0,0.0,0.0
2017-08-01,187.066,2053.0,2053.0,0.0,0.0,0.0
2017-09-01,186.067,2042.0,2042.0,0.0,0.0,0.0
2017-10-01,189.907,2088.0,2088.0,0.0,0.0,0.0
2017-11-01,168.203,1850.0,1850.0,0.0,0.0,0.0
2017-12-01,171.17,1879.0,1879.0,0.0,0.0,0.0
2018-01-01,170.904,1630.0,1630.0,0.0,0.0,0.0
2018-02-01,159.39,1514.0,1514.0,0.0,0.0,0.0
2018-03-01,159.414,1514.0,1514.0,0.0,0.0,0.0
2018-04-01,161.026,1525.0,1525.0,0.0,0.0,0.0
2018-05-01,184.248,1746.0,1746.0,0.0,0.0,0.0
2018-06-01,172.015,1630.0,1630.0,0.0,0.0,0.0
2018-07-01,185.354,1757.0,1757.0,0.0,0.0,0.0
2018-08-01,189.279,1798.0,1798.0,0.0,0.0,0.0
2018-09-01,192.672,1827.0,1827.0,0.0,0.0,0.0
2018-10-01,202.303,1920.0,1920.0,0.0,0.0,0.0
2018-11-01,182.024,1728.0,1728.0,0.0,0.0,0.0
2018-12-01,174.371,1653.0,1653.0,0.0,0.0,0.0
2019-01-01,151.76,1334.0,1334.0,0.0,0.0,0.0
2019-02-01,168.683,1479.0,1479.0,0.0,0.0,0.0
2019-03-01,167.168,1467.0,1467.0,0.0,0.0,0.0
2019-04-01,153.625,1346.0,1346.0,0.0,0.0,0.0
2019-05-01,167.194,1467.0,1467.0,0.0,0.0,0.0
2019-06-01,143.662,1259.0,1259.0,0.0,0.0,0.0
2019-07-01,163.635,1433.0,1433.0,0.0,0.0,0.0
2019-08-01,181.176,1589.0,1589.0,0.0,0.0,0.0
2019-09-01,215.133,1885.0,1885.0,0.0,0.0,0.0
2019-10-01,226.102,1984.0,1984.0,0.0,0.0,0.0
2019-11-01,171.747,1508.0,1508.0,0.0,0.0,0.0
2019-12-01,229.115,2013.0,2013.0,0.0,0.0,0.0
2020-01-01,266.84,2285.0,2285.0,0.0,0.0,0.0
2020-02-01,172.99,1485.0,1485.0,0.0,0.0,0.0
2020-03-01,174.651,1496.0,1496.0,0.0,0.0,0.0
2020-04-01,167.596,1438.0,1438.0,0.0,0.0,0.0
2020-05-01,141.909,1218.0,1218.0,0.0,0.0,0.0
2020-06-01,178.67,1531.0,1531.0,0.0,0.0,0.0
2020-07-01,232.9,1995.0,1995.0,0.0,0.0,0.0
2020-08-01,238.632,2047.0,2047.0,0.0,0.0,0.0
2020-09-01,151.74,1299.0,1299.0,0.0,0.0,0.0
2020-10-01,181.617,1554.0,1554.0,0.0,0.0,0.0
2020-11-01,140.842,1206.0,1206.0,0.0,0.0,0.0
2020-12-01,139.613,1195.0,1195.0,0.0,0.0,0.0
2021-01-01,104.612,1050.0,1050.0,0.0,0.0,0.0
2021-02-01,115.837,1172.0,1172.0,0.0,0.0,0.0
2021-03-01,125.278,1264.0,1264.0,0.0,0.0,0.0
2021-04-01,120.425,1218.0,1218.0,0.0,0.0,0.0
2021-05-01,62.366,632.0,632.0,0.0,0.0,0.0
2021-06-01,83.718,847.0,847.0,0.0,0.0,0.0
2021-07-01,81.814,829.0,829.0,0.0,0.0,0.0
2021-08-01,117.986,1195.0,1195.0,0.0,0.0,0.0
2021-09-01,152.815,1549.0,1549.0,0.0,0.0,0.0
2021-10-01,151.825,1537.0,1537.0,0.0,0.0,0.0
2021-11-01,118.544,1201.0,1201.0,0.0,0.0,0.0
2021-12-01,131.78,1334.0,1334.0,0.0,0.0,0.0
2022-01-01,114.218,1444.0,1444.0,37.166,470.0,470.0
2022-02-01,94.195,1195.0,1195.0,30.65,389.0,389.0
2022-03-01,109.081,1380.0,1380.0,35.494,447.0,447.0
2022-04-01,96.975,1230.0,1230.0,31.554,400.0,400.0
2022-05-01,90.879,1148.0,1148.0,29.571,377.0,377.0
2022-06-01,110.679,1404.0,1404.0,36.013,458.0,458.0
2022-07-01,100.807,1276.0,1276.0,32.801,418.0,418.0
2022-08-01,67.797,858.0,858.0,22.06,278.0,278.0
2022-09-01,79.421,1003.0,1003.0,25.842,325.0,325.0
2022-10-01,89.111,1131.0,1131.0,28.996,365.0,365.0
2022-11-01,84.602,1073.0,1073.0,27.528,348.0,348.0
2022-12-01,115.106,1456.0,1456.0,37.454,476.0,476.0
2023-01-01,124.284,1502.0,1502.0,32.572,389.0,389.0
2023-02-01,96.486,1160.0,1160.0,25.287,302.0,302.0
2023-03-01,91.056,1096.0,1096.0,23.864,290.0,290.0
2023-04-01,107.637,1293.0,1293.0,28.209,342.0,342.0
2023-05-01,106.36,1282.0,1282.0,27.874,336.0,336.0
2023-06-01,91.579,1102.0,1102.0,24.001,290.0,290.0
2023-07-01,86.716,1044.0,1044.0,22.726,273.0,273.0
2023-08-01,90.261,1085.0,1085.0,23.655,284.0,284.0
2023-09-01,78.283,945.0,945.0,20.516,249.0,249.0
2023-10-01,88.8,1067.0,1067.0,23.273,278.0,278.0
2023-11-01,111.988,1351.0,1351.0,29.35,354.0,354.0
2023-12-01,122.99,1479.0,1479.0,32.233,389.0,389.0
2024-01-01,151.631,1421.0,1421.0,0.0,0.0,0.0
