measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,333939.0,3348202.0,3348202.0,3422.0,38541.0,38541.0
2003-02-01,336935.0,3611373.0,3611373.0,1104.0,13050.0,13050.0
2003-03-01,271581.0,2849046.0,2849046.0,2122.0,24343.0,24343.0
2003-04-01,251588.0,2687388.0,2687388.0,1981.0,23768.0,23768.0
2003-05-01,119419.0,1326339.0,1326339.0,3953.0,51666.0,51666.0
2003-06-01,98031.0,1056200.0,1056200.0,2708.0,36059.0,36059.0
2003-07-01,269062.0,2967162.0,2967162.0,1951.0,24169.0,24169.0
2003-08-01,283820.0,3121298.0,3121298.0,1909.0,23368.0,23368.0
2003-09-01,189362.0,2079414.0,2079414.0,3472.0,42062.0,42062.0
2003-10-01,130728.0,1417030.0,1417030.0,2612.0,30421.0,30421.0
2003-11-01,154646.0,1723186.0,1723186.0,2769.0,33761.0,33761.0
2003-12-01,222656.0,2275328.0,2275328.0,1508.0,17313.0,17313.0
2004-01-01,232123.0,2512928.0,2512928.0,4291.0,52183.0,52183.0
2004-02-01,352320.0,3648579.0,3648579.0,1471.0,16969.0,16969.0
2004-03-01,376465.0,3811076.0,3811076.0,1142.0,12882.0,12882.0
2004-04-01,278224.0,2891011.0,2891011.0,1749.0,19705.0,19705.0
2004-05-01,275951.0,2962131.0,2962131.0,1367.0,16194.0,16194.0
2004-06-01,216490.0,2383942.0,2383942.0,2746.0,32781.0,32781.0
2004-07-01,246965.0,2801655.0,2801655.0,2240.0,27069.0,27069.0
2004-08-01,191399.0,2155307.0,2155307.0,3204.0,38435.0,38435.0
2004-09-01,207734.0,2350310.0,2350310.0,1094.0,13298.0,13298.0
2004-10-01,253690.0,2752382.0,2752382.0,3555.0,40641.0,40641.0
2004-11-01,262502.0,2824156.0,2824156.0,2792.0,30649.0,30649.0
2004-12-01,275598.0,2972208.0,2972208.0,2088.0,23991.0,23991.0
2005-01-01,199461.0,2183506.38,2183506.38,2449.0,28847.75,28847.75
2005-02-01,240377.0,2599341.86,2599341.86,1801.0,21131.25,21131.25
2005-03-01,331166.0,3455295.78,3455295.78,1563.0,17382.25,17382.25
2005-04-01,263770.0,2831844.6,2831844.6,1658.0,18635.75,18635.75
2005-05-01,145605.0,1663118.59,1663118.59,3018.0,35799.5,35799.5
2005-06-01,230144.0,2526315.4,2526315.4,2021.0,23184.0,23184.0
2005-07-01,213856.0,2499258.16,2499258.16,2157.0,26306.25,26306.25
2005-08-01,269008.0,2994875.65,2994875.65,2332.0,26553.5,26553.5
2005-09-01,237486.0,2657140.04,2657140.04,1348.0,15427.25,15427.25
2005-10-01,307508.0,3424233.67,3424233.67,1329.0,14909.75,14909.75
2005-11-01,181071.0,1932530.96,1932530.96,1957.0,21551.0,21551.0
2005-12-01,232885.0,2532994.5,2532994.5,2934.0,33735.25,33735.25
2006-01-01,20644.0,338814.0,338814.0,607.0,10994.0,10994.0
2006-02-01,205101.0,2145539.0,2145539.0,2411.0,26715.0,26715.0
2006-03-01,250598.0,2705750.0,2705750.0,2507.0,28434.0,28434.0
2006-04-01,263212.0,2806641.0,2806641.0,2327.0,26122.0,26122.0
2006-05-01,239681.0,2658602.0,2658602.0,2241.0,25685.0,25685.0
2006-06-01,235394.0,2638149.0,2638149.0,2204.0,25335.0,25335.0
2006-07-01,251610.0,2862657.0,2862657.0,1942.0,22678.0,22678.0
2006-08-01,278609.0,2977940.0,2977940.0,1815.0,19941.0,19941.0
2006-09-01,23659.0,325604.0,325604.0,455.0,6423.0,6423.0
2006-10-01,221169.0,2414753.0,2414753.0,3395.0,38226.0,38226.0
2006-11-01,265753.0,2823680.0,2823680.0,2059.0,22931.0,22931.0
2006-12-01,237844.0,2584191.0,2584191.0,1532.0,17440.0,17440.0
2007-01-01,223718.727,2401535.0,2401535.0,3685.273,39560.0,39560.0
2007-02-01,339555.567,3561490.0,3561490.0,755.433,7924.0,7924.0
2007-03-01,274162.322,2669649.0,2669649.0,1984.678,19326.0,19326.0
2007-04-01,316404.396,3168107.0,3168107.0,990.6030000000001,9919.0,9919.0
2007-05-01,265947.918,3035994.0,3035994.0,1922.082,21942.0,21942.0
2007-06-01,274531.256,3055609.0,3055609.0,1391.7440000000001,15491.0,15491.0
2007-07-01,278062.646,3142336.0,3142336.0,1579.354,17848.0,17848.0
2007-08-01,289846.268,3272111.0,3272111.0,1348.732,15226.0,15226.0
2007-09-01,235762.25,2515341.0,2515341.0,1518.75,16204.0,16204.0
2007-10-01,219521.974,2270724.0,2270724.0,1373.025,14203.0,14203.0
2007-11-01,134178.832,1516947.0,1516947.0,1044.1680000000001,11805.0,11805.0
2007-12-01,190779.0,2232832.0,2232832.0,0.0,0.0,0.0
2008-01-01,330888.444,3458935.0,3458935.0,7890.5560000000005,82484.0,82484.0
2008-02-01,280744.445,2901185.0,2901185.0,4571.555,47242.0,47242.0
2008-03-01,173026.812,1883752.0,1883752.0,1645.188,17911.0,17911.0
2008-04-01,161326.691,1821198.0,1821198.0,3312.309,37392.0,37392.0
2008-05-01,283821.374,3189746.0,3189746.0,3546.626,39859.0,39859.0
2008-06-01,315738.846,3328833.0,3328833.0,3823.154,40308.0,40308.0
2008-07-01,301488.219,3342260.0,3342260.0,2298.781,25484.0,25484.0
2008-08-01,294431.327,3329954.0,3329954.0,2549.6730000000002,28836.0,28836.0
2008-09-01,134464.675,1533874.0,1533874.0,1590.325,18141.0,18141.0
2008-10-01,102214.825,1018295.0,1018295.0,2772.175,27617.0,27617.0
2008-11-01,120207.601,1432671.0,1432671.0,1322.3990000000001,15761.0,15761.0
2008-12-01,190282.785,2019986.0,2019986.0,3917.215,41584.0,41584.0
2009-01-01,148442.402,1578398.0,1578398.0,2342.598,24909.0,24909.0
2009-02-01,57130.937,685639.0,685639.0,1249.063,14990.0,14990.0
2009-03-01,82586.63,967720.0,967720.0,2173.37,25467.0,25467.0
2009-04-01,174288.093,1893187.0,1893187.0,1774.9070000000002,19280.0,19280.0
2009-05-01,167416.916,1842813.0,1842813.0,2091.0840000000003,23017.0,23017.0
2009-06-01,152123.712,1682264.0,1682264.0,1492.288,16503.0,16503.0
2009-07-01,200485.941,2341910.0,2341910.0,2567.059,29986.0,29986.0
2009-08-01,182272.632,2193887.0,2193887.0,3412.368,41072.0,41072.0
2009-09-01,77319.35800000001,867448.0,867448.0,1540.642,17285.0,17285.0
2009-10-01,214142.418,2434800.0,2434800.0,1776.582,20200.0,20200.0
2009-11-01,78252.693,904739.0,904739.0,1339.307,15485.0,15485.0
2009-12-01,284259.324,3142163.0,3142163.0,1718.6760000000002,18998.0,18998.0
2010-01-01,307095.99,3311273.0,3311273.0,1595.01,17198.0,17198.0
2010-02-01,266327.341,2825680.0,2825680.0,2598.659,27571.0,27571.0
2010-03-01,147781.45,1666091.0,1666091.0,1376.55,15519.0,15519.0
2010-04-01,157891.306,1756842.0,1756842.0,1454.694,16186.0,16186.0
2010-05-01,107994.454,1222510.0,1222510.0,2240.5460000000003,25363.0,25363.0
2010-06-01,283644.896,3275028.0,3275028.0,2213.1040000000003,25553.0,25553.0
2010-07-01,302828.995,3457720.0,3457720.0,1755.005,20039.0,20039.0
2010-08-01,280529.278,3277234.0,3277234.0,1436.722,16784.0,16784.0
2010-09-01,81532.49,950222.0,950222.0,2157.51,25145.0,25145.0
2010-10-01,35283.849,434994.0,434994.0,907.1510000000001,11184.0,11184.0
2010-11-01,94307.373,1054312.0,1054312.0,2480.627,27732.0,27732.0
2010-12-01,207967.321,2354783.0,2354783.0,2705.679,30636.0,30636.0
2011-01-01,193448.68,2063413.0,2063413.0,2384.319,25432.0,25432.0
2011-02-01,55306.112,631897.0,631897.0,1293.888,14783.0,14783.0
2011-03-01,13620.872,181008.0,181008.0,719.128,9557.0,9557.0
2011-04-01,13194.79,162286.0,162286.0,450.21,5537.0,5537.0
2011-05-01,18026.785,232967.0,232967.0,1214.215,15692.0,15692.0
2011-06-01,85561.944,972601.0,972601.0,1174.056,13346.0,13346.0
2011-07-01,193009.06,2183678.0,2183678.0,2436.944,27571.0,27571.0
2011-08-01,92435.314,993522.0,993522.0,660.686,7101.0,7101.0
2011-09-01,8668.824,124419.0,124419.0,368.176,5284.0,5284.0
2011-10-01,1880.443,47301.0,47301.0,159.557,4014.0,4014.0
2011-11-01,30156.482,417063.0,417063.0,567.518,7849.0,7849.0
2011-12-01,28895.934,294292.0,294292.0,713.066,7262.0,7262.0
2012-01-01,16614.088,296174.0,296174.0,1278.912,22799.0,22799.0
2012-02-01,9397.616,128024.0,128024.0,634.384,8642.0,8642.0
2012-03-01,-1781.558,0.0,0.0,-30.442,0.0,0.0
2012-04-01,0.0,0.0,0.0,-1705.0,1064.0,1064.0
2012-05-01,-1545.59,0.0,0.0,-26.41,0.0,0.0
2012-06-01,31702.11,355413.0,355413.0,1308.89,14674.0,14674.0
2012-07-01,117642.63,1345250.0,1345250.0,1128.372,12903.0,12903.0
2012-08-01,17354.504,219001.0,219001.0,241.496,3048.0,3048.0
2012-09-01,9726.067,133863.0,133863.0,256.933,3536.0,3536.0
2012-10-01,-1786.474,0.0,0.0,-30.526,0.0,0.0
2012-11-01,1785.213,39675.0,39675.0,408.787,9085.0,9085.0
2012-12-01,40092.598,449645.0,449645.0,1005.402,11276.0,11276.0
2013-01-01,47048.937,424093.0,424093.0,1041.063,9384.0,9384.0
2013-02-01,10856.865,177044.0,177044.0,417.135,6802.0,6802.0
2013-03-01,36916.564,426162.0,426162.0,802.436,9263.0,9263.0
2013-04-01,132137.74,1430338.0,1430338.0,864.258,9355.0,9355.0
2013-05-01,21829.926,283636.0,283636.0,708.074,9200.0,9200.0
2013-06-01,13754.571,195292.0,195292.0,539.429,7659.0,7659.0
2013-07-01,57432.752,684941.0,684941.0,911.248,10868.0,10868.0
2013-08-01,39317.16,460760.0,460760.0,585.84,6866.0,6866.0
2013-09-01,30638.347,385063.0,385063.0,563.653,7084.0,7084.0
2013-10-01,69362.728,821466.0,821466.0,946.272,11207.0,11207.0
2013-11-01,100243.76,1139179.0,1139179.0,993.239,11287.0,11287.0
2013-12-01,67264.924,798119.0,798119.0,1666.076,19769.0,19769.0
2014-01-01,147202.7,1742819.0,1742819.0,1581.305,18722.0,18722.0
2014-02-01,151234.3,1791794.0,1791794.0,687.701,8148.0,8148.0
2014-03-01,127138.11,1447506.0,1447506.0,590.893,6728.0,6728.0
2014-04-01,152291.06,1711220.0,1711220.0,782.939,8798.0,8798.0
2014-05-01,82779.765,901806.0,901806.0,640.235,6975.0,6975.0
2014-06-01,70510.982,912629.0,912629.0,1247.018,16140.0,16140.0
2014-07-01,35270.52,441407.0,441407.0,436.48,5463.0,5463.0
2014-08-01,45988.926,543499.0,543499.0,630.074,7446.0,7446.0
