measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Generation,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Quantity Consumed For Electricity,Hydroelectric - Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) - Hydroelectric Conventional - Total Fuel Consumed
2003-01-01,302.0,3010.0,3010.0,,,,809.0,8284.97,8284.97
2003-02-01,501.0,3840.0,3840.0,,,,390.0,3993.99,3993.99
2003-03-01,189.0,2088.0,2088.0,,,,505.0,5171.71,5171.71
2003-04-01,57.0,609.0,609.0,,,,1150.0,11777.15,11777.15
2003-05-01,9.0,116.0,116.0,,,,1128.0,11551.85,11551.85
2003-06-01,48.0,580.0,580.0,,,,680.0,6963.88,6963.88
2003-07-01,24.0,255.0,255.0,,,,388.0,3973.51,3973.51
2003-08-01,124.0,1299.0,1299.0,,,,629.0,6441.59,6441.59
2003-09-01,47.0,499.0,499.0,,,,349.0,3574.11,3574.11
2003-10-01,85.0,853.0,853.0,,,,781.0,7998.22,7998.22
2003-11-01,53.0,458.0,458.0,,,,701.0,7178.94,7178.94
2003-12-01,175.0,1868.0,1868.0,,,,732.0,7496.41,7496.41
2004-01-01,460.78400000000005,4597.0,4597.0,,,,520.813,5219.59,5219.59
2004-02-01,49.814,497.0,497.0,,,,323.438,3241.5,3241.5
2004-03-01,18.68,186.0,186.0,,,,890.624,8925.83,8925.83
2004-04-01,0.0,0.0,0.0,,,,1046.497,10487.99,10487.99
2004-05-01,0.0,0.0,0.0,,,,922.773,9248.03,9248.03
2004-06-01,0.0,0.0,0.0,,,,629.73,6311.15,6311.15
2004-07-01,0.0,0.0,0.0,,,,509.90200000000004,5110.24,5110.24
2004-08-01,24.907,249.0,249.0,,,,650.773,6522.05,6522.05
2004-09-01,31.134,311.0,311.0,,,,584.721,5860.07,5860.07
2004-10-01,18.68,186.0,186.0,,,,204.584,2050.34,2050.34
2004-11-01,0.0,0.0,0.0,,,,460.607,4616.2,4616.2
2004-12-01,0.0,0.0,0.0,,,,712.538,7141.06,7141.06
