measured_on,"Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,2432.281,12215.82,163661.4
2004-02-01,2028.404,10187.4,136485.68
2004-03-01,1841.308,9247.74,123896.46
2004-04-01,1704.03,8558.28,114659.33
2004-05-01,1802.517,9052.91,121286.32
2004-06-01,2021.6760000000002,10153.61,136032.96
2004-07-01,2189.326,10995.62,147313.67
2004-08-01,2188.884,10993.39,147283.91
2004-09-01,2185.902,10978.42,147083.22
2004-10-01,2262.324,11362.24,152225.38
2004-11-01,2054.362,10317.77,138232.22
2004-12-01,2225.746,11178.53,149764.22
2005-01-01,3085.706,15497.57,145573.7
2005-02-01,2801.681,14071.09,132174.41
2005-03-01,3003.222,15083.3,141682.42
2005-04-01,2470.7,12408.78,116559.72
2005-05-01,2347.23,11788.67,110734.86
2005-06-01,3008.652,15110.57,141938.61
2005-07-01,3356.777,16858.99,158361.89
2005-08-01,3324.8360000000002,16698.57,156855.04
2005-09-01,2995.165,15042.84,141302.25
2005-10-01,2804.842,14086.96,132323.44
2005-11-01,2754.4590000000003,13833.92,129946.49
2005-12-01,3177.219,15957.18,149890.97
2006-01-01,3486.679,17511.41,141195.58
2006-02-01,3278.2580000000003,16464.64,132755.45
2006-03-01,3201.2760000000003,16078.0,129638.09
2006-04-01,3204.3250000000003,16093.31,129761.41
2006-05-01,3369.98,16925.3,136469.87
2006-06-01,3447.405,17314.16,139605.28
2006-07-01,3620.232,18182.16,146603.9
2006-08-01,3618.6470000000004,18174.2,146539.73
2006-09-01,3268.0190000000002,16413.21,132340.86
2006-10-01,3199.58,16069.49,129569.27
2006-11-01,3243.813,16291.65,131360.64
2006-12-01,3457.435,17364.53,140011.31
2007-01-01,3581.032,17982.0,176022.0
2007-02-01,3101.223,15570.0,152424.0
2007-03-01,3308.3410000000003,16614.0,162612.0
2007-04-01,2668.83,13410.0,131184.0
2007-05-01,2876.523,14454.0,141390.0
2007-06-01,3180.5420000000004,15966.0,156330.0
2007-07-01,3529.433,17730.0,173484.0
2007-08-01,3536.206,17766.0,173808.0
2007-09-01,3008.599,15102.0,147870.0
2007-10-01,2602.9570000000003,13068.0,127944.0
2007-11-01,2696.9660000000003,13554.0,132552.0
2007-12-01,3440.588,17280.0,169110.0
2008-01-01,3372.63,16939.0,164502.0
2008-02-01,3391.648,17034.0,165420.0
2008-03-01,2792.386,14024.0,136188.0
2008-04-01,2466.7000000000003,12389.0,120312.0
2008-05-01,2525.2290000000003,12683.0,123174.0
2008-06-01,2804.414,14085.0,136782.0
2008-07-01,3140.9700000000003,15775.0,153198.0
2008-08-01,3020.501,15170.0,147330.0
2008-09-01,2687.5060000000003,13498.0,131076.0
2008-10-01,2382.387,11965.0,116190.0
2008-11-01,2512.5190000000002,12619.0,122544.0
2008-12-01,2973.39,14933.0,145026.0
2009-01-01,3181.9390000000003,15981.0,157896.0
2009-02-01,2891.9010000000003,14524.0,143514.0
2009-03-01,2848.8230000000003,14308.0,141372.0
2009-04-01,2456.282,12336.0,121896.0
2009-05-01,2276.665,11434.0,112986.0
2009-06-01,2384.252,11975.0,118314.0
2009-07-01,2786.638,13996.0,138294.0
2009-08-01,2676.4610000000002,13442.0,132822.0
2009-09-01,2539.972,12757.0,126054.0
2009-10-01,2508.585,12599.0,124488.0
2009-11-01,2496.705,12539.0,123894.0
