measured_on,"Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Generation Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Quantity Consumed For Electricity Unit 1","Nuclear - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Nuclear - Total Fuel Consumed Unit 1"
2003-01-01,426122.0,4440617.36,4440617.36
2003-02-01,174819.0,1821788.8,1821788.8
2003-03-01,315195.0,3284647.1,3284647.1
2003-04-01,129836.0,1353020.96,1353020.96
2003-05-01,428226.0,4462543.15,4462543.15
2003-06-01,412413.0,4297755.87,4297755.87
2003-07-01,421188.0,4389200.15,4389200.15
2003-08-01,419019.0,4366597.0,4366597.0
2003-09-01,414515.0,4319660.82,4319660.82
2003-10-01,428839.0,4468931.22,4468931.22
2003-11-01,47782.0,497936.22,497936.22
2003-12-01,369703.0,3852674.96,3852674.96
2004-01-01,436867.0,4555212.21,4555212.21
2004-02-01,406472.0,4238283.54,4238283.54
2004-03-01,435372.0,4539623.84,4539623.84
2004-04-01,348679.0,3635675.93,3635675.93
2004-05-01,430021.0,4483828.97,4483828.97
2004-06-01,412259.0,4298624.59,4298624.59
2004-07-01,425362.0,4435249.57,4435249.57
2004-08-01,424868.0,4430098.64,4430098.64
2004-09-01,410790.0,4283307.33,4283307.33
2004-10-01,358931.0,3742573.54,3742573.54
2004-11-01,405590.0,4229086.93,4229086.93
2004-12-01,433737.0,4522575.7,4522575.7
2005-01-01,435019.0,4539423.27,4539423.27
2005-02-01,389371.0,4063086.39,4063086.39
2005-03-01,335065.0,3496403.28,3496403.28
2005-04-01,-3758.0,0.0,0.0
2005-05-01,350046.0,3652730.01,3652730.01
2005-06-01,417219.0,4353680.27,4353680.27
2005-07-01,430679.0,4494135.37,4494135.37
2005-08-01,436209.0,4551840.92,4551840.92
2005-09-01,424708.0,4431827.98,4431827.98
2005-10-01,440751.0,4599236.69,4599236.69
2005-11-01,433268.0,4521151.58,4521151.58
2005-12-01,449736.0,4692995.16,4692995.16
2006-01-01,447826.0,4672616.0,4672616.0
2006-02-01,404283.0,4218289.0,4218289.0
2006-03-01,446131.0,4654931.0,4654931.0
2006-04-01,408722.0,4264605.0,4264605.0
2006-05-01,440321.0,4594309.0,4594309.0
2006-06-01,422145.0,4404661.0,4404661.0
2006-07-01,428371.0,4469623.0,4469623.0
2006-08-01,430874.0,4495739.0,4495739.0
2006-09-01,406505.0,4241473.0,4241473.0
2006-10-01,442826.0,4620446.0,4620446.0
2006-11-01,364834.0,3806678.0,3806678.0
2006-12-01,452604.0,4722470.0,4722470.0
2007-01-01,447618.0,4693275.0,4693275.0
2007-02-01,39080.0,409754.0,409754.0
2007-03-01,112431.0,1178839.0,1178839.0
2007-04-01,389138.0,4080112.0,4080112.0
2007-05-01,450516.0,4723660.0,4723660.0
2007-06-01,424532.0,4451218.0,4451218.0
2007-07-01,446502.0,4681573.0,4681573.0
2007-08-01,442377.0,4638323.0,4638323.0
2007-09-01,429795.0,4506401.0,4506401.0
2007-10-01,445362.0,4669621.0,4669621.0
2007-11-01,437740.0,4589704.0,4589704.0
2007-12-01,453784.0,4757925.0,4757925.0
2008-01-01,457143.0,4794516.0,4794516.0
2008-02-01,427569.0,4484344.0,4484344.0
2008-03-01,452124.0,4741877.0,4741877.0
2008-04-01,440067.0,4615423.0,4615423.0
2008-05-01,450927.0,4729322.0,4729322.0
2008-06-01,425093.0,4458375.0,4458375.0
2008-07-01,440375.0,4618653.0,4618653.0
2008-08-01,430578.0,4515902.0,4515902.0
2008-09-01,431845.0,4529190.0,4529190.0
2008-10-01,451846.0,4738961.0,4738961.0
2008-11-01,438708.0,4601170.0,4601170.0
2008-12-01,435927.0,4572002.0,4572002.0
2009-01-01,394244.0,4134831.0,4134831.0
2009-02-01,5357.0,56184.0,56184.0
2009-03-01,360881.0,3784920.0,3784920.0
2009-04-01,399821.0,4193323.0,4193323.0
2009-05-01,452957.0,4750613.0,4750613.0
2009-06-01,433616.0,4547765.0,4547765.0
2009-07-01,452271.0,4743418.0,4743418.0
2009-08-01,451155.0,4731714.0,4731714.0
2009-09-01,430826.0,4518503.0,4518503.0
2009-10-01,400789.0,4203475.0,4203475.0
2009-11-01,444369.0,4660542.0,4660542.0
2009-12-01,452645.0,4747341.0,4747341.0
2010-01-01,448384.0,4689648.0,4689648.0
2010-02-01,416381.0,4354929.0,4354929.0
2010-03-01,451812.0,4725502.0,4725502.0
2010-04-01,365407.0,3821792.0,3821792.0
2010-05-01,410842.0,4296996.0,4296996.0
2010-06-01,428419.0,4480834.0,4480834.0
2010-07-01,444885.0,4653052.0,4653052.0
2010-08-01,442437.0,4627449.0,4627449.0
2010-09-01,417963.0,4371475.0,4371475.0
2010-10-01,323312.0,3381520.0,3381520.0
2010-11-01,-3723.0,0.0,0.0
2010-12-01,304521.0,3184985.0,3184985.0
2011-01-01,459664.0,4809924.0,4809924.0
2011-02-01,413726.0,4329229.0,4329229.0
2011-03-01,452839.0,4738507.0,4738507.0
2011-04-01,442326.0,4628499.0,4628499.0
2011-05-01,453393.0,4744304.0,4744304.0
2011-06-01,429706.0,4496444.0,4496444.0
2011-07-01,443408.0,4639821.0,4639821.0
2011-08-01,327685.0,3428896.0,3428896.0
2011-09-01,439116.0,4594910.0,4594910.0
2011-10-01,454320.0,4754004.0,4754004.0
2011-11-01,437920.0,4582395.0,4582395.0
2011-12-01,461126.0,4825222.0,4825222.0
2012-01-01,460908.0,4829667.0,4829667.0
2012-02-01,423779.0,4440608.0,4440608.0
2012-03-01,454876.0,4766461.0,4766461.0
2012-04-01,440969.0,4620735.0,4620735.0
2012-05-01,446229.0,4675852.0,4675852.0
2012-06-01,431359.0,4520035.0,4520035.0
2012-07-01,439675.0,4607175.0,4607175.0
2012-08-01,429765.0,4503333.0,4503333.0
2012-09-01,395535.0,4144650.0,4144650.0
2012-10-01,57036.0,597657.0,597657.0
2012-11-01,29454.0,308636.0,308636.0
2012-12-01,337410.0,3535582.0,3535582.0
2013-01-01,455731.0,4761814.0,4761814.0
