measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2003-01-01,45.332,458.0,458.0,,,,,,
2003-02-01,41.78,422.0,422.0,,,,,,
2003-03-01,41.149,416.0,416.0,,,,,,
2003-04-01,41.33,418.0,418.0,,,,,,
2003-05-01,36.085,365.0,365.0,,,,,,
2003-06-01,43.604,441.0,441.0,,,,,,
2003-07-01,56.593,572.0,572.0,,,,,,
2003-08-01,56.251000000000005,569.0,569.0,,,,,,
2003-09-01,46.496,470.0,470.0,,,,,,
2003-10-01,51.533,521.0,521.0,,,,,,
2003-11-01,46.633,472.0,472.0,,,,,,
2003-12-01,46.215,467.0,467.0,,,,,,
2004-01-01,8.131,768.0,768.0,,,,,,
2004-02-01,4.902,463.0,463.0,,,,,,
2004-03-01,3.551,335.0,335.0,,,,,,
2004-04-01,3.573,337.0,337.0,,,,,,
2004-05-01,3.7590000000000003,355.0,355.0,,,,,,
2004-06-01,3.84,362.0,362.0,,,,,,
2004-07-01,9.381,886.0,886.0,,,,,,
2004-08-01,9.275,876.0,876.0,,,,,,
2004-09-01,6.721,634.0,634.0,,,,,,
2004-10-01,4.686,442.0,442.0,,,,,,
2004-11-01,4.603000000000001,434.0,434.0,,,,,,
2004-12-01,7.58,716.0,716.0,,,,,,
2005-01-01,-8.576,943.75,943.75,,,,,,
2005-02-01,-2.947,324.24,324.24,,,,,,
2005-03-01,-3.266,359.39,359.39,,,,,,
2005-04-01,-3.9560000000000004,435.31,435.31,,,,,,
2005-05-01,-3.6740000000000004,404.3,404.3,,,,,,
2005-06-01,-4.769,524.74,524.74,,,,,,
2005-07-01,-4.854,534.12,534.12,,,,,,
2005-08-01,-5.702,627.46,627.46,,,,,,
2005-09-01,-3.733,410.74,410.74,,,,,,
2005-10-01,-4.145,456.14,456.14,,,,,,
2005-11-01,-3.3320000000000003,366.69,366.69,,,,,,
2005-12-01,-7.046,775.36,775.36,,,,,,
2006-01-01,-40.076,368.0,368.0,,,,,,
2006-02-01,-20.97,193.0,193.0,,,,,,
2006-03-01,-17.615,162.0,162.0,,,,,,
2006-04-01,-33.743,310.0,310.0,,,,,,
2006-05-01,-31.541,290.0,290.0,,,,,,
2006-06-01,-28.669,263.0,263.0,,,,,,
2006-07-01,-41.527,382.0,382.0,,,,,,
2006-08-01,-40.281,370.0,370.0,,,,,,
2006-09-01,-18.506,170.0,170.0,,,,,,
2006-10-01,-19.548000000000002,180.0,180.0,,,,,,
2006-11-01,-23.019000000000002,211.0,211.0,,,,,,
2006-12-01,-25.505,234.0,234.0,,,,,,
2007-01-01,-59.67,359.0,359.0,,,,,,
2007-02-01,-77.56700000000001,465.0,465.0,,,,,,
2007-03-01,-41.29,247.0,247.0,,,,,,
2007-04-01,-24.484,147.0,147.0,,,,,,
2007-05-01,-19.126,118.0,118.0,,,,,,
2007-06-01,-30.503,182.0,182.0,,,,,,
2007-07-01,-25.843,153.0,153.0,,,,,,
2007-08-01,-31.043000000000003,188.0,188.0,,,,,,
2007-09-01,-24.021,147.0,147.0,,,,,,
2007-10-01,-18.584,112.0,112.0,,,,,,
2007-11-01,-18.42,112.0,112.0,,,,,,
2007-12-01,-34.449000000000005,206.0,206.0,,,,,,
2008-01-01,-52.002,288.0,288.0,,,,,,
2008-02-01,-43.5,241.0,241.0,,,,,,
2008-03-01,-37.324000000000005,206.0,206.0,,,,,,
2008-04-01,-20.308,112.0,112.0,,,,,,
2008-05-01,-18.716,100.0,100.0,,,,,,
2008-06-01,-42.480000000000004,235.0,235.0,,,,,,
2008-07-01,-38.941,212.0,212.0,,,,,,
2008-08-01,-32.266,176.0,176.0,,,,,,
2008-09-01,-41.048,223.0,223.0,,,,,,
2008-10-01,-23.512,129.0,129.0,,,,,,
2008-11-01,-28.629,159.0,159.0,,,,,,
2008-12-01,-46.274,253.0,253.0,,,,,,
2009-01-01,-198.23,829.0,829.0,,,,,,
2009-02-01,-82.175,347.0,347.0,,,,,,
2009-03-01,-85.714,365.0,365.0,,,,,,
2009-04-01,-11.042,47.0,47.0,,,,,,
2009-05-01,-17.516000000000002,76.0,76.0,,,,,,
2009-06-01,-7.691000000000001,35.0,35.0,,,,,,
2009-07-01,-5.948,24.0,24.0,,,,,,
2009-08-01,-26.329,112.0,112.0,,,,,,
2009-09-01,-3.498,18.0,18.0,,,,,,
2009-10-01,-4.322,18.0,18.0,,,,,,
2009-11-01,-10.249,41.0,41.0,,,,,,
2009-12-01,-27.286,118.0,118.0,,,,,,
2010-01-01,-7.6000000000000005,329.0,329.0,,,,,,
2010-02-01,-3.2910000000000004,147.0,147.0,,,,,,
2010-03-01,-8.331,370.0,370.0,,,,,,
2010-04-01,-3.4170000000000003,153.0,153.0,,,,,,
2010-05-01,-7.407,329.0,329.0,,,,,,
2010-06-01,-6.464,288.0,288.0,,,,,,
2010-07-01,-35.88,1588.0,1588.0,,,,,,
2010-08-01,-10.749,476.0,476.0,,,,,,
2010-09-01,-14.47,641.0,641.0,,,,,,
2010-10-01,-13.457,594.0,594.0,,,,,,
2010-11-01,-3.053,135.0,135.0,,,,,,
2010-12-01,-9.881,435.0,435.0,,,,,,
2011-01-01,-26.721,1846.0,1846.0,,,,,,
2011-02-01,-10.328,711.0,711.0,,,,,,
2011-03-01,-3.985,276.0,276.0,,,,,,
2011-04-01,-2.225,153.0,153.0,,,,,,
2011-05-01,-2.282,159.0,159.0,,,,,,
2011-06-01,-3.851,265.0,265.0,,,,,,
2011-07-01,-14.993,1035.0,1035.0,,,,,,
2011-08-01,-4.809,335.0,335.0,,,,,,
2011-09-01,-3.213,223.0,223.0,,,,,,
2011-10-01,-2.757,188.0,188.0,,,,,,
2011-11-01,-2.13,147.0,147.0,,,,,,
2011-12-01,-3.706,259.0,259.0,,,,,,
2012-01-01,-91.356,235.0,235.0,,,,,,
2012-02-01,-9.723,24.0,24.0,,,,,,
2012-03-01,-21.855,59.0,59.0,,,,,,
2012-04-01,-19.64,53.0,53.0,,,,,,
2012-05-01,-18.218,47.0,47.0,,,,,,
2012-06-01,-125.109,323.0,323.0,,,,,,
2012-07-01,-62.62,159.0,159.0,,,,,,
2012-08-01,-39.414,100.0,100.0,,,,,,
2012-09-01,-27.838,71.0,71.0,,,,,,
2012-10-01,-25.872,65.0,65.0,,,,,,
2012-11-01,-34.139,88.0,88.0,,,,,,
2012-12-01,-17.216,47.0,47.0,,,,,,
2013-01-01,73.529,2270.0,2270.0,,,,,,
2013-02-01,39.874,1235.0,1235.0,,,,,,
2013-03-01,5.716,176.0,176.0,,,,,,
2013-04-01,2.996,94.0,94.0,,,,,,
2013-05-01,4.796,147.0,147.0,,,,,,
2013-06-01,9.18,282.0,282.0,,,,,,
2013-07-01,36.034,1111.0,1111.0,,,,,,
2013-08-01,1.902,59.0,59.0,,,,,,
2013-09-01,13.817,429.0,429.0,,,,,,
2013-10-01,5.993,188.0,188.0,,,,,,
2013-11-01,14.261,441.0,441.0,,,,,,
2013-12-01,99.902,3087.0,3087.0,,,,,,
2014-01-01,760.84,11635.0,11635.0,,,,,,
2014-02-01,163.303,2500.0,2500.0,,,,,,
2014-03-01,216.948,3318.0,3318.0,,,,,,
2014-04-01,4.474,70.0,70.0,,,,,,
2014-05-01,5.967,93.0,93.0,,,,,,
2014-06-01,1.878,29.0,29.0,,,,,,
2014-07-01,19.334,296.0,296.0,,,,,,
2014-08-01,14.575,220.0,220.0,,,,,,
2014-09-01,3.88,58.0,58.0,,,,,,
2014-10-01,5.024,75.0,75.0,,,,,,
2014-11-01,7.227,110.0,110.0,,,,,,
2014-12-01,17.55,267.0,267.0,,,,,,
2015-01-01,140.966,2169.0,2169.0,,,,,,
2015-02-01,904.335,13937.0,13937.0,,,,,,
2015-03-01,40.245,621.0,621.0,,,,,,
2015-04-01,6.207,93.0,93.0,,,,,,
2015-05-01,14.292,220.0,220.0,,,,,,
2015-06-01,7.875,122.0,122.0,,,,,,
2015-07-01,24.795,383.0,383.0,,,,,,
2015-08-01,14.165,220.0,220.0,,,,,,
2015-09-01,42.111,650.0,650.0,,,,,,
2015-10-01,6.392,99.0,99.0,,,,,,
2015-11-01,9.92,151.0,151.0,,,,,,
2015-12-01,12.697,197.0,197.0,,,,,,
2016-01-01,-11.152,133.0,133.0,,,,,,
2016-02-01,-23.451,301.0,301.0,,,,,,
2016-03-01,-0.823,12.0,12.0,,,,,,
2016-04-01,-1.744,23.0,23.0,,,,,,
2016-05-01,-2.558,35.0,35.0,,,,,,
2016-06-01,-4.261,52.0,52.0,,,,,,
2016-07-01,-18.29,238.0,238.0,,,,,,
2016-08-01,-12.712,162.0,162.0,,,,,,
2016-09-01,-23.774,307.0,307.0,,,,,,
2016-10-01,-36.577,469.0,469.0,,,,,,
2016-11-01,-96.413,1240.0,1240.0,,,,,,
2016-12-01,-33.245,429.0,429.0,,,,,,
2017-01-01,7.411,412.0,412.0,,,,,,
2017-02-01,4.015,220.0,220.0,,,,,,
2017-03-01,4.822,261.0,261.0,,,,,,
2017-04-01,3.338,180.0,180.0,,,,,,
2017-05-01,3.422,185.0,185.0,,,,,,
2017-06-01,3.405,185.0,185.0,,,,,,
2017-07-01,2.337,128.0,128.0,,,,,,
2017-08-01,2.287,122.0,122.0,,,,,,
2017-09-01,3.885,209.0,209.0,,,,,,
2017-10-01,3.775,203.0,203.0,,,,,,
2017-11-01,6.347,342.0,342.0,,,,,,
2017-12-01,87.956,4776.0,4776.0,,,,,,
2018-01-01,497.925,8903.0,8903.0,,,,,,
2018-02-01,19.164,342.0,342.0,,,,,,
2018-03-01,21.277,383.0,383.0,,,,,,
2018-04-01,16.311,290.0,290.0,,,,,,
2018-05-01,18.088,325.0,325.0,,,,,,
2018-06-01,15.568,278.0,278.0,,,,,,
2018-07-01,21.453,383.0,383.0,,,,,,
2018-08-01,38.646,690.0,690.0,,,,,,
2018-09-01,19.006,342.0,342.0,,,,,,
2018-10-01,17.208,307.0,307.0,,,,,,
2018-11-01,37.004,661.0,661.0,,,,,,
2018-12-01,20.35,365.0,365.0,,,,,,
2019-01-01,-14.426,171.0,171.0,-18.343,213.0,213.0,262.172,2335.0,2335.0
2019-02-01,-9.023,106.0,106.0,-16.129,187.0,187.0,302.778,2696.0,2696.0
2019-03-01,-9.405,112.0,112.0,-15.742,183.0,183.0,425.615,3790.0,3790.0
2019-04-01,-7.305,82.0,82.0,-11.295,131.0,131.0,466.476,4154.0,4154.0
2019-05-01,-3.735,41.0,41.0,-9.648,111.0,111.0,471.045,4195.0,4195.0
2019-06-01,-4.55,53.0,53.0,-12.373,143.0,143.0,519.52,4626.0,4626.0
2019-07-01,-6.186,71.0,71.0,-24.895,289.0,289.0,622.053,5539.0,5539.0
2019-08-01,-11.798,135.0,135.0,-18.558,216.0,216.0,514.951,4586.0,4586.0
2019-09-01,-5.683,65.0,65.0,-12.588,147.0,147.0,485.511,4323.0,4323.0
2019-10-01,-8.94,106.0,106.0,-13.03,152.0,152.0,328.412,2925.0,2925.0
2019-11-01,-12.356,141.0,141.0,-11.9,138.0,138.0,265.216,2362.0,2362.0
2019-12-01,-14.007,165.0,165.0,-17.085,198.0,198.0,167.251,1489.0,1489.0
