measured_on,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2013-01-01,414.442,4761.0,46449.0,14.157,135.0,135.0
2013-02-01,381.767,4386.0,42787.0,29.004,277.0,277.0
2013-03-01,368.191,4230.0,41266.0,49.395,471.0,471.0
2013-04-01,316.831,3640.0,35509.0,52.079,497.0,497.0
2013-05-01,334.597,3844.0,37501.0,58.611,559.0,559.0
2013-06-01,395.852,4548.0,44366.0,74.693,713.0,713.0
2013-07-01,502.292,5770.0,56295.0,70.471,672.0,672.0
2013-08-01,512.269,5885.0,57413.0,94.84,905.0,905.0
2013-09-01,510.988,5870.0,57270.0,92.191,880.0,880.0
2013-10-01,443.374,5094.0,49692.0,81.619,779.0,779.0
2013-11-01,437.331,5024.0,49015.0,81.247,775.0,775.0
2013-12-01,509.276,5851.0,57078.0,84.783,809.0,809.0
2014-01-01,0.0,6488.0,6488.0,0.0,0.0,0.0
2014-02-01,0.0,6059.0,6059.0,0.0,0.0,0.0
2014-03-01,0.0,5258.0,5258.0,0.0,0.0,0.0
2014-04-01,0.0,4999.0,4999.0,0.0,0.0,0.0
2014-05-01,0.0,5041.0,5041.0,0.0,0.0,0.0
2014-06-01,0.0,4970.0,4970.0,0.0,0.0,0.0
2014-07-01,0.0,7031.0,7031.0,0.0,0.0,0.0
2014-08-01,0.0,7258.0,7258.0,0.0,0.0,0.0
2014-09-01,0.0,7592.0,7592.0,0.0,0.0,0.0
2014-10-01,0.0,7490.0,7490.0,0.0,0.0,0.0
2014-11-01,0.0,5413.0,5413.0,0.0,0.0,0.0
2014-12-01,0.0,5888.0,5888.0,0.0,0.0,0.0
2015-01-01,0.0,5352.0,5352.0,0.0,0.0,0.0
2015-02-01,0.0,3963.0,3963.0,0.0,0.0,0.0
2015-03-01,0.0,4642.0,4642.0,0.0,0.0,0.0
2015-04-01,0.0,4455.0,4455.0,0.0,0.0,0.0
2015-05-01,0.0,4349.0,4349.0,0.0,0.0,0.0
2015-06-01,0.0,6115.0,6115.0,0.0,0.0,0.0
2015-07-01,0.0,6897.0,6897.0,0.0,0.0,0.0
2015-08-01,0.0,7276.0,7276.0,0.0,0.0,0.0
2015-09-01,0.0,7225.0,7225.0,0.0,0.0,0.0
2015-10-01,0.0,6960.0,6960.0,0.0,0.0,0.0
2015-11-01,0.0,5132.0,5132.0,0.0,0.0,0.0
2015-12-01,0.0,5489.0,5489.0,0.0,0.0,0.0
2016-01-01,567.388,5996.0,5996.0,36.098,333.0,333.0
2016-02-01,450.294,4759.0,4759.0,60.252,556.0,556.0
2016-03-01,350.208,3701.0,3701.0,66.506,614.0,614.0
2016-04-01,334.913,3540.0,3540.0,77.475,715.0,715.0
2016-05-01,361.521,3821.0,3821.0,96.305,889.0,889.0
2016-06-01,549.992,5813.0,5813.0,92.367,853.0,853.0
2016-07-01,648.724,6857.0,6857.0,107.829,995.0,995.0
2016-08-01,717.513,7583.0,7583.0,106.336,982.0,982.0
2016-09-01,593.989,6278.0,6278.0,93.819,866.0,866.0
