measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-09-01,338.878,1156.0,1156.0
2022-10-01,330.058,1126.0,1126.0
2022-11-01,237.172,809.0,809.0
2022-12-01,180.892,617.0,617.0
2023-01-01,160.0,546.0,546.0
2023-02-01,262.0,894.0,894.0
2023-03-01,452.0,1542.0,1542.0
2023-04-01,575.0,1962.0,1962.0
2023-05-01,698.0,2382.0,2382.0
2023-06-01,698.0,2382.0,2382.0
2023-07-01,751.0,2562.0,2562.0
2023-08-01,670.0,2286.0,2286.0
2023-09-01,510.0,1740.0,1740.0
2023-10-01,310.0,1058.0,1058.0
2023-11-01,179.0,611.0,611.0
2023-12-01,125.0,427.0,427.0
2024-01-01,174.0,594.0,594.0
2024-02-01,496.0,1692.0,1692.0
2024-03-01,737.0,2515.0,2515.0
2024-04-01,738.0,2518.0,2518.0
2024-05-01,1141.0,3893.0,3893.0
2024-06-01,1078.0,3678.0,3678.0
2024-07-01,1268.0,4326.0,4326.0
2024-08-01,1013.0,3456.0,3456.0
2024-09-01,855.0,2917.0,2917.0
2024-10-01,489.0,1668.0,1668.0
2024-11-01,123.0,420.0,420.0
2024-12-01,177.0,604.0,604.0
