measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Energy Storage, Compressed Air - Natural Gas - Generation","Natural Gas - Energy Storage, Compressed Air - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Energy Storage, Compressed Air - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,10562.0,101130.0,101130.0,,,
2003-02-01,0.0,0.0,0.0,5654.0,48909.0,48909.0,,,
2003-03-01,0.0,0.0,0.0,5164.0,34600.0,34600.0,,,
2003-04-01,0.0,0.0,0.0,2816.0,22886.0,22886.0,,,
2003-05-01,566.0,4373.0,4373.0,7937.0,66442.0,66442.0,,,
2003-06-01,0.0,0.0,0.0,4978.0,31274.0,31274.0,,,
2003-07-01,0.0,0.0,0.0,6726.0,60461.0,60461.0,,,
2003-08-01,0.0,0.0,0.0,6711.0,46298.0,46298.0,,,
2003-09-01,0.0,0.0,0.0,4153.0,26790.0,26790.0,,,
2003-10-01,0.0,0.0,0.0,3952.0,32874.0,32874.0,,,
2003-11-01,0.0,0.0,0.0,4954.0,48406.0,48406.0,,,
2003-12-01,0.0,0.0,0.0,6424.0,40279.0,40279.0,,,
2004-01-01,0.0,0.0,0.0,5422.0,39917.0,39917.0,,,
2004-02-01,0.0,0.0,0.0,3898.0,30036.0,30036.0,,,
2004-03-01,0.0,0.0,0.0,3408.0,24733.0,24733.0,,,
2004-04-01,0.0,0.0,0.0,3781.0,24326.0,24326.0,,,
2004-05-01,0.0,0.0,0.0,6569.0,59751.0,59751.0,,,
2004-06-01,25.0,165.0,165.0,4860.0,35024.0,35024.0,,,
2004-07-01,0.0,0.0,0.0,7888.0,48172.0,48172.0,,,
2004-08-01,0.0,0.0,0.0,6210.0,35247.0,35247.0,,,
2004-09-01,0.0,0.0,0.0,6099.0,38431.0,38431.0,,,
2004-10-01,0.0,0.0,0.0,8153.0,28719.0,28719.0,,,
2004-11-01,3.0,33.0,33.0,3732.0,48847.0,48847.0,,,
2004-12-01,22.0,168.0,168.0,6551.0,49441.0,49441.0,,,
2005-01-01,0.0,0.0,0.0,5889.0,47225.88,47225.88,,,
2005-02-01,0.0,0.0,0.0,2522.0,18867.75,18867.75,,,
2005-03-01,0.0,0.0,0.0,7881.0,45172.06,45172.06,,,
2005-04-01,0.0,0.0,0.0,2005.0,18999.38,18999.38,,,
2005-05-01,0.0,0.0,0.0,6467.0,40447.16,40447.16,,,
2005-06-01,0.0,0.0,0.0,10322.0,71672.03,71672.03,,,
2005-07-01,0.0,0.0,0.0,7472.0,41276.9,41276.9,,,
2005-08-01,0.0,0.0,0.0,11699.0,75728.09,75728.09,,,
2005-09-01,0.0,0.0,0.0,4245.0,33824.27,33824.27,,,
2005-10-01,0.0,0.0,0.0,248.0,5549.8,5549.8,,,
2005-11-01,0.0,0.0,0.0,283.0,5902.93,5902.93,,,
2005-12-01,0.0,0.0,0.0,-82.0,2286.26,2286.26,,,
2006-01-01,0.0,0.0,0.0,2468.0,18784.0,18784.0,,,
2006-02-01,0.0,0.0,0.0,2179.0,16196.0,16196.0,,,
2006-03-01,0.0,0.0,0.0,2728.0,16735.0,16735.0,,,
2006-04-01,0.0,0.0,0.0,3364.0,29688.0,29688.0,,,
2006-05-01,0.0,0.0,0.0,740.0,11942.0,11942.0,,,
2006-06-01,0.0,0.0,0.0,842.0,13554.0,13554.0,,,
2006-07-01,0.0,0.0,0.0,2676.0,36245.0,36245.0,,,
2006-08-01,0.0,0.0,0.0,1192.0,17887.0,17887.0,,,
2006-09-01,0.0,0.0,0.0,1764.0,25212.0,25212.0,,,
2006-10-01,0.0,0.0,0.0,1409.0,20651.0,20651.0,,,
2006-11-01,0.0,0.0,0.0,1580.0,23307.0,23307.0,,,
2006-12-01,0.0,0.0,0.0,645.0,11083.0,11083.0,,,
2007-01-01,0.0,0.0,0.0,1702.0,25329.0,25329.0,,,
2007-02-01,6.079000000000001,121.0,121.0,353.921,7044.0,7044.0,,,
2007-03-01,0.0,0.0,0.0,440.0,8784.0,8784.0,,,
2007-04-01,0.0,0.0,0.0,60.0,3505.0,3505.0,,,
2007-05-01,0.0,0.0,0.0,390.0,7747.0,7747.0,,,
2007-06-01,0.0,0.0,0.0,-17.0,2273.0,2273.0,,,
2007-07-01,0.0,0.0,0.0,1821.0,25268.0,25268.0,,,
2007-08-01,0.0,0.0,0.0,6803.0,63013.0,63013.0,,,
2007-09-01,0.0,0.0,0.0,3863.0,25143.0,25143.0,,,
2007-10-01,0.0,0.0,0.0,299.0,7473.0,7473.0,,,
2007-11-01,0.0,0.0,0.0,3767.0,49132.0,49132.0,,,
2007-12-01,7.109,93.0,93.0,4366.8910000000005,57239.0,57239.0,,,
2008-01-01,0.0,0.0,0.0,3732.0,52080.0,52080.0,0.0,0.0,0.0
2008-02-01,0.0,0.0,0.0,1743.0,23879.0,23879.0,0.0,0.0,0.0
2008-03-01,0.0,0.0,0.0,1145.0,16893.0,16893.0,0.0,0.0,0.0
2008-04-01,0.0,0.0,0.0,1886.0,25920.0,25920.0,0.0,0.0,0.0
2008-05-01,0.0,0.0,0.0,3418.0,29959.0,29959.0,0.0,0.0,0.0
2008-06-01,0.0,0.0,0.0,8965.0,51064.0,51064.0,0.0,0.0,0.0
2008-07-01,0.0,0.0,0.0,12995.0,73050.0,73050.0,0.0,0.0,0.0
2008-08-01,0.0,0.0,0.0,6763.0,37236.0,37236.0,0.0,0.0,0.0
2008-09-01,0.0,0.0,0.0,5726.0,35222.0,35222.0,0.0,0.0,0.0
2008-10-01,0.0,0.0,0.0,4008.0,33692.0,33692.0,0.0,0.0,0.0
2008-11-01,0.0,0.0,0.0,2805.0,19186.0,19186.0,0.0,0.0,0.0
2008-12-01,0.0,0.0,0.0,4431.0,25840.0,25840.0,0.0,0.0,0.0
2009-01-01,0.0,0.0,0.0,3800.0,31173.0,31173.0,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0,4467.0,40911.0,40911.0,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0,3893.0,37261.0,37261.0,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0,3852.0,35734.0,35734.0,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0,6230.0,56811.0,56811.0,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0,2641.0,33560.0,33560.0,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0,1534.0,20858.0,20858.0,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0,2361.0,23240.0,23240.0,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0,1840.0,26894.0,26894.0,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0,2387.0,23456.0,23456.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,-152.0,46.0,46.0,0.0,0.0,0.0
2009-12-01,-107.0,0.0,0.0,-107.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,1514.0,35591.0,35591.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,421.0,22529.0,22529.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,8279.0,97237.0,97237.0,0.0,0.0,0.0
2010-04-01,291.563,4785.0,4785.0,1399.4370000000001,22967.0,22967.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,1161.0,17615.0,17615.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,4866.0,66563.0,66563.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,4138.0,65906.0,65906.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,11899.0,183346.0,183346.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,41720.0,341585.0,341585.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,21344.0,135855.0,135855.0,0.0,0.0,0.0
2010-11-01,0.0,0.0,0.0,2987.0,49942.0,49942.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,34744.0,399372.0,399372.0,0.0,0.0,0.0
2011-01-01,0.0,0.0,0.0,16024.0,190271.0,190271.0,0.0,0.0,0.0
2011-02-01,0.0,0.0,0.0,10702.0,125789.0,125789.0,0.0,0.0,0.0
2011-03-01,0.0,0.0,0.0,-97.0,8673.0,8673.0,0.0,0.0,0.0
2011-04-01,0.0,0.0,0.0,13195.0,146635.0,146635.0,0.0,0.0,0.0
2011-05-01,0.0,0.0,0.0,36334.0,381823.0,381823.0,0.0,0.0,0.0
2011-06-01,0.0,0.0,0.0,42188.0,470419.0,470419.0,0.0,0.0,0.0
2011-07-01,0.0,0.0,0.0,42976.0,477786.0,477786.0,0.0,0.0,0.0
2011-08-01,0.0,0.0,0.0,32061.0,340489.0,340489.0,0.0,0.0,0.0
2011-09-01,0.0,0.0,0.0,23448.0,232510.0,232510.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,8098.0,86254.0,86254.0,0.0,0.0,0.0
2011-11-01,0.0,0.0,0.0,11622.0,119536.0,119536.0,0.0,0.0,0.0
2011-12-01,0.0,0.0,0.0,5927.0,58033.0,58033.0,0.0,0.0,0.0
2012-01-01,0.0,0.0,0.0,37060.0,390003.0,390003.0,0.0,0.0,0.0
2012-02-01,0.0,0.0,0.0,8300.0,74296.0,74296.0,0.0,0.0,0.0
2012-03-01,0.0,0.0,0.0,6216.0,70084.0,70084.0,0.0,0.0,0.0
2012-04-01,0.0,0.0,0.0,7528.0,93968.0,93968.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,40046.0,471170.0,471170.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,10141.0,117757.0,117757.0,0.0,0.0,0.0
2012-07-01,0.0,0.0,0.0,42616.0,497633.0,497633.0,0.0,0.0,0.0
2012-08-01,43.348,528.0,528.0,11049.652,134591.0,134591.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,7893.0,86150.0,86150.0,0.0,0.0,0.0
