measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Lignite Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,,,,503967.0,6142576.0,6142576.0,157.0,1911.0,1911.0,319755.0,2622744.0,2622744.0
2003-02-01,,,,223920.0,2837763.0,2837763.0,2181.0,27637.0,27637.0,147767.0,1255366.0,1255366.0
2003-03-01,,,,226231.0,2884357.0,2884357.0,196.0,2494.0,2494.0,174566.0,1483351.0,1483351.0
2003-04-01,,,,348168.0,4336420.0,4336420.0,2481.0,30903.0,30903.0,212909.0,1769052.0,1769052.0
2003-05-01,,,,395469.0,5037750.0,5037750.0,2452.0,31231.0,31231.0,292258.0,2490521.0,2490521.0
2003-06-01,,,,610255.0,6748609.0,6748609.0,29.0,372.0,372.0,217575.0,2333232.0,2333232.0
2003-07-01,,,,573988.0,6838931.0,6838931.0,339.0,3518.0,3518.0,292244.0,2571036.0,2571036.0
2003-08-01,,,,467193.0,5971329.0,5971329.0,7.0,94.0,94.0,401090.0,3444154.0,3444154.0
2003-09-01,,,,432203.0,5503833.0,5503833.0,1196.0,15228.0,15228.0,320275.0,2732595.0,2732595.0
2003-10-01,,,,434190.0,5156781.0,5156781.0,674.0,8305.0,8305.0,365610.0,3565195.0,3565195.0
2003-11-01,,,,236732.0,2528012.0,2528012.0,2139.0,22838.0,22838.0,507049.0,5414678.0,5414678.0
2003-12-01,,,,530299.0,5728646.0,5728646.0,1396.0,15084.0,15084.0,215615.0,2329221.0,2329221.0
2004-01-01,2398.0,25769.0,25769.0,227262.0,2442587.0,2442587.0,702.0,7549.0,7549.0,559741.0,6016046.0,6016046.0
2004-02-01,2194.0,23908.0,23908.0,322475.0,3513762.0,3513762.0,251.0,2731.0,2731.0,445001.0,4848832.0,4848832.0
2004-03-01,2590.0,28919.0,28919.0,282852.0,3158460.0,3158460.0,3920.0,43769.0,43769.0,261964.0,2925209.0,2925209.0
2004-04-01,983.0,10579.0,10579.0,447235.0,4814341.0,4814341.0,14.0,150.0,150.0,371978.0,4004220.0,4004220.0
2004-05-01,2494.0,27649.0,27649.0,560538.0,6214611.0,6214611.0,19.0,207.0,207.0,242065.0,2683741.0,2683741.0
2004-06-01,4771.0,53348.0,53348.0,461346.0,5158776.0,5158776.0,1957.0,21883.0,21883.0,217285.0,2429677.0,2429677.0
2004-07-01,2436.0,27121.0,27121.0,558473.0,6218505.0,6218505.0,1135.0,12643.0,12643.0,207111.0,2306141.0,2306141.0
2004-08-01,,,,579380.0,6293336.0,6293336.0,471.0,5111.0,5111.0,232654.0,2527130.0,2527130.0
2004-09-01,,,,506017.0,5554416.0,5554416.0,522.0,5727.0,5727.0,234869.0,2578092.0,2578092.0
2004-10-01,,,,355296.0,3910994.0,3910994.0,728.0,8014.0,8014.0,209168.0,2302456.0,2302456.0
2004-11-01,,,,240610.0,2702810.0,2702810.0,5294.0,59472.0,59472.0,112043.0,1258590.0,1258590.0
2004-12-01,,,,428993.0,4690658.0,4690658.0,1793.0,18910.0,18910.0,202815.0,2215695.0,2215695.0
2005-01-01,,,,476165.0,5206118.94,5206118.94,398.0,4347.2,4347.2,264801.0,2895187.86,2895187.86
2005-02-01,,,,520647.0,5695089.43,5695089.43,27.0,292.88,292.88,163524.0,1788708.32,1788708.32
2005-03-01,,,,406467.0,4368161.38,4368161.38,886.0,9530.4,9530.4,331451.0,3561989.38,3561989.38
2005-04-01,,,,474912.0,5127261.68,5127261.68,1295.0,14013.45,14013.45,171602.0,1852656.62,1852656.62
2005-05-01,,,,569609.0,6097734.5,6097734.5,0.0,0.0,0.0,188188.0,2014571.86,2014571.86
2005-06-01,,,,502915.0,5395862.16,5395862.16,634.0,6802.95,6802.95,206433.0,2214850.29,2214850.29
2005-07-01,,,,564221.0,6033740.81,6033740.81,17.0,184.14,184.14,251679.0,2691435.17,2691435.17
2005-08-01,,,,598562.0,6422192.57,6422192.57,0.0,0.0,0.0,233718.0,2507643.43,2507643.43
2005-09-01,,,,402162.0,3849023.83,3849023.83,592.0,5665.37,5665.37,305661.0,2925425.38,2925425.38
2005-10-01,,,,413076.0,4415769.29,4415769.29,84.0,895.13,895.13,188641.0,2016562.11,2016562.11
2005-11-01,,,,412948.0,4423460.35,4423460.35,804.0,8616.73,8616.73,129314.0,1385200.51,1385200.51
2005-12-01,,,,554370.0,5899490.25,5899490.25,310.0,3302.24,3302.24,212969.0,2266374.31,2266374.31
2006-01-01,,,,479535.0,5138428.0,5138428.0,132.0,1412.0,1412.0,207905.0,2227792.0,2227792.0
2006-02-01,,,,527780.0,5652681.0,5652681.0,220.0,2352.0,2352.0,166052.0,1778465.0,1778465.0
2006-03-01,,,,445673.0,4701490.0,4701490.0,616.0,6494.0,6494.0,287199.0,3029721.0,3029721.0
2006-04-01,,,,188960.0,2017104.0,2017104.0,427.0,4562.0,4562.0,487854.0,5207732.0,5207732.0
2006-05-01,,,,608950.0,6511082.0,6511082.0,1.0,9.0,9.0,177577.0,1898711.0,1898711.0
2006-06-01,,,,543084.0,5806080.0,5806080.0,388.0,4144.0,4144.0,176095.0,1882618.0,1882618.0
2006-07-01,,,,559454.0,5954354.0,5954354.0,126.0,1346.0,1346.0,230504.0,2453289.0,2453289.0
2006-08-01,,,,704520.0,7579544.0,7579544.0,119.0,1286.0,1286.0,107751.0,1159231.0,1159231.0
2006-09-01,,,,561419.0,5975387.0,5975387.0,1.0,15.0,15.0,189546.0,2017406.0,2017406.0
2006-10-01,,,,589397.0,6295679.0,6295679.0,0.0,0.0,0.0,198116.0,2116187.0,2116187.0
2006-11-01,,,,556147.0,5999307.0,5999307.0,264.0,2845.0,2845.0,113788.0,1227464.0,1227464.0
2006-12-01,,,,552354.0,5962804.0,5962804.0,158.0,1704.0,1704.0,249564.0,2694105.0,2694105.0
2007-01-01,,,,510031.927,5557049.0,5557049.0,3921.7940000000003,42730.0,42730.0,285430.279,3109903.0,3109903.0
2007-02-01,,,,493988.877,5368237.0,5368237.0,1012.738,11006.0,11006.0,198762.385,2159975.0,2159975.0
2007-03-01,,,,460846.862,4874841.0,4874841.0,819.652,8670.0,8670.0,357469.486,3781314.0,3781314.0
2007-04-01,,,,432922.078,4783151.0,4783151.0,294.151,3250.0,3250.0,211896.772,2341147.0,2341147.0
2007-05-01,,,,112890.0,1210074.0,1210074.0,5647.47,60536.0,60536.0,155515.53,1666980.0,1666980.0
2007-06-01,,,,440373.051,4732607.0,4732607.0,681.813,7327.0,7327.0,335426.136,3604762.0,3604762.0
2007-07-01,,,,295516.539,3199701.0,3199701.0,917.1690000000001,9931.0,9931.0,514435.292,5570040.0,5570040.0
2007-08-01,,,,565146.88,6123782.0,6123782.0,1719.729,18635.0,18635.0,203320.391,2203126.0,2203126.0
2007-09-01,,,,420239.132,4574682.0,4574682.0,3050.5730000000003,33208.0,33208.0,273899.295,2981641.0,2981641.0
2007-10-01,,,,509146.276,5526932.0,5526932.0,875.6370000000001,9505.0,9505.0,252200.087,2737706.0,2737706.0
2007-11-01,,,,453309.467,4845202.0,4845202.0,2203.5460000000003,23553.0,23553.0,236556.987,2528442.0,2528442.0
2007-12-01,,,,457879.85,4856813.0,4856813.0,960.976,10193.0,10193.0,349566.174,3707910.0,3707910.0
2008-01-01,,,,405907.264,4370890.0,4370890.0,1978.519,21305.0,21305.0,347313.217,3739937.0,3739937.0
2008-02-01,,,,371902.394,4026426.0,4026426.0,653.592,7076.0,7076.0,418607.014,4532077.0,4532077.0
2008-03-01,,,,321762.451,3522259.0,3522259.0,1134.978,12424.0,12424.0,442816.572,4847410.0,4847410.0
2008-04-01,,,,294475.784,3197268.0,3197268.0,1605.476,17431.0,17431.0,298494.74,3240904.0,3240904.0
2008-05-01,,,,487822.97000000003,5324571.0,5324571.0,1823.219,19900.0,19900.0,263678.811,2878045.0,2878045.0
2008-06-01,,,,343962.05,3815373.0,3815373.0,977.095,10838.0,10838.0,475023.855,5269166.0,5269166.0
2008-07-01,,,,473152.06,5284033.0,5284033.0,789.9060000000001,8821.0,8821.0,381622.034,4261851.0,4261851.0
2008-08-01,,,,339695.085,3919218.0,3919218.0,1250.587,14429.0,14429.0,420340.328,4849659.0,4849659.0
2008-09-01,,,,393806.923,4413212.0,4413212.0,771.2280000000001,8643.0,8643.0,318977.848,3574637.0,3574637.0
2008-10-01,,,,327896.78,3706147.0,3706147.0,2824.547,31925.0,31925.0,363450.672,4108005.0,4108005.0
2008-11-01,,,,176518.804,2003637.0,2003637.0,816.1740000000001,9264.0,9264.0,191971.022,2179033.0,2179033.0
2008-12-01,,,,288321.933,3238370.0,3238370.0,4644.985000000001,52171.0,52171.0,255005.082,2864162.0,2864162.0
2009-01-01,,,,364947.059,4071197.0,4071197.0,2056.531,22942.0,22942.0,386348.41,4309941.0,4309941.0
