measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,,,,220.363,2320.0,2320.0,1432.97,17554.0,26697.0
2003-02-01,,,,195.12800000000001,2054.0,2054.0,1268.872,15544.0,23640.0
2003-03-01,,,,211.76100000000002,2230.0,2230.0,1377.0330000000001,16869.0,25655.0
2003-04-01,,,,186.126,1960.0,1960.0,1210.338,14827.0,22550.0
2003-05-01,,,,197.94400000000002,2084.0,2084.0,1287.185,15768.0,23981.0
2003-06-01,,,,198.15800000000002,2086.0,2086.0,1288.574,15785.0,24007.0
2003-07-01,,,,225.399,2373.0,2373.0,1465.7160000000001,17955.0,27307.0
2003-08-01,,,,266.84700000000004,2810.0,2810.0,1735.247,21257.0,32329.0
2003-09-01,,,,225.14600000000002,2371.0,2371.0,1464.076,17935.0,27277.0
2003-10-01,,,,161.747,1703.0,1703.0,1051.806,12885.0,19596.0
2003-11-01,,,,199.818,2104.0,2104.0,1299.371,15918.0,24208.0
2003-12-01,,,,233.56400000000002,2459.0,2459.0,1518.813,18606.0,28297.0
2004-01-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-02-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-03-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-04-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-05-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-06-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-07-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-08-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-09-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-10-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-11-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2004-12-01,,,,46.958000000000006,494.43,504.56,1699.402,12838.5,28853.56
2005-01-01,,,,443.52200000000005,4080.09,4080.09,1376.277,10397.39,22536.08
2005-02-01,,,,102.09,939.15,939.15,1220.106,9217.56,19978.81
2005-03-01,,,,87.60600000000001,805.92,805.92,1455.982,10999.54,23841.21
2005-04-01,,,,87.655,806.38,806.38,1492.739,11277.22,24443.09
2005-05-01,,,,88.378,812.99,812.99,1210.969,9148.53,19829.2
2005-06-01,,,,107.058,984.86,984.86,2060.215,15564.35,33735.32
2005-07-01,,,,202.755,1865.19,1865.19,2654.877,20056.85,43472.71
2005-08-01,,,,179.58200000000002,1652.03,1652.03,2838.4610000000002,21443.78,46478.83
2005-09-01,,,,99.924,919.25,919.25,1877.6680000000001,14185.26,30746.17
2005-10-01,,,,140.095,1288.75,1288.75,1298.505,9809.84,21262.58
2005-11-01,,,,94.334,867.79,867.79,1165.555,8805.44,19085.57
2005-12-01,,,,258.402,2377.11,2377.11,1259.306,9513.7,20620.71
2006-01-01,24.709,186.67,459.25,43.693000000000005,459.25,459.25,1455.713,10997.51,27056.53
2006-02-01,30.97365,234.0,575.69,54.771,575.69,575.69,1451.47035,10965.45,26977.67
2006-03-01,56.39425,426.04,1048.17,99.727,1048.17,1048.17,1583.47675,11962.72,29431.17
2006-04-01,26.73849,202.0,496.97,47.286,496.97,496.97,1331.33151,10057.83,24744.67
2006-05-01,18.4691,139.53,343.28,32.659,343.28,343.28,1291.4809,9756.78,24004.05
2006-06-01,17.78231,134.34,330.51,31.443,330.51,330.51,1652.05369,12480.8,30705.81
2006-07-01,22.04227,166.52,409.69,38.977000000000004,409.69,409.69,2474.05473,18690.79,45983.88
2006-08-01,23.45301,177.18,435.91,41.476,435.91,435.91,2329.25899,17596.9,43292.59
2006-09-01,13.711089999999999,103.58,254.84,24.248,254.84,254.84,1652.14391,12481.48,30707.44
2006-10-01,13.6523,103.14,253.75,24.143,253.75,253.75,1842.5457000000001,13919.92,34246.35
2006-11-01,22.1846,167.6,412.33,39.232,412.33,412.33,1584.8354000000002,11972.99,29456.44
2006-12-01,24.71522,186.72,459.37,43.707,459.37,459.37,1548.60978,11699.31,28783.11
