measured_on,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Distillate Fuel Oil-Combined Cycle Steam Part Generation,Distillate Fuel Oil-Combined Cycle Steam Part Quantity Consumed For Electricity,Distillate Fuel Oil-Combined Cycle Steam Part Total Fuel Consumed,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combined Cycle Combustion Turbine Part Generation,Natural Gas-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Combustion Turbine Part Total Fuel Consumed,Natural Gas-Combined Cycle Steam Part Generation,Natural Gas-Combined Cycle Steam Part Quantity Consumed For Electricity,Natural Gas-Combined Cycle Steam Part Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combined Cycle Combustion Turbine Part Generation,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Quantity Consumed For Electricity,Residual Fuel Oil-Combined Cycle Combustion Turbine Part Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,76.0,563.0,563.0,,,,,,,153080.0,1130261.0,1130261.0,0.0,0.0,0.0,,,,700.0,12676.0,12676.0,,,,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,,,,,,,127112.0,932246.0,932246.0,0.0,0.0,0.0,,,,415.0,8197.0,8197.0,,,,0.0,0.0,0.0
2003-03-01,603.0,4605.0,4605.0,,,,,,,100894.0,767239.0,767239.0,0.0,0.0,0.0,,,,-167.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,12.0,87.0,87.0,,,,0.0,0.0,0.0,141992.0,1056770.0,1056770.0,0.0,0.0,0.0,177.0,3562.0,3562.0,1583.0,23321.0,23321.0,,,,0.0,0.0,0.0
2003-05-01,274.0,2008.0,2008.0,,,,0.0,0.0,0.0,151268.0,1099832.0,1099832.0,0.0,0.0,0.0,106.0,2565.0,2565.0,993.0,16368.0,16368.0,,,,0.0,0.0,0.0
2003-06-01,78.0,586.0,586.0,,,,0.0,0.0,0.0,141334.0,1057309.0,1057309.0,0.0,0.0,0.0,-28.0,0.0,0.0,510.0,9024.0,9024.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,,,,20.0,435.0,435.0,132501.0,980763.0,980763.0,0.0,0.0,0.0,341.0,7213.0,7213.0,2208.0,32366.0,32366.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,153765.0,1138741.0,1138741.0,0.0,0.0,0.0,-38.0,0.0,0.0,-249.0,0.0,0.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,,,,-11.0,0.0,0.0,144335.0,1070835.0,1070835.0,0.0,0.0,0.0,-18.0,0.0,0.0,3643.0,51411.0,51411.0,,,,0.0,0.0,0.0
2003-10-01,151.0,1079.0,1079.0,,,,-6.0,0.0,0.0,41504.0,294843.0,294843.0,0.0,0.0,0.0,-16.0,0.0,0.0,6394.0,84423.0,84423.0,,,,0.0,0.0,0.0
2003-11-01,660.0,4744.0,4744.0,,,,0.0,0.0,0.0,140077.0,1007354.0,1007354.0,0.0,0.0,0.0,-55.0,0.0,0.0,-199.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,1777.0,13067.0,13067.0,,,,0.0,0.0,0.0,138519.0,1019464.0,1019464.0,0.0,0.0,0.0,179.0,5257.0,5257.0,-230.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,184.0,1362.0,1362.0,,,,0.0,0.0,0.0,150130.0,1111350.0,1111350.0,0.0,0.0,0.0,-47.0,257.0,257.0,-221.0,98.0,98.0,,,,0.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,66919.0,490335.0,490335.0,0.0,0.0,0.0,-19.0,624.0,624.0,6543.0,90315.0,90315.0,,,,0.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,-830.0,0.0,0.0,0.0,0.0,0.0,36.0,1412.0,1412.0,14541.0,198092.0,198092.0,,,,0.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,,,,66.0,1438.0,1438.0,-759.0,0.0,0.0,0.0,0.0,0.0,408.0,8896.0,8896.0,9614.0,125945.0,125945.0,,,,0.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,,,,285.0,6937.0,6937.0,-904.0,41.0,41.0,0.0,0.0,0.0,266.0,6434.0,6434.0,10509.0,144704.0,144704.0,,,,0.0,0.0,0.0
2004-06-01,74.0,745.0,745.0,,,,520.0,11850.0,11850.0,4119.0,41504.0,41504.0,0.0,0.0,0.0,351.0,8197.0,8197.0,15348.0,202277.0,202277.0,,,,0.0,0.0,0.0
2004-07-01,0.0,0.0,0.0,,,,141.0,3440.0,3440.0,128832.0,960744.0,960744.0,0.0,0.0,0.0,346.0,8334.0,8334.0,1455.0,23939.0,23939.0,,,,0.0,0.0,0.0
2004-08-01,0.0,0.0,0.0,,,,11.0,483.0,483.0,155008.0,1134146.0,1134146.0,0.0,0.0,0.0,34.0,1762.0,1762.0,-248.0,0.0,0.0,,,,0.0,0.0,0.0
2004-09-01,15.0,111.0,111.0,,,,36.0,1013.0,1013.0,140464.0,1034062.0,1034062.0,0.0,0.0,0.0,85.0,2871.0,2871.0,478.0,10074.0,10074.0,,,,0.0,0.0,0.0
2004-10-01,52.0,396.0,396.0,,,,0.0,0.0,0.0,105740.0,807735.0,807735.0,0.0,0.0,0.0,19.0,1383.0,1383.0,-235.0,0.0,0.0,,,,0.0,0.0,0.0
2004-11-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,138124.0,1019701.0,1019701.0,0.0,0.0,0.0,-11.0,228.0,228.0,-205.0,0.0,0.0,,,,0.0,0.0,0.0
2004-12-01,0.0,0.0,0.0,,,,1.0,300.0,300.0,158375.0,1120794.0,1120794.0,0.0,0.0,0.0,7.0,1260.0,1260.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
2005-01-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,149165.0,1105569.22,1105569.22,0.0,0.0,0.0,4.0,611.98,611.98,0.0,0.0,0.0,,,,0.0,0.0,0.0
