measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Residual Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,73.0,1080.0,1080.0,2341.0,32874.0,32874.0,-183.0,0.0,0.0,,,,0.0,0.0,0.0
2003-02-01,,,,,,,-178.0,0.0,0.0,,,,0.0,0.0,0.0
2003-03-01,1453.0,20544.0,20544.0,1956.0,26363.0,26363.0,-40.0,0.0,0.0,,,,0.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-12.0,0.0,0.0,4746.0,58452.0,58452.0,,,,0.0,0.0,0.0
2003-05-01,37.0,948.0,948.0,177.0,4320.0,4320.0,-198.0,0.0,0.0,,,,0.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,1551.0,26667.0,26667.0,-170.0,0.0,0.0,,,,0.0,0.0,0.0
2003-07-01,0.0,0.0,0.0,3444.0,52885.0,52885.0,191.0,5380.0,5380.0,,,,0.0,0.0,0.0
2003-08-01,0.0,0.0,0.0,3662.0,58562.0,58562.0,-185.0,0.0,0.0,,,,0.0,0.0,0.0
2003-09-01,0.0,0.0,0.0,242.0,6174.0,6174.0,-179.0,0.0,0.0,,,,0.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,-86.0,0.0,0.0,5823.0,70308.0,70308.0,,,,0.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-178.0,0.0,0.0,-156.0,0.0,0.0,,,,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,-183.0,0.0,0.0,-143.0,0.0,0.0,,,,0.0,0.0,0.0
2004-01-01,1.7,25.0,25.0,43.405,607.0,607.0,86.58,1312.0,1312.0,,,,0.0,0.0,0.0
2004-02-01,3.16,47.0,47.0,29.226000000000003,409.0,409.0,132.595,2009.0,2009.0,,,,0.0,0.0,0.0
2004-03-01,2.76,41.0,41.0,59.701,835.0,835.0,122.345,1854.0,1854.0,,,,0.0,0.0,0.0
2004-04-01,3.955,59.0,59.0,35.088,491.0,491.0,165.148,2502.0,2502.0,,,,0.0,0.0,0.0
2004-05-01,0.504,8.0,8.0,622.2330000000001,8705.0,8705.0,137.864,2089.0,2089.0,,,,0.0,0.0,0.0
2004-06-01,2.084,31.0,31.0,584.351,8175.0,8175.0,178.24800000000002,2701.0,2701.0,,,,0.0,0.0,0.0
2004-07-01,0.535,8.0,8.0,466.812,6531.0,6531.0,123.5,1871.0,1871.0,,,,0.0,0.0,0.0
2004-08-01,0.005,0.0,0.0,251.14100000000002,3514.0,3514.0,101.557,1539.0,1539.0,,,,0.0,0.0,0.0
2004-09-01,1.5490000000000002,23.0,23.0,120.84,1691.0,1691.0,136.167,2063.0,2063.0,,,,0.0,0.0,0.0
2004-10-01,0.39,6.0,6.0,17.671,247.0,247.0,133.605,2024.0,2024.0,,,,0.0,0.0,0.0
2004-11-01,1.133,17.0,17.0,32.57,456.0,456.0,108.92,1650.0,1650.0,,,,0.0,0.0,0.0
2004-12-01,2.225,33.0,33.0,34.961,489.0,489.0,86.47200000000001,1310.0,1310.0,,,,0.0,0.0,0.0
2005-01-01,11.18,209.51,209.51,504.835,9040.49,9040.49,-23.994,984.29,984.29,,,,0.0,0.0,0.0
2005-02-01,3.841,71.98,71.98,403.87100000000004,7232.45,7232.45,-19.195,787.44,787.44,,,,0.0,0.0,0.0
2005-03-01,4.257000000000001,79.78,79.78,560.446,10036.36,10036.36,-26.637,1092.71,1092.71,,,,0.0,0.0,0.0
2005-04-01,5.157,96.64,96.64,532.0070000000001,9527.08,9527.08,-25.285,1037.26,1037.26,,,,0.0,0.0,0.0
2005-05-01,4.789000000000001,89.75,89.75,508.725,9110.15,9110.15,-24.179000000000002,991.87,991.87,,,,0.0,0.0,0.0
2005-06-01,6.216,116.49,116.49,960.327,17197.36,17197.36,-45.642,1872.37,1872.37,,,,0.0,0.0,0.0
2005-07-01,6.327,118.57,118.57,1264.225,22639.51,22639.51,-60.086000000000006,2464.88,2464.88,,,,0.0,0.0,0.0
2005-08-01,7.433000000000001,139.3,139.3,1255.881,22490.1,22490.1,-59.689,2448.62,2448.62,,,,0.0,0.0,0.0
2005-09-01,4.8660000000000005,91.18,91.18,760.356,13616.31,13616.31,-36.138000000000005,1482.48,1482.48,,,,0.0,0.0,0.0
2005-10-01,5.404,101.26,101.26,539.1370000000001,9654.77,9654.77,-25.624000000000002,1051.17,1051.17,,,,0.0,0.0,0.0
2005-11-01,4.344,81.4,81.4,472.511,8461.64,8461.64,-22.457,921.26,921.26,,,,0.0,0.0,0.0
2005-12-01,9.185,172.13,172.13,590.68,10577.79,10577.79,-28.074,1151.66,1151.66,,,,0.0,0.0,0.0
2006-01-01,0.0,0.0,0.0,-113.0,1037.0,1037.0,289.0,6261.0,6261.0,,,,0.0,0.0,0.0
2006-02-01,-120.0,858.0,858.0,0.0,27.0,27.0,-139.0,0.0,0.0,,,,0.0,0.0,0.0
2006-03-01,-14.0,60.0,60.0,-141.0,575.0,575.0,-149.0,0.0,0.0,,,,0.0,0.0,0.0
2006-04-01,0.0,0.0,0.0,-53.0,911.0,911.0,-141.0,0.0,0.0,,,,0.0,0.0,0.0
2006-05-01,0.0,0.0,0.0,-42.0,1042.0,1042.0,-144.0,0.0,0.0,,,,0.0,0.0,0.0
2006-06-01,0.0,0.0,0.0,482.0,8966.0,8966.0,-146.0,0.0,0.0,,,,0.0,0.0,0.0
2006-07-01,0.0,0.0,0.0,7703.0,110959.0,110959.0,-181.0,25.0,25.0,,,,0.0,0.0,0.0
2006-08-01,14.0,234.0,234.0,2011.0,31048.0,31048.0,395.0,7299.0,7299.0,,,,0.0,0.0,0.0
2006-09-01,0.0,0.0,0.0,-7.0,856.0,856.0,-146.0,0.0,0.0,,,,0.0,0.0,0.0
2006-10-01,21.0,270.0,270.0,441.0,5335.0,5335.0,582.0,9346.0,9346.0,,,,0.0,0.0,0.0
2006-11-01,0.0,0.0,0.0,-69.0,1407.0,1407.0,-147.0,0.0,0.0,,,,0.0,0.0,0.0
2006-12-01,12.0,198.0,198.0,1331.0,21080.0,21080.0,-155.0,0.0,0.0,,,,0.0,0.0,0.0
2007-01-01,2.18,30.0,30.0,3575.82,49206.0,49206.0,116.0,3838.0,3838.0,,,,0.0,0.0,0.0
