measured_on,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,,,,101.85300000000001,1468.0,1468.0
2003-02-01,,,,,,,90.76700000000001,1308.0,1308.0
2003-03-01,,,,,,,90.72,1307.0,1307.0
2003-04-01,,,,,,,95.842,1381.0,1381.0
2003-05-01,,,,,,,104.465,1506.0,1506.0
2003-06-01,,,,,,,116.83,1684.0,1684.0
2003-07-01,,,,,,,152.326,2195.0,2195.0
2003-08-01,,,,,,,154.33100000000002,2224.0,2224.0
2003-09-01,,,,,,,102.65,1479.0,1479.0
2003-10-01,,,,,,,98.312,1417.0,1417.0
2003-11-01,,,,,,,80.769,1164.0,1164.0
2003-12-01,,,,,,,104.135,1501.0,1501.0
2004-01-01,,,,,,,20.952,337.0,337.0
2004-02-01,,,,,,,32.253,519.0,519.0
2004-03-01,,,,,,,35.642,574.0,574.0
2004-04-01,,,,,,,40.546,652.0,652.0
2004-05-01,,,,,,,53.85,867.0,867.0
2004-06-01,,,,,,,46.499,748.0,748.0
2004-07-01,,,,,,,61.834,995.0,995.0
2004-08-01,,,,,,,54.723000000000006,881.0,881.0
2004-09-01,,,,,,,51.168,823.0,823.0
2004-10-01,,,,,,,36.492000000000004,587.0,587.0
2004-11-01,,,,,,,29.188000000000002,470.0,470.0
2004-12-01,,,,,,,27.854000000000003,448.0,448.0
2005-01-01,33.211,229.15,229.15,,,,54.964000000000006,876.58,876.58
2005-02-01,16.856,116.3,116.3,,,,45.628,727.69,727.69
2005-03-01,20.4,140.75,140.75,,,,56.507000000000005,901.18,901.18
2005-04-01,21.257,146.67,146.67,,,,55.677,887.94,887.94
2005-05-01,25.048000000000002,172.82,172.82,,,,65.634,1046.74,1046.74
2005-06-01,22.678,156.47,156.47,,,,82.83200000000001,1321.02,1321.02
2005-07-01,36.314,250.55,250.55,,,,103.813,1655.63,1655.63
2005-08-01,40.187000000000005,277.27,277.27,,,,107.539,1715.05,1715.05
2005-09-01,39.908,275.35,275.35,,,,81.83,1305.05,1305.05
2005-10-01,23.813000000000002,164.3,164.3,,,,65.373,1042.57,1042.57
2005-11-01,18.981,130.96,130.96,,,,55.774,889.49,889.49
2005-12-01,41.346000000000004,285.27,285.27,,,,54.429,868.05,868.05
2006-01-01,26.378,247.0,247.0,,,,8.841000000000001,158.0,158.0
2006-02-01,26.103,244.0,244.0,,,,10.489,187.0,187.0
2006-03-01,22.887,214.0,214.0,,,,11.964,214.0,214.0
2006-04-01,30.192,282.0,282.0,,,,13.382000000000001,239.0,239.0
2006-05-01,27.286,255.0,255.0,,,,15.5,277.0,277.0
2006-06-01,32.633,305.0,305.0,,,,19.751,353.0,353.0
2006-07-01,31.656000000000002,296.0,296.0,,,,24.832,444.0,444.0
2006-08-01,34.069,319.0,319.0,,,,25.145,449.0,449.0
2006-09-01,24.203,226.0,226.0,,,,17.109,306.0,306.0
2006-10-01,31.152,291.0,291.0,,,,15.49,277.0,277.0
2006-11-01,27.191000000000003,254.0,254.0,,,,11.504000000000001,206.0,206.0
2006-12-01,30.25,283.0,283.0,,,,11.993,214.0,214.0
2007-01-01,3.121,29.0,29.0,,,,0.0,0.0,0.0
2007-02-01,2.787,29.0,29.0,,,,0.0,0.0,0.0
2007-03-01,28.431,280.0,280.0,,,,0.0,0.0,0.0
2007-04-01,10.161000000000001,99.0,99.0,,,,0.0,4.0,4.0
2007-05-01,0.9420000000000001,12.0,12.0,,,,0.0,0.0,0.0
2007-06-01,2.044,18.0,18.0,,,,0.0,0.0,0.0
2007-07-01,0.41,6.0,6.0,,,,0.0,0.0,0.0
2007-08-01,0.91,12.0,12.0,,,,245.0,3961.0,3961.0
2007-09-01,0.607,6.0,6.0,,,,0.0,0.0,0.0
2007-10-01,1.965,18.0,18.0,,,,0.0,0.0,0.0
2007-11-01,2.9090000000000003,29.0,29.0,,,,0.0,0.0,0.0
2007-12-01,0.7130000000000001,6.0,6.0,,,,1.0,50.0,50.0
2008-01-01,1.276,6.0,6.0,,,,0.0,0.0,0.0
2008-02-01,8.242,82.0,82.0,,,,0.0,0.0,0.0
2008-03-01,7.7780000000000005,76.0,76.0,,,,0.0,0.0,0.0
2008-04-01,5.5520000000000005,53.0,53.0,,,,0.0,2.0,2.0
2008-05-01,6.609,64.0,64.0,,,,0.0,0.0,0.0
2008-06-01,0.437,6.0,6.0,,,,0.0,0.0,0.0
2008-07-01,2.815,29.0,29.0,,,,0.0,0.0,0.0
2008-08-01,1.3880000000000001,12.0,12.0,,,,266.0,4413.0,4413.0
2008-09-01,5.859,58.0,58.0,,,,0.0,0.0,0.0
2008-10-01,0.902,12.0,12.0,,,,0.0,0.0,0.0
2008-11-01,3.435,35.0,35.0,,,,0.0,0.0,0.0
2008-12-01,0.7070000000000001,6.0,6.0,,,,0.0,0.0,0.0
2009-01-01,10.166,93.0,93.0,,,,0.0,0.0,0.0
2009-02-01,3.62,35.0,35.0,,,,0.0,0.0,0.0
2009-03-01,0.575,6.0,6.0,,,,0.0,0.0,0.0
2009-04-01,1.118,12.0,12.0,,,,0.0,187.0,187.0
2009-05-01,4.165,41.0,41.0,,,,0.0,0.0,0.0
2009-06-01,3.315,35.0,35.0,,,,0.0,0.0,0.0
2009-07-01,2.137,23.0,23.0,,,,0.0,0.0,0.0
2009-08-01,2.237,23.0,23.0,,,,238.0,4174.0,4174.0
2009-09-01,2.209,23.0,23.0,,,,0.0,0.0,0.0
2009-10-01,0.36200000000000004,6.0,6.0,,,,0.0,0.0,0.0
2009-11-01,6.325,64.0,64.0,,,,0.0,0.0,0.0
2009-12-01,3.7710000000000004,35.0,35.0,,,,0.0,0.0,0.0
2010-01-01,2.396,23.0,23.0,,,,0.0,0.0,0.0
2010-02-01,4.3020000000000005,41.0,41.0,,,,0.0,0.0,0.0
2010-03-01,0.12,0.0,0.0,,,,0.0,0.0,0.0
2010-04-01,0.523,6.0,6.0,,,,0.0,145.0,145.0
2010-05-01,6.782,64.0,64.0,,,,0.0,0.0,0.0
2010-06-01,0.402,6.0,6.0,,,,0.0,0.0,0.0
2010-07-01,1.371,12.0,12.0,,,,0.0,0.0,0.0
2010-08-01,1.578,18.0,18.0,,,,51.0,780.0,780.0
2010-09-01,1.589,18.0,18.0,,,,0.0,0.0,0.0
2010-10-01,7.886,76.0,76.0,,,,0.0,0.0,0.0
2010-11-01,1.983,18.0,18.0,,,,0.0,0.0,0.0
