measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,4375.0,72490.0,72490.0,0.0,0.0,0.0
2003-02-01,5292.0,88744.0,88744.0,0.0,0.0,0.0
2003-03-01,3208.0,54564.0,54564.0,0.0,0.0,0.0
2003-04-01,4947.0,79783.0,79783.0,0.0,0.0,0.0
2003-05-01,5844.0,97291.0,97291.0,0.0,0.0,0.0
2003-06-01,5701.0,95216.0,95216.0,0.0,0.0,0.0
2003-07-01,5814.0,102251.0,102251.0,0.0,0.0,0.0
2003-08-01,5812.0,103586.0,103586.0,0.0,0.0,0.0
2003-09-01,5550.0,95617.0,95617.0,0.0,0.0,0.0
2003-10-01,5134.0,80470.0,80470.0,14.0,225.0,225.0
2003-11-01,5774.0,97246.0,97246.0,0.0,0.0,0.0
2003-12-01,5936.0,97480.0,97480.0,0.0,0.0,0.0
2004-01-01,4915.429,94282.0,94282.0,473.047,9074.0,9074.0
2004-02-01,4596.328,88162.0,88162.0,589.913,11315.0,11315.0
2004-03-01,4438.646000000001,85137.0,85137.0,748.731,14361.0,14361.0
2004-04-01,4690.115,89960.0,89960.0,717.1610000000001,13756.0,13756.0
2004-05-01,5019.305,96275.0,96275.0,816.5360000000001,15662.0,15662.0
2004-06-01,4853.776,93100.0,93100.0,705.368,13530.0,13530.0
2004-07-01,4768.5830000000005,91466.0,91466.0,1355.998,26009.0,26009.0
2004-08-01,4761.857,91337.0,91337.0,1268.813,24337.0,24337.0
2004-09-01,4679.279,89753.0,89753.0,1133.839,21748.0,21748.0
2004-10-01,4832.602,92694.0,92694.0,812.19,15579.0,15579.0
2004-11-01,4429.055,84953.0,84953.0,801.937,15382.0,15382.0
2004-12-01,3049.023,58483.0,58483.0,686.467,13167.0,13167.0
2005-01-01,5920.52,91676.18,91676.18,0.0,0.0,0.0
2005-02-01,5049.398,78187.31,78187.31,0.0,0.0,0.0
2005-03-01,5640.9580000000005,87347.31,87347.31,0.0,0.0,0.0
2005-04-01,5208.299,80647.82,80647.82,0.0,0.0,0.0
2005-05-01,5706.527,88362.61,88362.61,0.0,0.0,0.0
2005-06-01,5533.236,85679.3,85679.3,0.0,0.0,0.0
2005-07-01,5944.673000000001,92050.19,92050.19,0.0,0.0,0.0
2005-08-01,5726.351000000001,88669.58,88669.58,0.0,0.0,0.0
2005-09-01,5451.875,84419.47,84419.47,0.0,0.0,0.0
2005-10-01,4704.919,72853.24,72853.24,0.0,0.0,0.0
2005-11-01,5238.91,81121.8,81121.8,0.0,0.0,0.0
2005-12-01,5862.335,90775.22,90775.22,0.0,0.0,0.0
2006-01-01,4855.223,76083.0,76083.0,0.0,0.0,0.0
2006-02-01,4486.964,70312.0,70312.0,0.0,0.0,0.0
2006-03-01,4949.4220000000005,77559.0,77559.0,0.0,0.0,0.0
2006-04-01,3641.577,57065.0,57065.0,0.0,0.0,0.0
2006-05-01,4452.138,69766.0,69766.0,0.0,0.0,0.0
2006-06-01,4663.79,73083.0,73083.0,0.0,0.0,0.0
2006-07-01,4840.24,75848.0,75848.0,0.0,0.0,0.0
2006-08-01,4811.133,75392.0,75392.0,0.0,0.0,0.0
2006-09-01,4601.962,72114.0,72114.0,0.0,0.0,0.0
2006-10-01,4775.3330000000005,74831.0,74831.0,0.0,0.0,0.0
2006-11-01,4823.027,75578.0,75578.0,0.0,0.0,0.0
2006-12-01,4647.191,72823.0,72823.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,3915.0,66430.0,66430.0,0.0,0.0,0.0
2007-10-01,4835.0,80546.0,80546.0,0.0,0.0,0.0
2007-11-01,3701.0,57195.0,57195.0,0.0,0.0,0.0
2007-12-01,4640.0,81429.0,81429.0,0.0,0.0,0.0
2008-01-01,3899.0,60746.0,60746.0,0.0,0.0,0.0
2008-02-01,4472.0,69306.0,69306.0,0.0,0.0,0.0
2008-03-01,4561.0,70728.0,70728.0,0.0,0.0,0.0
2008-04-01,4447.0,73075.0,73075.0,0.0,0.0,0.0
2008-05-01,4954.0,77235.0,77235.0,0.0,0.0,0.0
2008-06-01,4723.0,77976.0,77976.0,0.0,0.0,0.0
2008-07-01,4033.0,60131.0,60131.0,0.0,0.0,0.0
2008-08-01,4855.0,75650.0,75650.0,0.0,0.0,0.0
2008-09-01,4678.0,80222.0,80222.0,0.0,0.0,0.0
2008-10-01,4702.0,80425.0,80425.0,0.0,0.0,0.0
2008-11-01,4375.0,75116.0,75116.0,0.0,0.0,0.0
2008-12-01,4375.0,81203.0,81203.0,0.0,0.0,0.0
2009-01-01,4159.0,68377.0,68377.0,0.0,0.0,0.0
2009-02-01,4340.0,73402.0,73402.0,0.0,0.0,0.0
2009-03-01,4629.0,78026.0,78026.0,0.0,0.0,0.0
2009-04-01,4566.0,79260.0,79260.0,0.0,0.0,0.0
2009-05-01,4808.0,82670.0,82670.0,0.0,0.0,0.0
2009-06-01,4569.0,80179.0,80179.0,0.0,0.0,0.0
2009-07-01,4717.0,87021.0,87021.0,0.0,0.0,0.0
