measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed
2003-01-01,54.007000000000005,933.0,933.0,0.0,0.0,0.0,21.749000000000002,505.0,505.0
2003-02-01,47.475,820.0,820.0,0.0,0.0,0.0,19.118000000000002,444.0,444.0
2003-03-01,47.424,820.0,820.0,0.0,0.0,0.0,19.098000000000003,443.0,443.0
2003-04-01,40.193000000000005,695.0,695.0,0.0,0.0,0.0,16.186,376.0,376.0
2003-05-01,43.765,756.0,756.0,0.0,0.0,0.0,17.624000000000002,409.0,409.0
2003-06-01,46.995,812.0,812.0,0.0,0.0,0.0,18.925,439.0,439.0
2003-07-01,52.721000000000004,911.0,911.0,0.0,0.0,0.0,21.231,493.0,493.0
2003-08-01,56.625,979.0,979.0,0.0,0.0,0.0,22.803,529.0,529.0
2003-09-01,48.284,834.0,834.0,0.0,0.0,0.0,19.445,451.0,451.0
2003-10-01,51.738,894.0,894.0,0.0,0.0,0.0,20.835,484.0,484.0
2003-11-01,49.634,858.0,858.0,0.0,0.0,0.0,19.988,464.0,464.0
2003-12-01,52.138000000000005,901.0,901.0,0.0,0.0,0.0,20.996000000000002,487.0,487.0
2004-01-01,-41.539,1806.0,1806.0,0.036000000000000004,0.0,0.0,-35.529,1703.0,1703.0
2004-02-01,-29.347,1276.0,1276.0,0.11800000000000001,0.0,0.0,-21.33,1022.0,1022.0
2004-03-01,-11.065,481.0,481.0,0.067,0.0,0.0,-6.828,327.0,327.0
2004-04-01,-2.528,110.0,110.0,0.062,0.0,0.0,-8.329,399.0,399.0
2004-05-01,-6.309,274.0,274.0,0.129,0.0,0.0,-34.883,1672.0,1672.0
2004-06-01,-25.117,1092.0,1092.0,0.085,0.0,0.0,-35.884,1720.0,1720.0
2004-07-01,-6.205,270.0,270.0,0.039,0.0,0.0,-16.736,802.0,802.0
2004-08-01,-4.026,175.0,175.0,0.116,0.0,0.0,-21.577,1034.0,1034.0
2004-09-01,-4.109,179.0,179.0,0.47400000000000003,1.0,1.0,-14.918000000000001,715.0,715.0
2004-10-01,-2.5940000000000003,113.0,113.0,0.031,0.0,0.0,-0.8510000000000001,41.0,41.0
2004-11-01,-6.513,283.0,283.0,0.734,2.0,2.0,-17.12,820.0,820.0
2004-12-01,-9.65,420.0,420.0,0.07,0.0,0.0,-7.013,336.0,336.0
2007-01-01,,,,-38.249,29.0,29.0,4.921,727.0,727.0
2007-02-01,,,,-43.555,29.0,29.0,5.436,803.0,803.0
2007-03-01,,,,-36.301,23.0,23.0,1.899,280.0,280.0
2007-04-01,,,,-38.512,29.0,29.0,5.049,745.0,745.0
2007-05-01,,,,-39.66,29.0,29.0,9.916,1464.0,1464.0
2007-06-01,,,,-46.615,35.0,35.0,10.378,1531.0,1531.0
2007-07-01,,,,-36.449000000000005,23.0,23.0,12.565,1854.0,1854.0
2007-08-01,,,,-29.165,17.0,17.0,31.688000000000002,4677.0,4677.0
2007-09-01,,,,-27.627000000000002,17.0,17.0,12.316,1817.0,1817.0
2007-10-01,,,,-39.689,29.0,29.0,11.104000000000001,1639.0,1639.0
2007-11-01,,,,-32.589,23.0,23.0,2.962,438.0,438.0
2007-12-01,,,,-57.588,40.0,40.0,6.767,998.0,998.0
2008-01-01,,,,0.0,0.0,0.0,-5.694,838.0,838.0
2008-02-01,,,,0.0,0.0,0.0,-6.682,983.0,983.0
2008-03-01,,,,0.0,0.0,0.0,-3.773,555.0,555.0
2008-04-01,,,,0.0,0.0,0.0,-2.692,396.0,396.0
2008-05-01,,,,0.0,0.0,0.0,-0.364,54.0,54.0
2008-06-01,,,,0.0,0.0,0.0,-14.442,2126.0,2126.0
2008-07-01,,,,0.0,0.0,0.0,-20.043,2950.0,2950.0
2008-08-01,,,,0.0,0.0,0.0,-15.962000000000002,2349.0,2349.0
2008-09-01,,,,0.0,0.0,0.0,-6.87,1011.0,1011.0
2008-10-01,,,,0.0,0.0,0.0,-0.8310000000000001,122.0,122.0
2008-11-01,,,,0.0,0.0,0.0,-4.115,606.0,606.0
2008-12-01,,,,-535.0,6.0,6.0,-6.532,961.0,961.0
2009-01-01,,,,-45.395,23.0,23.0,-6.747,702.0,702.0
2009-02-01,,,,-40.183,29.0,29.0,-4.97,516.0,516.0
2009-03-01,,,,-37.024,23.0,23.0,-6.558000000000001,681.0,681.0
2009-04-01,,,,-30.056,17.0,17.0,-7.416,771.0,771.0
2009-05-01,,,,-64.419,40.0,40.0,-6.807,708.0,708.0
2009-06-01,,,,-49.394000000000005,35.0,35.0,-8.18,850.0,850.0
2009-07-01,,,,-32.083,23.0,23.0,-7.869000000000001,818.0,818.0
2009-08-01,,,,-35.654,23.0,23.0,-17.107,1778.0,1778.0
2009-09-01,,,,-33.909,23.0,23.0,-18.435,1916.0,1916.0
2009-10-01,,,,-32.533,23.0,23.0,-6.797000000000001,707.0,707.0
2009-11-01,,,,-33.655,23.0,23.0,-6.861000000000001,713.0,713.0
2009-12-01,,,,-44.695,29.0,29.0,-2.253,234.0,234.0
2010-01-01,-2.8240000000000003,86.0,86.0,-46.714000000000006,23.0,23.0,-6.586,209.0,209.0
2010-02-01,-1.82,58.0,58.0,-30.088,12.0,12.0,-3.8080000000000003,120.0,120.0
