measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,-27.0,0.0,0.0,0.0,0.0,0.0,,,,-313.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,55.0,476.0,476.0,0.0,0.0,0.0,,,,-274.0,0.0,0.0
2003-03-01,0.0,0.0,0.0,45.0,760.0,760.0,0.0,0.0,0.0,,,,-259.0,0.0,0.0
2003-04-01,0.0,0.0,0.0,-26.0,0.0,0.0,0.0,0.0,0.0,,,,-323.0,0.0,0.0
2003-05-01,0.0,0.0,0.0,-35.0,0.0,0.0,0.0,0.0,0.0,,,,-145.0,0.0,0.0
2003-06-01,0.0,0.0,0.0,5.0,64.0,64.0,0.0,0.0,0.0,,,,1290.0,28364.0,28364.0
2003-07-01,0.0,0.0,0.0,9.0,122.0,122.0,0.0,0.0,0.0,,,,52.0,1245.0,1245.0
2003-08-01,0.0,0.0,0.0,26.0,273.0,273.0,0.0,0.0,0.0,,,,20218.0,312485.0,312485.0
2003-09-01,0.0,0.0,0.0,20.0,313.0,313.0,0.0,0.0,0.0,,,,-519.0,0.0,0.0
2003-10-01,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,,-279.0,0.0,0.0
2003-11-01,0.0,0.0,0.0,-16.0,0.0,0.0,0.0,0.0,0.0,,,,-263.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,,,,-284.0,0.0,0.0
2004-01-01,0.0,0.0,0.0,-52.0,23.0,23.0,0.0,0.0,0.0,,,,-343.0,0.0,0.0
2004-02-01,0.0,0.0,0.0,-18.0,0.0,0.0,0.0,0.0,0.0,,,,-307.0,0.0,0.0
2004-03-01,0.0,0.0,0.0,-40.0,58.0,58.0,0.0,0.0,0.0,,,,-310.0,0.0,0.0
2004-04-01,0.0,0.0,0.0,-15.0,0.0,0.0,0.0,0.0,0.0,,,,-290.0,0.0,0.0
2004-05-01,0.0,0.0,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,,,,396.0,19896.0,19896.0
