measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Wind Generation,Wind Quantity Consumed For Electricity,Wind Total Fuel Consumed
2015-12-01,,,,35743.0,333089.0,333089.0
2016-01-01,,,,46925.0,433212.0,433212.0
2016-02-01,,,,50462.0,465865.0,465865.0
2016-03-01,,,,46480.0,429103.0,429103.0
2016-04-01,,,,39121.0,361165.0,361165.0
2016-05-01,,,,44120.0,407316.0,407316.0
2016-06-01,,,,31347.0,289396.0,289396.0
2016-07-01,,,,61059.0,563697.0,563697.0
2016-08-01,,,,38554.0,355931.0,355931.0
2016-09-01,,,,27396.0,252920.0,252920.0
2016-10-01,,,,25210.0,232739.0,232739.0
2016-11-01,,,,39873.0,368108.0,368108.0
2016-12-01,,,,48405.0,446875.0,446875.0
2017-01-01,,,,45999.321,423792.0,423792.0
2017-02-01,,,,45533.519,419500.0,419500.0
2017-03-01,,,,55174.595,508324.0,508324.0
2017-04-01,,,,53917.307,496740.0,496740.0
2017-05-01,,,,48160.425,443702.0,443702.0
2017-06-01,,,,36811.191,339142.0,339142.0
2017-07-01,,,,34102.62,314187.0,314187.0
2017-08-01,,,,27983.745,257814.0,257814.0
2017-09-01,,,,35529.09,327330.0,327330.0
2017-10-01,,,,44179.201,407023.0,407023.0
2017-11-01,,,,42683.68,393245.0,393245.0
2017-12-01,,,,37993.306,350032.0,350032.0
2018-01-01,,,,45709.707,416141.0,416141.0
2018-02-01,,,,41802.583,380571.0,380571.0
2018-03-01,,,,49883.01,454135.0,454135.0
2018-04-01,,,,51672.217,470424.0,470424.0
2018-05-01,,,,52690.261,479692.0,479692.0
2018-06-01,,,,52804.858,480735.0,480735.0
2018-07-01,,,,31901.878,290435.0,290435.0
2018-08-01,,,,40728.538,370793.0,370793.0
2018-09-01,,,,28518.364,259631.0,259631.0
2018-10-01,,,,37996.933,345924.0,345924.0
2018-11-01,,,,41039.342,373622.0,373622.0
2018-12-01,,,,43245.309,393705.0,393705.0
2019-01-01,,,,44517.17,396425.0,396425.0
2019-02-01,,,,42684.828,380108.0,380108.0
2019-03-01,,,,42218.392,375955.0,375955.0
2019-04-01,,,,49150.618,437686.0,437686.0
2019-05-01,,,,47993.596,427383.0,427383.0
2019-06-01,,,,38037.133,338721.0,338721.0
