measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0
2003-03-01,4543.0,46524.86,46524.86
2003-04-01,5385.0,55147.79,55147.79
2003-05-01,3315.0,33948.92,33948.92
2003-06-01,6730.0,68921.93,68921.93
2003-07-01,6555.0,67129.76,67129.76
2003-08-01,6202.0,63514.68,63514.68
2003-09-01,6711.0,68727.35,68727.35
2003-10-01,7476.0,76561.72,76561.72
2003-11-01,7159.0,73315.32,73315.32
2003-12-01,6908.0,70744.83,70744.83
2005-01-01,5268.541,52680.14,52680.14
2005-02-01,4448.613,44481.68,44481.68
2005-03-01,5036.227,50357.23,50357.23
2005-04-01,5038.966,50384.62,50384.62
2005-05-01,5350.879,53503.44,53503.44
2005-06-01,5283.969,52834.41,52834.41
2005-07-01,5404.642,54041.02,54041.02
2005-08-01,5338.352,53378.18,53378.18
2005-09-01,5223.9,52233.78,52233.78
2005-10-01,5350.571,53500.36,53500.36
2005-11-01,5193.532,51930.13,51930.13
2005-12-01,5338.808,53382.74,53382.74
2006-01-01,6582.099,65287.84,65287.84
2006-02-01,5965.927000000001,59176.03,59176.03
2006-03-01,6743.539000000001,66889.16,66889.16
2006-04-01,6033.406,59845.35,59845.35
2006-05-01,5868.774,58212.37,58212.37
2006-06-01,6370.192,63185.93,63185.93
2006-07-01,6692.47,66382.61,66382.61
2006-08-01,6833.686000000001,67783.33,67783.33
2006-09-01,6467.219,64148.35,64148.35
2006-10-01,6740.225,66856.29,66856.29
2006-11-01,6528.202,64753.24,64753.24
2006-12-01,6811.26,67560.89,67560.89
2007-01-01,7176.174,70929.3,70929.3
2007-02-01,6257.402,61848.16,61848.16
2007-03-01,6674.217000000001,65967.96,65967.96
2007-04-01,6491.144,64158.47,64158.47
2007-05-01,6544.44,64685.24,64685.24
2007-06-01,6996.375,69152.17,69152.17
2007-07-01,7032.866,69512.85,69512.85
2007-08-01,7012.978,69316.27,69316.27
2007-09-01,6874.523,67947.79,67947.79
2007-10-01,7104.067,70216.6,70216.6
2007-11-01,6805.898,67269.5,67269.5
2007-12-01,7017.916,69365.08,69365.08
2008-01-01,7205.911,71007.05,71007.05
2008-02-01,6518.036,64228.73,64228.73
2008-03-01,6854.078,67540.08,67540.08
2008-04-01,6609.6630000000005,65131.62,65131.62
2008-05-01,6847.823,67478.45,67478.45
2008-06-01,6952.7480000000005,68512.38,68512.38
2008-07-01,7085.765,69823.13,69823.13
2008-08-01,7000.6990000000005,68984.89,68984.89
2008-09-01,6799.452,67001.8,67001.8
2008-10-01,7032.339,69296.67,69296.67
2008-11-01,6716.6720000000005,66186.09,66186.09
2008-12-01,6835.814,67360.11,67360.11
2009-01-01,6882.278,67171.03,67171.03
2009-02-01,6234.311000000001,60846.88,60846.88
2009-03-01,6931.756,67653.94,67653.94
2009-04-01,6605.509,64469.77,64469.77
2009-05-01,6739.023,65772.86,65772.86
2009-06-01,6523.915,63673.41,63673.41
2009-07-01,6876.784000000001,67117.41,67117.41
2009-08-01,6813.973,66504.38,66504.38
2009-09-01,6628.923000000001,64698.29,64698.29
2009-10-01,6810.659000000001,66472.03,66472.03
2009-11-01,6672.986,65128.34,65128.34
2009-12-01,7134.883000000001,69636.46,69636.46
2010-01-01,7289.597000000001,71117.0,71117.0
2010-02-01,6548.279,63885.0,63885.0
2010-03-01,7137.952,69638.0,69638.0
2010-04-01,6755.358,65905.0,65905.0
2010-05-01,7094.151000000001,69211.0,69211.0
2010-06-01,6872.582,67049.0,67049.0
2010-07-01,7068.385,68959.0,68959.0
2010-08-01,7114.573,69410.0,69410.0
