measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Generation,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Quantity Consumed For Electricity,Kerosene - Combustion (Gas) Turbine (including jet engine design) - Waste Oil - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed
2011-06-01,,,,3729.053,37953.0,37953.0,2674.947,27225.0,27225.0
2011-07-01,,,,4458.0,44121.0,44121.0,0.0,0.0,0.0
2011-08-01,,,,2033.0,22861.0,22861.0,0.0,0.0,0.0
2011-09-01,,,,2825.0,30095.0,30095.0,0.0,0.0,0.0
2011-10-01,,,,61.0,3529.0,3529.0,0.0,0.0,0.0
2011-11-01,,,,94.0,2258.0,2258.0,0.0,0.0,0.0
2011-12-01,,,,332.0,13357.0,13357.0,0.0,0.0,0.0
2012-01-01,,,,-90.0,2922.0,2922.0,0.0,0.0,0.0
2012-02-01,,,,-135.0,1529.0,1529.0,0.0,0.0,0.0
2012-03-01,,,,-179.0,1103.0,1103.0,0.0,0.0,0.0
2012-04-01,,,,-240.0,358.0,358.0,0.0,0.0,0.0
2012-05-01,,,,1826.0,19464.0,19464.0,0.0,0.0,0.0
2012-06-01,,,,-201.0,483.0,483.0,0.0,0.0,0.0
2012-07-01,,,,-12.0,1875.0,1875.0,0.0,0.0,0.0
2012-08-01,,,,689.0,7064.0,7064.0,0.0,0.0,0.0
2012-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,,,,2475.0,24858.0,24858.0,0.0,0.0,0.0
2013-02-01,,,,1107.0,14401.0,14401.0,0.0,0.0,0.0
2013-03-01,,,,219.0,5676.0,5676.0,0.0,0.0,0.0
2013-04-01,,,,-211.0,1137.0,1137.0,0.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,136.0,4213.0,4213.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,-14.0,2530.0,2530.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,1224.0,14923.0,14923.0,0.0,0.0,0.0
2013-08-01,,,,128.0,3946.0,3946.0,0.0,0.0,0.0
2013-09-01,,,,1308.0,15140.0,15140.0,0.0,0.0,0.0
2013-10-01,,,,-104.53,691.0,691.0,-0.47,3.0,3.0
2013-11-01,,,,266.0,5680.0,5680.0,0.0,0.0,0.0
