measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,6506.241,34346.52,207112.4,,,
2004-02-01,,,,6653.631,35124.6,211804.24,,,
2004-03-01,,,,6874.147,36288.7,218823.92,,,
2004-04-01,,,,7558.955,39903.81,240623.36,,,
2004-05-01,,,,7906.033,41736.04,251671.84,,,
2004-06-01,,,,7626.987,40262.95,242788.96,,,
2004-07-01,,,,8632.116,45569.04,274785.12,,,
2004-08-01,,,,6677.728,35251.8,212571.36,,,
2004-09-01,,,,5899.271000000001,31142.32,187790.8,,,
2004-10-01,,,,6190.5560000000005,32680.01,197063.28,,,
2004-11-01,,,,7940.087,41915.81,252755.84,,,
2004-12-01,,,,6409.247,33834.49,204024.8,,,
2005-01-01,,,,5412.6,28573.18,211448.0,,,
2005-02-01,,,,7129.5,37636.71,233680.0,,,
2005-03-01,,,,7294.4,38507.22,268176.0,,,
2005-04-01,,,,10359.6,54688.45,296672.0,,,
2005-05-01,,,,10311.1,54432.42,276312.0,,,
2005-06-01,,,,9787.3,51667.27,273088.0,,,
2005-07-01,,,,11581.8,61140.46,326160.0,,,
2005-08-01,,,,9176.2,48441.27,299712.0,,,
2005-09-01,,,,7934.6,41886.85,278536.0,,,
2005-10-01,,,,3909.1,20636.18,183240.0,,,
2005-11-01,,,,3656.9,19304.82,112128.0,,,
2005-12-01,,,,7505.86,39623.52,226576.0,,,
2006-01-01,,,,8888.11,46920.44,267928.0,,,
2006-02-01,,,,9404.15,49644.62,223608.0,,,
2006-03-01,,,,11444.06,60413.33,277136.0,,,
2006-04-01,,,,7999.59,42229.93,267864.0,,,
2006-05-01,,,,9436.16,49813.6,270600.0,,,
2006-06-01,,,,5721.06,30201.54,164176.0,,,
2006-07-01,,,,10606.95,55994.21,297944.0,,,
2006-08-01,,,,12123.06,63997.77,310312.0,,,
2006-09-01,,,,12132.76,64048.98,315032.0,,,
2006-10-01,,,,12757.44,67346.67,347000.0,,,
2006-11-01,,,,9824.16,51861.85,288384.0,,,
2006-12-01,,,,9684.48,51124.48,300608.0,,,
2007-01-01,,,,9917.28,52352.0,309904.0,,,
2007-02-01,,,,8892.96,46944.0,288368.0,,,
2007-03-01,,,,9265.44,48912.0,294120.0,,,
2007-04-01,,,,9681.57,51112.0,302104.0,,,
2007-05-01,,,,11174.4,58992.0,296808.0,,,
2007-06-01,,,,5959.68,31464.0,145616.0,,,
2007-07-01,,,,11081.28,58496.0,339216.0,,,
2007-08-01,,,,11122.02,58712.0,331016.0,,,
2007-09-01,,,,9824.16,51864.0,330552.0,,,
2007-10-01,,,,10243.2,54072.0,312320.0,,,
2007-11-01,,,,9172.32,48424.0,275872.0,,,
2007-12-01,,,,7961.76,42032.0,268056.0,,,
2008-01-01,,,,7241.323,71356.0,71356.0,,,
2008-02-01,,,,6304.27,62122.0,62122.0,,,
2008-03-01,,,,7391.12,72832.0,72832.0,,,
2008-04-01,,,,7718.224,76055.0,76055.0,,,
2008-05-01,,,,7333.637000000001,72266.0,72266.0,,,
2008-06-01,,,,6863.639,67634.0,67634.0,,,
2008-07-01,,,,7537.853,74278.0,74278.0,,,
2008-08-01,,,,7156.360000000001,70519.0,70519.0,,,
2008-09-01,,,,7394.4890000000005,72865.0,72865.0,,,
2008-10-01,,,,5836.1630000000005,57510.0,57510.0,,,
2008-11-01,,,,4858.9890000000005,47880.0,47880.0,,,
2008-12-01,,,,5279.933,52028.0,52028.0,,,
2009-01-01,,,,2569.785,25081.0,25081.0,,,
2009-02-01,,,,2984.7830000000004,29131.0,29131.0,,,
2009-03-01,,,,3845.11,37528.0,37528.0,,,
2009-04-01,,,,3879.6470000000004,37865.0,37865.0,,,
2009-05-01,,,,3284.904,32061.0,32061.0,,,
2009-06-01,,,,3400.349,33187.0,33187.0,,,
2009-07-01,,,,3711.744,36227.0,36227.0,,,
2009-08-01,,,,3937.0130000000004,38425.0,38425.0,,,
2009-09-01,,,,3714.052,36249.0,36249.0,,,
2009-10-01,,,,3454.8590000000004,33719.0,33719.0,,,
2009-11-01,,,,3514.2690000000002,34299.0,34299.0,,,
2009-12-01,,,,3751.485,36614.0,36614.0,,,
2010-01-01,,,,5178.226000000001,50519.0,50519.0,,,
2010-02-01,,,,4673.369000000001,45593.0,45593.0,,,
2010-03-01,,,,4945.769,48251.0,48251.0,,,
2010-04-01,,,,4738.1140000000005,46225.0,46225.0,,,
2010-05-01,,,,4893.212,47738.0,47738.0,,,
2010-06-01,,,,4736.724,46211.0,46211.0,,,
2010-07-01,,,,5137.358,50120.0,50120.0,,,
2010-08-01,,,,5114.503000000001,49897.0,49897.0,,,
2010-09-01,,,,5009.359,48871.0,48871.0,,,
2010-10-01,,,,5088.884,49647.0,49647.0,,,
2010-11-01,,,,4776.271000000001,46597.0,46597.0,,,
2010-12-01,,,,4864.211,47455.0,47455.0,,,
