measured_on,Solar - Other - Solar - Generation,Solar - Other - Solar - Quantity Consumed For Electricity,Solar - Other - Solar - Total Fuel Consumed
2009-01-01,0.0,0.0,0.0
2009-02-01,0.0,0.0,0.0
2009-03-01,0.0,0.0,0.0
2009-04-01,0.0,0.0,0.0
2009-05-01,0.0,0.0,0.0
2009-06-01,0.0,0.0,0.0
2009-07-01,0.0,0.0,0.0
2009-08-01,0.0,0.0,0.0
2009-09-01,0.0,0.0,0.0
2009-10-01,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0
2010-01-01,14.91,145.0,145.0
2010-02-01,220.691,2153.0,2153.0
2010-03-01,230.632,2250.0,2250.0
2010-04-01,314.468,3068.0,3068.0
2010-05-01,197.827,1930.0,1930.0
2010-06-01,240.24200000000002,2344.0,2344.0
2010-07-01,167.341,1633.0,1633.0
2010-08-01,164.02700000000002,1600.0,1600.0
2010-09-01,164.69,1607.0,1607.0
2010-10-01,218.703,2134.0,2134.0
2010-11-01,208.43,2033.0,2033.0
2010-12-01,162.03900000000002,1581.0,1581.0
