measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,90.0,2517.0,2517.0,,,
2003-02-01,-15.0,0.0,0.0,62.0,824.0,824.0
2003-03-01,53.0,870.0,870.0,0.0,0.0,0.0
2003-04-01,-13.0,0.0,0.0,0.0,0.0,0.0
2003-05-01,78.0,1172.0,1172.0,-6.0,0.0,0.0
2003-06-01,1232.0,15817.0,15817.0,374.0,4367.0,4367.0
2003-07-01,5250.0,73382.0,73382.0,1101.0,11942.0,11942.0
2003-08-01,7321.0,80927.0,80927.0,1801.0,20544.0,20544.0
2003-09-01,1078.0,19888.0,19888.0,501.0,5208.0,5208.0
2003-10-01,1357.0,17388.0,17388.0,123.0,1404.0,1404.0
2003-11-01,20.0,302.0,302.0,59.0,667.0,667.0
2003-12-01,-15.0,0.0,0.0,-6.0,0.0,0.0
2004-01-01,-14.0,0.0,0.0,152.0,1815.0,1815.0
2004-02-01,42.0,1839.0,1839.0,-6.0,0.0,0.0
2004-03-01,115.0,1676.0,1676.0,-6.0,0.0,0.0
2004-04-01,45.0,864.0,864.0,1.0,70.0,70.0
2004-05-01,261.0,4663.0,4663.0,104.0,1090.0,1090.0
2004-06-01,871.0,9812.0,9812.0,54.0,627.0,627.0
2004-07-01,930.0,16895.0,16895.0,470.0,5319.0,5319.0
2004-08-01,1448.0,18688.0,18688.0,790.0,8317.0,8317.0
2004-09-01,229.0,3086.0,3086.0,205.0,2146.0,2146.0
2004-10-01,36.0,578.0,578.0,7.0,159.0,159.0
2004-12-01,9.0,612.0,612.0,5.0,156.0,156.0
2005-01-01,-12.0,0.0,0.0,-6.0,0.0,0.0
2005-02-01,-11.0,0.0,0.0,-6.0,0.0,0.0
2005-03-01,-12.0,0.0,0.0,-6.0,0.0,0.0
2005-04-01,-9.0,0.0,0.0,-3.0,11.75,11.75
2005-05-01,-9.0,29.0,29.0,-6.0,5.8,5.8
2005-06-01,442.0,5017.24,5017.24,35.0,303.37,303.37
2005-07-01,1764.0,23807.89,23807.89,425.0,8108.65,8108.65
2005-08-01,3092.0,43069.65,43069.65,458.0,3162.31,3162.31
2005-09-01,95.0,1438.61,1438.61,18.0,263.16,263.16
2005-10-01,-9.0,0.0,0.0,-6.0,0.0,0.0
2005-11-01,69.0,862.16,862.16,-6.0,0.0,0.0
2005-12-01,33.0,438.3,438.3,3.0,99.35,99.35
2006-01-01,30.0,483.0,483.0,11.0,165.0,165.0
2006-02-01,-6.0,0.0,0.0,-6.0,0.0,0.0
2006-03-01,-6.0,0.0,0.0,-6.0,0.0,0.0
2006-04-01,-4.0,0.0,0.0,-6.0,0.0,0.0
2006-05-01,80.0,1276.0,1276.0,-2.0,76.0,76.0
2006-06-01,311.0,4303.0,4303.0,39.0,477.0,477.0
2006-07-01,3351.0,47308.0,47308.0,370.0,4193.0,4193.0
2006-08-01,3915.0,53667.0,53667.0,556.0,5881.0,5881.0
2006-09-01,-4.0,35.0,35.0,186.0,2180.0,2180.0
2006-10-01,-5.0,0.0,0.0,12.0,234.0,234.0
2006-11-01,-4.0,0.0,0.0,-6.0,0.0,0.0
2006-12-01,-5.0,0.0,0.0,-6.0,0.0,0.0
2007-01-01,-7.0,0.0,0.0,13.0,201.0,201.0
2007-02-01,8.0,410.0,410.0,11.0,234.0,234.0
2007-03-01,65.0,1113.0,1113.0,-5.0,0.0,0.0
2007-04-01,-10.0,913.0,913.0,-6.0,0.0,0.0
2007-05-01,267.0,4022.0,4022.0,66.0,808.0,808.0
2007-06-01,2034.0,26381.0,26381.0,359.0,5608.0,5608.0
2007-07-01,6251.0,87186.0,87186.0,747.0,8233.0,8233.0
2007-08-01,5828.0,83155.0,83155.0,1172.0,12946.0,12946.0
2007-09-01,1218.0,16050.0,16050.0,332.0,5242.0,5242.0
2007-10-01,392.0,5059.0,5059.0,-6.0,0.0,0.0
2007-11-01,-10.0,0.0,0.0,-6.0,0.0,0.0
2007-12-01,35.0,666.0,666.0,-6.0,0.0,0.0
2008-01-01,3125.856,42507.0,42507.0,0.0,0.0,0.0
2008-02-01,1998.093,27177.0,27177.0,0.0,0.0,0.0
2008-03-01,621.563,8454.0,8454.0,0.0,0.0,0.0
2008-04-01,263.801,3589.0,3589.0,0.0,0.0,0.0
2008-05-01,373.173,5072.0,5072.0,0.0,0.0,0.0
