measured_on,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed
2012-08-01,9131.0,99589.0,99589.0,5775.0,46598.0,46598.0
2012-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-10-01,494.0,7185.0,7185.0,131.0,0.0,0.0
2012-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-12-01,10240.0,103981.0,103981.0,1325.0,0.0,0.0
2013-01-01,17522.0,205095.0,205095.0,8336.0,0.0,0.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-04-01,8218.0,93387.0,93387.0,3642.0,0.0,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-01,51194.0,585396.0,585396.0,26591.0,0.0,0.0
2013-08-01,52241.0,609106.0,609106.0,28520.0,0.0,0.0
2013-09-01,27986.0,324055.0,324055.0,15378.0,0.0,0.0
2013-10-01,16283.0,185749.0,185749.0,8071.0,5158.0,5158.0
2013-11-01,36472.0,411974.0,411974.0,18295.0,13283.0,13283.0
2013-12-01,80353.0,865248.0,865248.0,41160.0,45713.0,45713.0
2014-01-01,23091.0,246112.0,246112.0,11123.0,12381.0,12381.0
2014-02-01,10840.0,116371.0,116371.0,4203.0,0.0,0.0
2014-03-01,3207.0,35479.0,35479.0,1233.0,0.0,0.0
2014-04-01,7721.0,92906.0,92906.0,3339.0,0.0,0.0
2014-05-01,10575.0,119390.0,119390.0,6138.0,10219.0,10219.0
2014-06-01,3274.0,41170.0,41170.0,1603.0,0.0,0.0
2014-07-01,45498.0,536933.0,536933.0,30874.0,56009.0,56009.0
2014-08-01,43787.0,518379.0,518379.0,27374.0,23517.0,23517.0
2014-09-01,900.0,11664.0,11664.0,356.0,0.0,0.0
2014-10-01,10029.0,125506.0,125506.0,5757.0,2817.0,2817.0
2014-11-01,25797.0,299819.0,299819.0,11692.0,0.0,0.0
2014-12-01,22572.0,539452.0,539452.0,47816.0,6305.0,6305.0
2015-01-01,42740.0,479146.0,479146.0,19698.0,2237.0,2237.0
2015-02-01,40215.0,448930.0,448930.0,18433.0,937.0,937.0
2015-03-01,4688.0,56190.0,56190.0,1783.0,0.0,0.0
2015-04-01,20786.0,226781.0,226781.0,10140.0,880.0,880.0
2015-05-01,36517.0,423411.0,423411.0,20117.0,8763.0,8763.0
2015-06-01,44920.0,495969.0,495969.0,27030.0,29641.0,29641.0
