measured_on,Distillate Fuel Oil Generation,Distillate Fuel Oil Quantity Consumed For Electricity,Distillate Fuel Oil Total Fuel Consumed,Hydroelectric Generation,Hydroelectric Quantity Consumed For Electricity,Hydroelectric Total Fuel Consumed,Natural Gas Generation,Natural Gas Quantity Consumed For Electricity,Natural Gas Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2001-01-01,2.093,29.0,29.0,5030.0,51974.99,51974.99,20.736,289.0,289.0,,,
2001-02-01,1.749,24.0,24.0,4343.0,44876.22,44876.22,17.332,242.0,242.0,,,
2001-03-01,1.623,22.0,22.0,7271.0,75131.24,75131.24,16.078,224.0,224.0,,,
2001-04-01,1.504,21.0,21.0,5926.0,61233.36,61233.36,14.901000000000002,208.0,208.0,,,
2001-05-01,1.8010000000000002,25.0,25.0,3035.0,31360.66,31360.66,17.845,249.0,249.0,,,
2001-06-01,1.925,27.0,27.0,3570.0,36888.81,36888.81,19.079,266.0,266.0,,,
2001-07-01,2.154,30.0,30.0,4959.0,51241.35,51241.35,21.344,298.0,298.0,,,
2001-08-01,2.141,30.0,30.0,4562.0,47139.15,47139.15,21.211000000000002,296.0,296.0,,,
2001-09-01,1.9580000000000002,27.0,27.0,4012.0,41456.0,41456.0,19.403000000000002,271.0,271.0,,,
2001-10-01,1.9020000000000001,26.0,26.0,3327.0,34377.89,34377.89,18.844,263.0,263.0,,,
2001-11-01,1.544,21.0,21.0,3039.0,31401.99,31401.99,15.297,213.0,213.0,,,
2001-12-01,1.608,22.0,22.0,4031.0,41652.32,41652.32,15.931000000000001,222.0,222.0,,,
2002-01-01,1.975,23.5,23.5,4861.0,49450.95,49450.95,16.884,202.0,202.0,,,
2002-02-01,1.848,21.5,21.5,4042.0,41119.27,41119.27,16.176000000000002,193.0,193.0,,,
2002-03-01,1.742,20.5,20.5,7485.0,76144.91,76144.91,15.447000000000001,184.0,184.0,,,
2002-04-01,1.6795,20.0,20.0,5069.0,51566.94,51566.94,15.411000000000001,184.0,184.0,,,
2002-05-01,1.5785,18.5,18.5,3035.0,30875.06,30875.06,13.393,160.0,160.0,,,
2002-06-01,1.9780000000000002,23.5,23.5,3232.0,32879.14,32879.14,16.965,203.0,203.0,,,
2002-07-01,2.287,27.0,27.0,3113.0,31668.55,31668.55,19.737000000000002,236.0,236.0,,,
2002-08-01,2.1365,25.0,25.0,2558.0,26022.53,26022.53,18.102,216.0,216.0,,,
2002-09-01,1.9115000000000002,22.5,22.5,2275.0,23143.58,23143.58,16.197,193.0,193.0,,,
2002-10-01,1.8850000000000002,22.0,22.0,3402.0,34608.55,34608.55,15.907,190.0,190.0,,,
2002-11-01,1.938,23.0,23.0,8326.0,84700.4,84700.4,16.828,201.0,201.0,,,
2002-12-01,2.0420000000000003,24.0,24.0,13409.0,136409.76,136409.76,17.953,214.0,214.0,,,
2003-01-01,7.0875,76.0,76.0,7561.0,77432.2,77432.2,23.309,273.0,273.0,,,
2003-02-01,5.964500000000001,64.0,64.0,9028.0,92455.75,92455.75,20.25,237.0,237.0,,,
2003-03-01,5.9675,64.0,64.0,16125.0,165136.13,165136.13,18.151,212.0,212.0,,,
2003-04-01,5.523000000000001,59.0,59.0,21180.0,216904.38,216904.38,15.813,185.0,185.0,,,
2003-05-01,5.822000000000001,62.0,62.0,16842.0,172478.92,172478.92,17.509,205.0,205.0,,,
2003-06-01,6.116499999999999,65.0,65.0,18948.0,194046.47,194046.47,18.241,213.0,213.0,,,
2003-07-01,7.6855,82.5,82.5,16405.0,168003.61,168003.61,24.907,291.0,291.0,,,
2003-08-01,7.464500000000001,80.0,80.0,12970.0,132825.77,132825.77,24.397000000000002,285.0,285.0,,,
2003-09-01,6.090999999999999,65.5,65.5,9726.0,99603.97,99603.97,20.387,238.0,238.0,,,
2003-10-01,5.8255,63.0,63.0,7661.0,78456.3,78456.3,19.524,228.0,228.0,,,
2003-11-01,5.441,58.5,58.5,11663.0,119440.78,119440.78,21.484,251.0,251.0,,,
2003-12-01,7.0115,75.0,75.0,14299.0,146436.06,146436.06,23.029,269.0,269.0,,,
2004-01-01,4.59,66.0,66.0,11360.446,113854.39,113854.39,11.5,133.0,133.0,,,
2004-02-01,2.6615,39.0,39.0,11073.068,110974.29,110974.29,11.431000000000001,132.0,132.0,,,
2004-03-01,1.67,25.0,25.0,6580.259,65947.36,65947.36,13.081000000000001,151.0,151.0,,,
2004-04-01,1.1615,18.0,18.0,5782.335,57950.56,57950.56,12.702,146.0,146.0,,,
2004-05-01,1.1795,18.5,18.5,5326.229,53379.47,53379.47,14.106,163.0,163.0,,,
2004-06-01,1.1184999999999998,17.5,17.5,5343.5470000000005,53553.03,53553.03,14.344000000000001,165.0,165.0,,,
2004-07-01,1.263,19.5,19.5,6862.416,68775.13,68775.13,15.126000000000001,174.0,174.0,,,
2004-08-01,1.599,24.0,24.0,8884.986,89045.33,89045.33,14.018,162.0,162.0,,,
2004-09-01,1.6295,24.5,24.5,16808.254,168452.32,168452.32,13.147,152.0,152.0,,,
2004-10-01,1.603,24.0,24.0,13189.742,132187.59,132187.59,13.094000000000001,151.0,151.0,,,
2004-11-01,1.4705,22.5,22.5,13805.854,138362.27,138362.27,11.931000000000001,138.0,138.0,,,
2004-12-01,3.056,44.5,44.5,18392.864,184333.28,184333.28,11.52,133.0,133.0,,,
2005-01-01,6.1135,86.44,86.44,13537.573,135362.2,135362.2,11.846,142.35,142.35,,,
2005-02-01,2.701,38.11,38.11,11704.548999999999,117033.79,117033.79,9.477,113.88,113.88,,,
2005-03-01,3.183,44.895,44.895,12821.845000000001,128205.63,128205.63,13.151,158.03,158.03,,,
2005-04-01,3.475,49.045,49.045,12247.485,122462.6,122462.6,12.483,150.01,150.01,,,
2005-05-01,3.8120000000000003,53.745000000000005,53.745000000000005,11078.937,110778.29,110778.29,11.937000000000001,143.45,143.45,,,
2005-06-01,3.864,54.56999999999999,54.56999999999999,12479.377,124781.29,124781.29,22.534000000000002,270.78,270.78,,,
2005-07-01,5.3919999999999995,75.985,75.985,13395.069,133937.29,133937.29,29.665,356.47,356.47,,,
2005-08-01,6.0615000000000006,85.445,85.445,11333.905,113327.71,113327.71,29.469,354.12,354.12,,,
2005-09-01,5.468,76.945,76.945,9378.179,93772.41,93772.41,17.841,214.4,214.4,,,
2005-10-01,3.811,53.765,53.765,8004.125,80033.25,80033.25,12.651,152.02,152.02,,,
2005-11-01,3.0455,42.975,42.975,8566.005000000001,85651.49,85651.49,11.087,133.23,133.23,,,
2005-12-01,6.5729999999999995,92.74,92.74,10484.951000000001,104839.02,104839.02,13.86,166.55,166.55,,,
2006-01-01,3.757,61.5,61.5,8559.791000000001,84905.0,84905.0,7.793,189.0,189.0,,,
2006-02-01,3.3064999999999998,49.5,49.5,7718.401000000001,76559.0,76559.0,8.81,214.0,214.0,,,
2006-03-01,2.8825000000000003,43.0,43.0,6800.021000000001,67449.0,67449.0,11.609,282.0,282.0,,,
2006-04-01,4.0335,62.5,62.5,7401.6,73416.0,73416.0,9.607000000000001,233.0,233.0,,,
2006-05-01,3.668,57.5,57.5,8751.153,86803.0,86803.0,12.655,307.0,307.0,,,
2006-06-01,4.188000000000001,63.0,63.0,8598.578,85289.0,85289.0,16.301000000000002,395.0,395.0,,,
2006-07-01,4.3645000000000005,69.5,69.5,9016.785,89437.0,89437.0,29.17,707.0,707.0,,,
2006-08-01,4.6,72.0,72.0,8951.628,88791.0,88791.0,25.92,629.0,629.0,,,
2006-09-01,3.0455,45.0,45.0,5810.666,57636.0,57636.0,15.247,370.0,370.0,,,
2006-10-01,3.8260000000000005,55.5,55.5,5122.513,50810.0,50810.0,16.515,400.0,400.0,,,
2006-11-01,3.4705,52.0,52.0,6000.155000000001,59516.0,59516.0,11.103,269.0,269.0,,,
2006-12-01,3.8585,58.0,58.0,6353.709000000001,63022.0,63022.0,11.271,273.0,273.0,,,
2007-01-01,1.933,37.0,37.0,17479.495000000003,172767.0,172767.0,0.096,2.0,2.0,,,
2007-02-01,0.9400000000000001,18.5,18.5,7047.673000000001,69659.0,69659.0,0.075,1.0,1.0,,,
2007-03-01,0.34750000000000003,6.0,6.0,7985.039000000001,78924.0,78924.0,0.032,1.0,1.0,,,
2007-04-01,0.337,6.0,6.0,7774.393,76842.0,76842.0,0.017,0.0,0.0,,,
2007-05-01,2.5105000000000004,49.0,49.0,4490.183,44381.0,44381.0,0.05,1.0,1.0,,,
2007-06-01,1.8030000000000002,37.0,37.0,6071.409000000001,60010.0,60010.0,0.042,1.0,1.0,,,
2007-07-01,0.29450000000000004,6.0,6.0,4189.338000000001,41407.0,41407.0,0.14400000000000002,3.0,3.0,,,
2007-08-01,1.3490000000000002,24.5,24.5,6806.245,67273.0,67273.0,0.145,3.0,3.0,,,
2007-09-01,0.24,3.0,3.0,2644.9410000000003,26143.0,26143.0,0.028,0.0,0.0,,,
2007-10-01,0.248,3.0,3.0,2605.757,25755.0,25755.0,0.019,0.0,0.0,,,
2007-11-01,1.0995000000000001,18.5,18.5,1630.097,16112.0,16112.0,0.009000000000000001,0.0,0.0,,,
2007-12-01,0.561,6.0,6.0,2800.431,27679.0,27679.0,0.015,0.0,0.0,,,
2008-01-01,1.477,21.5,21.5,4552.099,44856.0,44856.0,5.114,69.0,69.0,,,
2008-02-01,0.24400000000000002,3.0,3.0,5167.601000000001,50922.0,50922.0,1.568,22.0,22.0,,,
2008-03-01,0.9525,12.5,12.5,5716.339,56329.0,56329.0,3.942,55.0,55.0,,,
