measured_on,"Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Other Biomass Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2018-02-01,622.714,6323.0,6323.0
2018-03-01,618.385,6279.0,6279.0
2018-04-01,587.417,5965.0,5965.0
2018-05-01,600.899,6102.0,6102.0
2018-06-01,601.589,6109.0,6109.0
2018-07-01,645.76,6557.0,6557.0
2018-08-01,672.932,6834.0,6834.0
2018-09-01,650.461,6605.0,6605.0
2018-10-01,655.513,6656.0,6656.0
2018-11-01,642.732,6527.0,6527.0
2018-12-01,683.598,6942.0,6942.0
2019-01-01,704.522,8744.0,8744.0
2019-02-01,644.645,8000.0,8000.0
2019-03-01,714.233,8863.0,8863.0
2019-04-01,662.62,8223.0,8223.0
2019-05-01,616.493,7650.0,7650.0
2019-06-01,626.307,7773.0,7773.0
2019-07-01,691.092,8577.0,8577.0
2019-08-01,720.992,8948.0,8948.0
2019-09-01,663.776,8237.0,8237.0
2019-10-01,590.989,7334.0,7334.0
2019-11-01,642.754,7976.0,7976.0
2019-12-01,693.577,8607.0,8607.0
2020-01-01,686.999,9776.0,9776.0
2020-02-01,617.968,8794.0,8794.0
2020-03-01,651.157,9266.0,9266.0
2020-04-01,609.424,8672.0,8672.0
2020-05-01,647.378,9212.0,9212.0
2020-06-01,596.674,8491.0,8491.0
2020-07-01,670.135,9536.0,9536.0
2020-08-01,639.815,9105.0,9105.0
2020-09-01,634.623,9031.0,9031.0
2020-10-01,610.766,8692.0,8692.0
2020-11-01,614.883,8750.0,8750.0
2020-12-01,549.178,7815.0,7815.0
2021-01-01,702.975,8877.0,8877.0
2021-02-01,652.926,8246.0,8246.0
2021-03-01,729.173,9208.0,9208.0
2021-04-01,605.028,7641.0,7641.0
2021-05-01,654.893,8270.0,8270.0
2021-06-01,672.889,8497.0,8497.0
2021-07-01,653.907,8258.0,8258.0
2021-08-01,649.717,8205.0,8205.0
2021-09-01,659.37,8327.0,8327.0
2021-10-01,645.953,8158.0,8158.0
2021-11-01,636.428,8037.0,8037.0
2021-12-01,637.741,8054.0,8054.0
2022-01-01,742.556,9114.0,9114.0
2022-02-01,657.6,8071.0,8071.0
2022-03-01,709.536,8708.0,8708.0
2022-04-01,552.208,6777.0,6777.0
2022-05-01,570.006,6996.0,6996.0
2022-06-01,633.047,7769.0,7769.0
2022-07-01,680.639,8353.0,8353.0
2022-08-01,716.014,8787.0,8787.0
2022-09-01,694.049,8518.0,8518.0
2022-10-01,698.651,8575.0,8575.0
2022-11-01,593.289,7281.0,7281.0
2022-12-01,676.405,8302.0,8302.0
2023-01-01,649.209,7322.0,7322.0
2023-02-01,630.479,7111.0,7111.0
2023-03-01,666.136,7513.0,7513.0
2023-04-01,634.989,7162.0,7162.0
2023-05-01,779.3,8789.0,8789.0
2023-06-01,696.697,7858.0,7858.0
2023-07-01,727.241,8202.0,8202.0
2023-08-01,780.954,8808.0,8808.0
2023-09-01,727.747,8208.0,8208.0
2023-10-01,685.986,7737.0,7737.0
2023-11-01,697.427,7866.0,7866.0
2023-12-01,786.835,8875.0,8875.0
2024-01-01,681.875,8407.0,8407.0
2024-02-01,593.494,7318.0,7318.0
2024-03-01,711.778,8777.0,8777.0
2024-04-01,583.244,7192.0,7192.0
2024-05-01,688.465,8490.0,8490.0
2024-06-01,642.379,7921.0,7921.0
2024-07-01,665.835,8210.0,8210.0
2024-08-01,672.89,8297.0,8297.0
2024-09-01,645.195,7956.0,7956.0
2024-10-01,624.369,7699.0,7699.0
2024-11-01,665.903,8211.0,8211.0
2024-12-01,696.573,8590.0,8590.0
