measured_on,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2022-06-01,1670.216,5699.0,5699.0
2022-07-01,1934.686,6601.0,6601.0
2022-08-01,1949.773,6653.0,6653.0
2022-09-01,1698.778,5796.0,5796.0
2022-10-01,1401.93,4783.0,4783.0
2022-11-01,1027.669,3506.0,3506.0
2022-12-01,907.948,3098.0,3098.0
2023-01-01,683.0,2330.0,2330.0
2023-02-01,1048.0,3576.0,3576.0
2023-03-01,1103.0,3763.0,3763.0
2023-04-01,1594.0,5439.0,5439.0
2023-05-01,1368.0,4668.0,4668.0
2023-06-01,2153.0,7346.0,7346.0
2023-07-01,1696.0,5787.0,5787.0
2023-08-01,1165.0,3975.0,3975.0
2023-09-01,1891.0,6452.0,6452.0
2023-10-01,1547.0,5278.0,5278.0
2023-11-01,1124.0,3835.0,3835.0
2023-12-01,898.0,3064.0,3064.0
2024-01-01,969.0,3306.0,3306.0
2024-02-01,1176.0,4013.0,4013.0
2024-03-01,1545.0,5272.0,5272.0
2024-04-01,1939.0,6616.0,6616.0
2024-05-01,1237.0,4221.0,4221.0
2024-06-01,1624.0,5541.0,5541.0
2024-07-01,950.0,3241.0,3241.0
2024-08-01,1862.0,6353.0,6353.0
2024-09-01,1719.0,5865.0,5865.0
2024-10-01,1444.0,4927.0,4927.0
2024-11-01,1043.0,3559.0,3559.0
2024-12-01,929.0,3170.0,3170.0
