measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,0.0,0.0,0.0,,,,40963.0,528752.0,528752.0
2003-02-01,,,,5478.0,58845.0,58845.0,,,,33765.0,504893.0,504893.0
2003-03-01,,,,0.0,0.0,0.0,,,,77761.0,935622.0,935622.0
2003-04-01,,,,0.0,0.0,0.0,,,,23863.0,240474.0,240474.0
2003-05-01,,,,0.0,0.0,0.0,,,,57161.0,731088.0,731088.0
2003-06-01,,,,0.0,0.0,0.0,,,,69000.0,832162.0,832162.0
2003-07-01,,,,0.0,0.0,0.0,,,,87206.0,1079510.0,1079510.0
2003-08-01,,,,670.0,8619.0,8619.0,,,,87988.0,1152453.0,1152453.0
2003-09-01,,,,0.0,0.0,0.0,,,,41779.0,548132.0,548132.0
2003-10-01,,,,0.0,0.0,0.0,,,,24070.0,363979.0,363979.0
2003-11-01,,,,0.0,0.0,0.0,,,,33407.0,522206.0,522206.0
2003-12-01,,,,0.0,0.0,0.0,,,,28600.0,394381.0,394381.0
2004-01-01,,,,530.0,7308.0,7308.0,,,,38148.0,521931.0,521931.0
2004-02-01,,,,0.0,0.0,0.0,,,,35917.0,489957.0,489957.0
2004-03-01,,,,0.0,0.0,0.0,,,,68799.0,913467.0,913467.0
2004-04-01,,,,0.0,0.0,0.0,,,,68603.0,895418.0,895418.0
2004-05-01,,,,0.0,0.0,0.0,,,,35299.0,525664.0,525664.0
2004-06-01,,,,0.0,0.0,0.0,,,,48777.0,673500.0,673500.0
2004-07-01,,,,0.0,0.0,0.0,,,,63735.0,881222.0,881222.0
2004-08-01,,,,0.0,0.0,0.0,,,,63872.0,858915.0,858915.0
2004-09-01,,,,0.0,0.0,0.0,,,,46851.0,609306.0,609306.0
2004-10-01,,,,0.0,0.0,0.0,,,,40637.0,579145.0,579145.0
2004-11-01,,,,290.0,3753.0,3753.0,,,,33633.0,467578.0,467578.0
2004-12-01,,,,0.0,0.0,0.0,,,,35687.0,484482.0,484482.0
2005-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,37678.0,517455.18,517455.18
2005-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,25941.0,347269.2,347269.2
2005-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,48400.0,642577.56,642577.56
2005-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,29929.0,415315.44,415315.44
2005-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,39493.0,501854.28,501854.28
2005-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,69798.0,852980.1,852980.1
2005-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,67672.0,871999.02,871999.02
2005-08-01,,,,808.0,6349.52,6349.52,0.0,0.0,0.0,95448.0,1181285.46,1181285.46
2005-09-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,62135.0,784837.98,784837.98
2005-10-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,27218.0,363601.44,363601.44
2005-11-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,24978.0,333093.24,333093.24
2005-12-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,32611.0,407995.92,407995.92
2006-01-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,18253.0,255902.0,255902.0
2006-02-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,21118.0,289010.0,289010.0
2006-03-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,47996.0,601748.0,601748.0
2006-04-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,19938.0,266923.0,266923.0
2006-05-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,33126.0,435994.0,435994.0
2006-06-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,58753.0,760207.0,760207.0
2006-07-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,103653.0,1262043.0,1262043.0
2006-08-01,,,,0.0,0.0,0.0,0.0,0.0,0.0,104986.0,1322368.0,1322368.0
