measured_on,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Generation,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Quantity Consumed For Electricity,Municiapl Landfill Gas - Combustion (Gas) Turbine (including jet engine design) - Municipal Landfill Gas - Total Fuel Consumed,"Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Municipal Landfill Gas - Total Fuel Consumed",Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed",Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Generation,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Quantity Consumed For Electricity,Other Biomass Gas - Combustion (Gas) Turbine (including jet engine design) - Other Renewables - Total Fuel Consumed
2003-01-01,,,,,,,14.0,193.0,193.0,,,,2331.0,32308.0,32308.0
2003-02-01,,,,,,,49.0,696.0,696.0,,,,2432.0,34550.0,34550.0
2003-03-01,,,,,,,58.0,820.0,820.0,,,,2432.0,34270.0,34270.0
2003-04-01,,,,,,,290.0,1618.0,4821.0,,,,325.0,1815.0,5405.0
2003-05-01,,,,,,,295.0,7143.0,7143.0,,,,0.0,0.0,0.0
2003-06-01,,,,,,,242.0,6539.0,6539.0,,,,0.0,0.0,0.0
2003-07-01,,,,0.0,0.0,0.0,470.0,9822.0,9822.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-08-01,,,,0.0,0.0,0.0,412.0,10142.0,10142.0,0.0,0.0,0.0,0.0,0.0,0.0
2003-09-01,,,,812.0,11096.0,11096.0,113.0,2760.0,2760.0,17.0,234.0,234.0,0.0,0.0,0.0
2003-10-01,,,,2841.0,41498.0,41498.0,52.0,1400.0,1400.0,26.0,382.0,382.0,0.0,0.0,0.0
2003-11-01,,,,2329.0,31820.0,31820.0,,,,102.0,1399.0,1399.0,0.0,0.0,0.0
2003-12-01,,,,2157.0,10897.0,30263.0,17.0,412.0,412.0,15.0,76.0,212.0,0.0,0.0,0.0
2004-01-01,2454.50693,32978.29,34244.32,0.0,0.0,34244.32,38.58407,518.41,538.31,0.0,0.0,1496.32,0.0,0.0,0.0
2004-02-01,2454.86692,32983.13,34244.32,0.0,0.0,34244.32,104.62408,1405.71,1459.46,0.0,0.0,1214.38,0.0,0.0,0.0
2004-03-01,2454.76754,32981.79,34244.32,0.0,0.0,34244.32,85.87746,1153.83,1198.0,0.0,0.0,912.66,0.0,0.0,0.0
2004-04-01,2454.44458,32977.46,34244.32,0.0,0.0,34244.32,27.543419999999998,370.07,384.28,0.0,0.0,1354.0,0.0,0.0,0.0
2004-05-01,2455.36287,32989.79,34244.32,0.0,0.0,34244.32,201.54313,2707.9,2810.87,0.0,0.0,1253.41,0.0,0.0,0.0
2004-06-01,2454.86889,32983.15,34244.32,0.0,0.0,34244.32,104.82111,1408.36,1462.21,0.0,0.0,1106.08,0.0,0.0,0.0
2004-07-01,2454.96114,32984.4,34244.32,0.0,0.0,34244.32,122.39086,1644.42,1707.23,0.0,0.0,1112.8,0.0,0.0,0.0
2004-08-01,2455.09931,32986.25,34244.32,0.0,0.0,34244.32,149.07668999999999,2002.97,2079.36,0.0,0.0,932.09,0.0,0.0,0.0
2004-09-01,2454.81821,32982.47,34244.32,0.0,0.0,34244.32,95.35378999999999,1281.16,1330.17,0.0,0.0,1003.49,0.0,0.0,0.0
2004-10-01,2454.38594,32976.66,34244.32,0.0,0.0,34244.32,17.09406,229.67,238.5,0.0,0.0,968.47,0.0,0.0,0.0
2004-11-01,2454.48774,32978.04,34244.32,0.0,0.0,34244.32,35.15526,472.34,490.48,0.0,0.0,1964.96,0.0,0.0,0.0
2004-12-01,2454.63897,32980.06,34244.32,0.0,0.0,34244.32,62.244029999999995,836.3,868.36,0.0,0.0,1248.6,0.0,0.0,0.0
2005-01-01,1994.4917,26797.6,29988.42,,,,56.0713,753.36,843.07,,,,0.0,0.0,0.0
2005-02-01,1779.24322,23905.57,26752.03,,,,49.70878,667.88,747.4,,,,0.0,0.0,0.0
2005-03-01,2032.14279,27303.48,30554.52,,,,59.31821,796.99,891.89,,,,0.0,0.0,0.0
2005-04-01,2027.94221,27247.03,30491.35,,,,60.81579,817.11,914.4,,,,0.0,0.0,0.0
2005-05-01,2229.42708,29954.16,33520.81,,,,49.335919999999994,662.87,741.8,,,,0.0,0.0,0.0
2005-06-01,2208.71734,29675.9,33209.44,,,,83.93566,1127.74,1262.02,,,,0.0,0.0,0.0
2005-07-01,2287.00923,30727.81,34386.6,,,,108.16277,1453.25,1626.29,,,,0.0,0.0,0.0
2005-08-01,2276.67307,30588.94,34231.18,,,,115.64193,1553.74,1738.75,,,,0.0,0.0,0.0
2005-09-01,2144.61072,28814.57,32245.54,,,,76.49828,1027.82,1150.2,,,,0.0,0.0,0.0
2005-10-01,2164.82549,29086.18,32549.49,,,,52.90251,710.79,795.42,,,,0.0,0.0,0.0
2005-11-01,2180.34468,29294.69,32782.83,,,,47.48632,638.02,713.99,,,,0.0,0.0,0.0
2005-12-01,2185.20866,29360.04,32855.94,,,,51.30534,689.33,771.41,,,,0.0,0.0,0.0
2006-01-01,2469.4215,33178.67,36977.47,,,,30.218500000000002,406.01,452.5,,,,,,
2006-02-01,2211.63378,29715.09,33117.32,,,,30.130219999999998,404.82,451.17,,,,,,
2006-03-01,1985.55432,26677.53,29731.98,,,,32.87068,441.64,492.21,,,,,,
2006-04-01,1805.19461,24254.24,27031.24,,,,27.63639,371.32,413.83,,,,,,
2006-05-01,2100.89006,28227.15,31459.02,,,,26.80894,360.2,401.44,,,,,,
2006-06-01,1428.86119,19197.91,21395.97,,,,34.29381,460.77,513.52,,,,,,
2006-07-01,1895.20784,25463.65,28379.11,,,,51.35716,690.02,769.03,,,,,,
2006-08-01,1862.85709,25028.97,27894.68,,,,48.35191,649.65,724.03,,,,,,
2006-09-01,1732.29915,23274.84,25939.68,,,,34.29585,460.79,513.55,,,,,,
2006-10-01,1985.09248,26671.32,29725.06,,,,38.24852,513.9,572.74,,,,,,
2006-11-01,2180.39868,29295.41,32649.59,,,,32.89832,442.02,492.62,,,,,,
2006-12-01,2236.15267,30044.52,33484.46,,,,32.14633,431.91,481.36,,,,,,
2007-01-01,1519.7520000000002,20011.0,23688.0,,,,36.129000000000005,476.0,563.0,,,,,,
2007-02-01,1389.507,18296.0,21658.0,,,,40.66,535.0,634.0,,,,,,
2007-03-01,1482.093,19515.0,23101.0,,,,29.78,392.0,464.0,,,,,,
2007-04-01,1781.0610000000001,23451.0,27761.0,,,,29.749000000000002,392.0,464.0,,,,,,
2007-05-01,2149.687,28305.0,33508.0,,,,51.584,679.0,804.0,,,,,,
2007-06-01,2098.998,27638.0,32718.0,,,,69.47800000000001,915.0,1083.0,,,,,,
2007-07-01,2136.601,28133.0,33304.0,,,,87.721,1155.0,1367.0,,,,,,
2007-08-01,2134.255,28102.0,33267.0,,,,178.483,2350.0,2782.0,,,,,,
2007-09-01,1979.246,26061.0,30851.0,,,,72.941,961.0,1137.0,,,,,,
2007-10-01,2376.321,31289.0,37040.0,,,,81.561,1074.0,1271.0,,,,,,
2007-11-01,1633.6,21510.0,25463.0,,,,29.262,385.0,456.0,,,,,,
2007-12-01,1481.209,19503.0,23088.0,,,,54.322,716.0,847.0,,,,,,
2008-01-01,1656.4550000000002,21811.0,25059.0,,,,15.353000000000002,202.0,233.0,,,,,,
2008-02-01,1525.4170000000001,20085.0,23077.0,,,,14.799000000000001,195.0,223.0,,,,,,
2008-03-01,1456.351,19176.0,22032.0,,,,11.209000000000001,148.0,169.0,,,,,,
2008-04-01,1832.8860000000002,24134.0,27728.0,,,,8.26,109.0,125.0,,,,,,
2008-05-01,1915.9940000000001,25228.0,28985.0,,,,4.227,56.0,64.0,,,,,,
2008-06-01,1969.843,25937.0,29800.0,,,,18.176000000000002,239.0,275.0,,,,,,
2008-07-01,1664.634,21918.0,25182.0,,,,26.899,354.0,407.0,,,,,,
2008-08-01,1859.02,24478.0,28123.0,,,,20.029,264.0,303.0,,,,,,
2008-09-01,1912.548,25183.0,28933.0,,,,11.756,155.0,177.0,,,,,,
2008-10-01,1861.172,24506.0,28156.0,,,,8.209,108.0,124.0,,,,,,
2008-11-01,1493.761,19668.0,22597.0,,,,9.253,122.0,140.0,,,,,,
2008-12-01,1532.19,20174.0,23179.0,,,,11.559000000000001,152.0,174.0,,,,,,
2009-01-01,1631.949,21927.0,24605.0,,,,29.877000000000002,401.0,450.0,,,,,,
2009-02-01,1508.905,20273.0,22750.0,,,,25.488,342.0,384.0,,,,,,
2009-03-01,1749.662,23508.0,26380.0,,,,22.583000000000002,303.0,340.0,,,,,,
2009-04-01,1646.469,22122.0,24824.0,,,,7.047000000000001,95.0,106.0,,,,,,
2009-05-01,2184.076,29345.0,32930.0,,,,14.335,193.0,216.0,,,,,,
2009-06-01,1919.815,25794.0,28946.0,,,,19.611,263.0,296.0,,,,,,
2009-07-01,2078.335,27924.0,31335.0,,,,24.118000000000002,324.0,364.0,,,,,,
2009-08-01,2028.943,27260.0,30591.0,,,,34.268,460.0,517.0,,,,,,
2009-09-01,1469.73,19747.0,22160.0,,,,23.599,317.0,356.0,,,,,,
2009-10-01,1992.645,26773.0,30044.0,,,,12.573,169.0,190.0,,,,,,
2009-11-01,2290.7110000000002,30778.0,34538.0,,,,12.351,166.0,186.0,,,,,,
2009-12-01,1863.941,25044.0,28103.0,,,,19.529,262.0,295.0,,,,,,
2010-01-01,1259.199,16918.0,19429.0,,,,248.59400000000002,3340.0,3837.0,,,,,,
2010-02-01,1286.611,17287.0,19852.0,,,,232.098,3118.0,3581.0,,,,,,
2010-03-01,1575.7730000000001,21172.0,24314.0,,,,202.761,2724.0,3128.0,,,,,,
2010-04-01,1559.575,20954.0,24064.0,,,,142.638,1916.0,2201.0,,,,,,
2010-05-01,1505.7530000000002,20231.0,23233.0,,,,231.382,3109.0,3570.0,,,,,,
2010-06-01,1343.256,18048.0,20726.0,,,,398.53700000000003,5355.0,6149.0,,,,,,
2010-07-01,1212.5320000000002,16291.0,18709.0,,,,652.5930000000001,8768.0,10069.0,,,,,,
2010-08-01,1282.106,17226.0,19782.0,,,,605.831,8140.0,9348.0,,,,,,
2010-09-01,1363.9260000000002,18325.0,21045.0,,,,245.08700000000002,3293.0,3781.0,,,,,,
2010-10-01,973.6270000000001,13081.0,15023.0,,,,301.475,4051.0,4652.0,,,,,,
2010-11-01,914.2470000000001,12284.0,14106.0,,,,318.983,4286.0,4922.0,,,,,,
2010-12-01,1010.677,13579.0,15594.0,,,,593.5790000000001,7975.0,9158.0,,,,,,
2011-01-01,1194.478,16049.0,19835.0,,,,618.588,8311.0,10273.0,,,,,,
2011-02-01,1021.032,13718.0,16955.0,,,,434.853,5843.0,7221.0,,,,,,
2011-03-01,1086.297,14595.0,18039.0,,,,697.938,9377.0,11590.0,,,,,,
2011-04-01,1166.154,15668.0,19365.0,,,,541.36,7274.0,8990.0,,,,,,
2011-05-01,1309.034,17588.0,21737.0,,,,456.014,6127.0,7572.0,,,,,,
2011-06-01,1367.444,18373.0,22707.0,,,,422.647,5679.0,7018.0,,,,,,
2011-07-01,1287.615,17300.0,21381.0,,,,863.656,11604.0,14341.0,,,,,,
2011-08-01,1465.01,19684.0,24327.0,,,,596.933,8020.0,9912.0,,,,,,
2011-09-01,1295.678,17408.0,21515.0,,,,310.85,4177.0,5162.0,,,,,,
2011-10-01,1276.533,17151.0,21197.0,,,,335.091,4502.0,5564.0,,,,,,
2011-11-01,1420.876,19091.0,23595.0,,,,575.403,7731.0,9555.0,,,,,,
2011-12-01,1246.196,16744.0,20694.0,,,,842.76,11323.0,13994.0,,,,,,
2012-01-01,891.556,11739.0,14099.0,,,,433.853,5713.0,6862.0,,,,,,
2012-02-01,861.86,11348.0,13630.0,,,,443.895,5845.0,7020.0,,,,,,
2012-03-01,915.544,12055.0,14479.0,,,,476.461,6274.0,7535.0,,,,,,
2012-04-01,1015.446,13370.0,16059.0,,,,321.639,4235.0,5087.0,,,,,,
2012-05-01,1045.642,13768.0,16536.0,,,,451.181,5941.0,7135.0,,,,,,
2012-06-01,1035.763,13638.0,16380.0,,,,445.337,5864.0,7043.0,,,,,,
