measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Subbituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed"
2003-01-01,382159.0,3676711.0,3676711.0,0.0,0.0,0.0,193.0,1856.0,1856.0,,,
2003-02-01,305583.785,3070681.0,3070681.0,0.0,0.0,0.0,726.947,7307.0,7307.0,,,
2003-03-01,330904.0,3161572.0,3161572.0,0.0,0.0,0.0,25.0,239.0,239.0,,,
2003-04-01,204974.0,1992450.0,1992450.0,0.0,0.0,0.0,1163.0,11305.0,11305.0,,,
2003-05-01,308926.0,3031465.0,3031465.0,0.0,0.0,0.0,452.0,4434.0,4434.0,,,
2003-06-01,341930.0,3351097.0,3351097.0,0.0,0.0,0.0,21.0,205.0,205.0,,,
2003-07-01,311189.0,3124218.0,3124218.0,0.0,0.0,0.0,752.0,7551.0,7551.0,,,
2003-08-01,359182.0,3524390.0,3524390.0,0.0,0.0,0.0,63.0,615.0,615.0,,,
2003-09-01,314296.0,3111559.0,3111559.0,0.0,0.0,0.0,598.0,5916.0,5916.0,,,
2003-10-01,238080.0,2385773.0,2385773.0,0.0,0.0,0.0,1031.0,10331.0,10331.0,,,
2003-11-01,319132.0,3174404.0,3174404.0,0.0,0.0,0.0,386.0,3835.0,3835.0,,,
2003-12-01,367556.0,3696492.0,3696492.0,0.0,0.0,0.0,396.0,3978.0,3978.0,,,
2004-01-01,343788.0,3445190.0,3445190.0,0.0,0.0,0.0,1390.0,13925.0,13925.0,,,
2004-02-01,333840.0,3328759.0,3328759.0,0.0,0.0,0.0,901.0,8984.0,8984.0,,,
2004-03-01,385220.0,3844593.0,3844593.0,0.0,0.0,0.0,224.0,2239.0,2239.0,,,
2004-04-01,348946.0,3528932.0,3528932.0,0.0,0.0,0.0,112.0,1135.0,1135.0,,,
2004-05-01,39457.0,404442.0,404442.0,0.0,0.0,0.0,11.0,111.0,111.0,,,
2004-06-01,-542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2004-07-01,204314.0,2059812.0,2059812.0,0.0,0.0,0.0,2509.0,25298.0,25298.0,,,
2004-08-01,305105.0,3043478.0,3043478.0,0.0,0.0,0.0,1021.0,10185.0,10185.0,,,
2004-09-01,311984.0,3105032.0,3105032.0,0.0,0.0,0.0,2880.0,28664.0,28664.0,,,
2004-10-01,304555.0,2983761.0,2983761.0,0.0,0.0,0.0,446.0,4373.0,4373.0,,,
2004-11-01,299092.0,2944471.0,2944471.0,0.0,0.0,0.0,344.0,3384.0,3384.0,,,
2004-12-01,287930.0,2854672.0,2854672.0,0.0,0.0,0.0,1313.0,13013.0,13013.0,,,
2005-01-01,137991.0,1509775.78,1509775.78,0.0,0.0,0.0,2498.0,27336.2,27336.2,,,
2005-02-01,242994.0,2323499.48,2323499.48,0.0,0.0,0.0,2.0,20.6,20.6,,,
2005-03-01,317708.0,3176686.98,3176686.98,0.0,0.0,0.0,1.0,7.21,7.21,,,
2005-04-01,131354.0,1359813.34,1359813.34,0.0,0.0,0.0,1472.0,15242.97,15242.97,,,
2005-05-01,185865.0,1841495.08,1841495.08,0.0,0.0,0.0,727.0,7285.19,7285.19,,,
2005-06-01,250732.0,2576862.04,2576862.04,0.0,0.0,0.0,511.0,5311.71,5311.71,,,
2005-07-01,275496.0,2856682.72,2856682.72,0.0,0.0,0.0,763.0,7998.98,7998.98,,,
2005-08-01,284985.0,2831837.9,2831837.9,0.0,0.0,0.0,515.0,5113.95,5113.95,,,
2005-09-01,259627.0,2578524.98,2578524.98,0.0,0.0,0.0,352.0,3496.85,3496.85,,,
2005-10-01,229271.0,2277284.64,2277284.64,0.0,0.0,0.0,663.0,6581.0,6581.0,,,
2005-11-01,254526.0,2526179.6,2526179.6,0.0,0.0,0.0,1.0,7.0,7.0,,,
2005-12-01,311666.0,3068248.4,3068248.4,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-01-01,239689.0,2425644.0,2425644.0,0.0,0.0,0.0,482.0,4882.0,4882.0,,,
2006-02-01,270798.0,2739723.0,2739723.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-03-01,315586.0,3129975.0,3129975.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-04-01,279722.0,2824125.0,2824125.0,0.0,0.0,0.0,221.0,2235.0,2235.0,,,
2006-05-01,-1132.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2006-06-01,9756.0,140725.0,140725.0,0.0,0.0,0.0,1400.0,20195.0,20195.0,,,
2006-07-01,303592.0,3136134.0,3136134.0,0.0,0.0,0.0,643.0,6647.0,6647.0,,,
2006-08-01,324174.0,3329450.0,3329450.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
