measured_on,Subbituminous Coal Generation,Subbituminous Coal Quantity Consumed For Electricity,Subbituminous Coal Total Fuel Consumed
2001-01-01,4487.0,227766.0,227766.0
2001-02-01,0.0,0.0,0.0
2001-03-01,4227.0,230758.0,230758.0
2001-04-01,4742.0,202091.0,202091.0
2001-05-01,3908.0,149039.0,149039.0
2001-06-01,0.0,0.0,0.0
2001-07-01,0.0,0.0,0.0
2001-08-01,0.0,0.0,0.0
2001-09-01,1473.0,162952.0,162952.0
2001-10-01,4487.0,235171.0,235171.0
2001-11-01,5754.0,206074.0,206074.0
2001-12-01,6394.0,211291.0,211291.0
2002-01-01,4677.0,212133.0,227297.0
2002-02-01,4714.0,213811.0,233510.0
2002-03-01,4365.0,197982.0,269374.0
2002-04-01,4206.0,190770.0,190770.0
2002-05-01,0.0,0.0,0.0
2002-06-01,0.0,0.0,0.0
2002-07-01,0.0,0.0,0.0
2002-08-01,0.0,0.0,0.0
2002-09-01,0.0,13688.0,13688.0
2002-10-01,2658.0,120558.0,209851.0
2002-11-01,4374.7,198422.0,207439.0
2002-12-01,4276.73,193978.0,224213.0
2004-01-01,3184.1490000000003,15697.69,179782.95
2004-02-01,2049.123,10102.07,115697.21
2004-03-01,0.0,0.0,0.0
2004-04-01,2234.285,11014.91,126151.9
2004-05-01,7009.523,34556.58,395770.61
2004-06-01,7490.987,36930.17,422954.89
2004-07-01,6478.089,31936.64,365764.91
2004-08-01,484.26300000000003,2387.39,27342.37
2004-09-01,423.92400000000004,2089.92,23935.6
2004-10-01,1312.2060000000001,6469.1,74089.57
2004-11-01,1538.112,7582.81,86844.7
2004-12-01,1116.78,5505.66,63055.49
2005-01-01,2990.0260000000003,14740.67,166832.99
2005-02-01,2714.808,13383.86,151476.73
2005-03-01,2910.099,14346.64,162373.22
2005-04-01,2394.09,11802.74,133581.77
2005-05-01,2274.4480000000003,11212.91,126906.24
2005-06-01,2915.3610000000003,14372.58,162666.81
2005-07-01,3252.692,16035.6,181488.74
2005-08-01,3221.741,15883.02,179761.79
2005-09-01,2902.292,14308.15,161937.7
2005-10-01,2717.87,13398.96,151647.65
2005-11-01,2669.05,13158.28,148923.62
2005-12-01,3078.701,15177.84,171780.63
2006-01-01,2866.8720000000003,14133.53,160492.89
2006-02-01,2695.5,13288.67,150899.2
2006-03-01,2632.203,12976.62,147355.71
2006-04-01,2634.71,12988.98,147495.95
2006-05-01,2770.917,13660.48,155121.21
2006-06-01,2834.579,13974.32,158684.97
2006-07-01,2976.684,14674.89,166640.38
2006-08-01,2975.3810000000003,14668.47,166567.46
2006-09-01,2687.0820000000003,13247.17,150427.87
2006-10-01,2630.809,12969.75,147277.59
2006-11-01,2667.179,13149.05,149313.73
2006-12-01,2842.826,14014.98,159146.81
2007-01-01,3336.1420000000003,16452.0,187092.0
2007-02-01,2988.6980000000003,14742.0,167598.0
2007-03-01,2900.1710000000003,14292.0,162630.0
2007-04-01,2640.831,13014.0,148086.0
2007-05-01,2833.58,13968.0,158904.0
2007-06-01,2864.415,14130.0,160632.0
2007-07-01,3378.1110000000003,16650.0,189432.0
2007-08-01,3411.7110000000002,16812.0,191322.0
2007-09-01,2657.8250000000003,13104.0,149040.0
2007-10-01,2862.135,14112.0,160506.0
2007-11-01,2781.926,13716.0,156006.0
2007-12-01,3344.0640000000003,16488.0,187524.0
2008-01-01,3351.552,16523.0,173556.0
2008-02-01,3049.797,15035.0,157968.0
2008-03-01,2923.031,14410.0,151398.0
2008-04-01,2584.648,12742.0,133866.0
2008-05-01,2602.193,12829.0,134784.0
2008-06-01,2803.071,13819.0,145188.0
2008-07-01,3354.5240000000003,16538.0,173754.0
2008-08-01,3249.301,16019.0,168300.0
2008-09-01,3049.43,15034.0,157950.0
2008-10-01,3079.273,15181.0,159498.0
2008-11-01,3310.005,16318.0,171432.0
2008-12-01,3361.5550000000003,16572.0,174114.0
2009-01-01,3308.978,16313.0,183618.0
2009-02-01,3017.23,14875.0,167454.0
2009-03-01,3176.694,15661.0,176310.0
2009-04-01,2839.972,14001.0,157626.0
2009-05-01,2825.804,13931.0,156834.0
2009-06-01,2974.773,14665.0,165096.0
2009-07-01,3059.827,15085.0,169830.0
2009-08-01,3120.8990000000003,15386.0,173214.0
2009-09-01,2584.36,12741.0,143442.0
2009-10-01,2748.3320000000003,13549.0,152532.0
2009-11-01,3224.914,15899.0,178992.0
2009-12-01,3315.7070000000003,16346.0,184032.0
2010-01-01,3221.641,15883.0,181998.0
2010-02-01,2915.223,14372.0,164664.0
2010-03-01,2979.8230000000003,14690.0,168318.0
2010-04-01,2392.489,11795.0,135144.0
2010-05-01,2477.438,12214.0,139950.0
2010-06-01,2810.949,13858.0,158778.0
2010-07-01,2992.987,14755.0,169056.0
2010-08-01,3013.6150000000002,14857.0,170226.0
2010-09-01,2469.371,12174.0,139482.0
2010-10-01,2374.897,11708.0,134154.0
2010-11-01,2609.967,12867.0,147420.0
2010-12-01,3098.9300000000003,15278.0,175050.0
2011-01-01,3314.976,16343.0,180530.0
2011-02-01,2926.242,14426.0,159361.0
2011-03-01,3009.5,14837.0,163906.0
2011-04-01,2306.905,11373.0,125627.0
2011-05-01,2152.207,10610.0,117212.0
2011-06-01,2300.987,11344.0,125309.0
2011-07-01,2853.628,14068.0,155416.0
2011-08-01,2744.848,13532.0,149488.0
2011-09-01,2439.777,12028.0,132864.0
2011-10-01,2711.936,13370.0,147693.0
2011-11-01,2612.533,12880.0,142270.0
2011-12-01,3009.911,14839.0,163924.0
2012-01-01,0.0,14331.0,183877.0
2012-02-01,0.0,13318.0,170862.0
2012-03-01,0.0,13195.0,169272.0
2012-04-01,0.0,11098.0,142382.0
2012-05-01,0.0,11459.0,147001.0
2012-06-01,0.0,12664.0,162466.0
2012-07-01,0.0,14907.0,191245.0
2012-08-01,0.0,14186.0,181988.0
2012-09-01,0.0,11719.0,150348.0
2012-10-01,0.0,12105.0,155285.0
2012-11-01,0.0,12790.0,164093.0
2012-12-01,0.0,13464.0,172732.0
2013-01-01,2980.891,14696.0,166430.0
2013-02-01,3094.462,15256.0,172713.0
2013-03-01,3459.327,17054.0,193078.0
2013-04-01,2565.554,12648.0,143205.0
2013-05-01,2619.039,12912.0,146178.0
2013-06-01,2818.301,13894.0,157304.0
2013-07-01,3419.423,16858.0,190852.0
2013-08-01,3463.004,17072.0,193283.0
2013-09-01,2511.138,12380.0,140157.0
2013-10-01,2851.157,14056.0,159137.0
2013-11-01,2828.868,13946.0,157903.0
2013-12-01,3227.426,15911.0,180137.0
2014-01-01,0.0,14791.0,185317.0
2014-02-01,0.0,13463.0,168674.0
2014-03-01,0.0,13639.0,170881.0
2014-04-01,0.0,11313.0,141727.0
