measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Natural Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Natural Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Residual Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,,,,,,,,,,6429.51042,42352.98,136434.55,2762.78658,18199.25,58626.48
2004-02-01,,,,,,,,,,3592.93436,23667.66,76242.26,1924.88264,12679.74,40846.11
2004-03-01,,,,,,,,,,708.59673,4667.73,15036.47,1909.05727,12575.5,40510.32
2004-04-01,,,,,,,,,,3256.10947,21448.9,69094.82,672.83353,4432.14,14277.56
2004-05-01,,,,,,,,,,390.94034,2575.23,8295.77,956.21466,6298.85,20290.91
2004-06-01,,,,,,,,,,2638.84592,17382.81,55996.43,968.08408,6377.04,20542.79
2004-07-01,,,,,,,,,,6700.41003,44137.48,142183.05,1385.38797,9125.94,29398.01
2004-08-01,,,,,,,,,,1296.7593000000002,8542.12,27517.3,1102.4587000000001,7262.2,23394.23
2004-09-01,,,,,,,,,,427.58175,2816.6,9073.31,803.58325,5293.43,17052.08
2004-10-01,,,,,,,,,,5950.230500000001,39195.83,126264.24,577.2025,3802.19,12248.27
2004-11-01,,,,,,,,,,3587.42889,23631.4,76125.44,1164.71911,7672.33,24715.4
2004-12-01,,,,,,,,,,5845.19456,38503.93,124035.35,1677.72544,11051.65,35601.43
2005-01-01,,,,,,,,,,1985.8464000000001,13081.32,61719.47,1429.9546,9419.51,44442.53
2005-02-01,,,,,,,,,,1760.50479,11596.93,54715.91,583.80821,3845.71,18144.57
2005-03-01,,,,,,,,,,2100.85279,13838.9,65293.84,803.41021,5292.28,24969.74
2005-04-01,,,,,,,,,,2153.88866,14188.27,66942.21,463.86734,3055.63,14416.86
2005-05-01,,,,,,,,,,1747.3191000000002,11510.08,54306.16,190.5079,1254.93,5920.93
2005-06-01,,,,,,,,,,2972.70682,19582.06,92390.81,1068.0531799999999,7035.57,33194.76
2005-07-01,,,,,,,,,,3830.75108,25234.23,119058.56,1301.86092,8575.72,40461.44
2005-08-01,,,,,,,,,,4095.64627,26979.17,127291.42,1532.15173,10092.71,47618.8
2005-09-01,,,,,,,,,,2709.30818,17846.97,84204.44,1196.45882,7881.41,37185.56
2005-10-01,,,,,,,,,,1873.6279000000002,12342.11,58231.76,1096.1281000000001,7220.5,34067.31
2005-11-01,,,,,,,,,,1681.79191,11078.43,52269.57,506.48208999999997,3336.34,15741.31
2005-12-01,,,,,,,,,,1817.06629,11969.52,56473.85,1504.32871,9909.43,46754.06
2006-01-01,,,,,,,,,,2283.40523,15041.43,76219.36,1062.72677,7000.48,35473.49
2006-02-01,,,,,,,,,,2275.54207,14989.63,75997.21,978.93393,6448.51,32693.86
2006-03-01,,,,,,,,,,2480.2665,16338.21,82908.85,928.5195,6116.42,31037.99
2006-04-01,,,,,,,,,,2084.15274,13728.9,69706.76,712.16626,4691.24,23819.18
2006-05-01,,,,,,,,,,2020.9927,13312.84,67620.4,646.9013,4261.32,21644.67
2006-06-01,,,,,,,,,,2581.39688,17004.38,86499.52,627.33912,4132.46,21021.38
2006-07-01,,,,,,,,,,3861.7166,25438.21,129538.49,747.2884,4922.6,25067.25
2006-08-01,,,,,,,,,,3634.2393,23939.75,121957.01,638.5087,4206.04,21426.94
2006-09-01,,,,,,,,,,2582.37507,17010.82,86504.11,669.14393,4407.84,22414.91
2006-10-01,,,,,,,,,,2877.67185,18956.03,96473.38,633.57715,4173.55,21240.55
2006-11-01,,,,,,,,,,2479.75743,16334.85,82980.0,777.78357,5123.48,26026.93
2006-12-01,,,,,,,,,,2428.23037,15995.43,81083.22,1070.74463,7053.29,35754.2
2007-01-01,,,,,,,,,,1315.251,12363.0,60062.0,1350.739,12696.0,61683.0
2007-02-01,,,,,,,,,,1444.719,12936.0,61477.0,1335.461,11961.0,56828.0
2007-03-01,,,,,,,,,,1592.005,15193.0,79462.0,737.995,7045.0,36836.0
2007-04-01,,,,,,,,,,2163.63,20811.0,105912.0,0.0,0.0,0.0
2007-05-01,,,,,,,,,,1740.32,20096.0,105249.0,0.0,0.0,0.0
2007-06-01,,,,,,,,,,2019.95,23099.0,113493.0,0.0,0.0,0.0
2007-07-01,,,,,,,,,,1956.49,24441.0,128773.0,0.0,0.0,0.0
2007-08-01,,,,,,,,,,1816.2,23399.0,123323.0,0.0,0.0,0.0
2007-09-01,,,,,,,,,,1984.23,22849.0,114806.0,0.0,0.0,0.0
