measured_on,Electricity used for energy storage Generation,Electricity used for energy storage Quantity Consumed For Electricity,Electricity used for energy storage Total Fuel Consumed,Solar Generation,Solar Quantity Consumed For Electricity,Solar Total Fuel Consumed
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0.0,0.0,0.0,50.685,173.0,173.0
2022-02-01,0.0,0.0,0.0,63.555,217.0,217.0
2022-03-01,0.0,0.0,0.0,88.866,303.0,303.0
2022-04-01,0.0,0.0,0.0,103.88,354.0,354.0
2022-05-01,0.0,0.0,0.0,103.597,353.0,353.0
2022-06-01,0.0,0.0,0.0,109.881,375.0,375.0
2022-07-01,0.0,0.0,0.0,113.593,388.0,388.0
2022-08-01,0.0,0.0,0.0,113.064,386.0,386.0
2022-09-01,0.0,0.0,0.0,95.671,326.0,326.0
2022-10-01,0.0,0.0,0.0,93.181,318.0,318.0
2022-11-01,0.0,0.0,0.0,66.958,228.0,228.0
2022-12-01,0.0,0.0,0.0,51.069,174.0,174.0
2023-01-01,0.0,0.0,0.0,28.0,96.0,96.0
2023-02-01,0.0,0.0,0.0,46.0,157.0,157.0
2023-03-01,0.0,0.0,0.0,71.0,242.0,242.0
2023-04-01,0.0,0.0,0.0,80.0,273.0,273.0
2023-05-01,0.0,0.0,0.0,115.0,392.0,392.0
2023-06-01,0.0,0.0,0.0,71.0,242.0,242.0
2023-07-01,0.0,0.0,0.0,83.0,283.0,283.0
2023-08-01,0.0,0.0,0.0,83.0,283.0,283.0
2023-09-01,0.0,0.0,0.0,65.0,222.0,222.0
2023-10-01,0.0,0.0,0.0,58.0,198.0,198.0
2023-11-01,0.0,0.0,0.0,43.0,147.0,147.0
2023-12-01,0.0,0.0,0.0,25.0,85.0,85.0
2024-01-01,0.0,0.0,0.0,17.0,58.0,58.0
2024-02-01,0.0,0.0,0.0,43.0,147.0,147.0
2024-03-01,0.0,0.0,0.0,72.0,246.0,246.0
2024-04-01,0.0,0.0,0.0,77.0,263.0,263.0
2024-05-01,0.0,0.0,0.0,87.0,297.0,297.0
2024-06-01,0.0,0.0,0.0,90.0,307.0,307.0
2024-07-01,0.0,0.0,0.0,93.0,317.0,317.0
2024-08-01,0.0,0.0,0.0,78.0,266.0,266.0
2024-09-01,0.0,0.0,0.0,67.0,229.0,229.0
2024-10-01,0.0,0.0,0.0,70.0,239.0,239.0
2024-11-01,0.0,0.0,0.0,39.0,133.0,133.0
2024-12-01,0.0,0.0,0.0,23.0,78.0,78.0
