measured_on,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Natural Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,1495.5410000000002,13359.0,13359.0,1.091,10.0,10.0
2003-02-01,1433.8410000000001,12808.0,12808.0,1.046,9.0,9.0
2003-03-01,1448.779,12941.0,12941.0,1.0570000000000002,10.0,10.0
2003-04-01,1324.473,11831.0,11831.0,0.9660000000000001,9.0,9.0
2003-05-01,1348.133,12042.0,12042.0,0.9830000000000001,9.0,9.0
2003-06-01,1408.699,12583.0,12583.0,1.028,9.0,9.0
2003-07-01,1630.928,14568.0,14568.0,1.19,11.0,11.0
2003-08-01,1745.208,15589.0,15589.0,1.2730000000000001,11.0,11.0
2003-09-01,1488.226,13293.0,13293.0,1.086,10.0,10.0
2003-10-01,1449.534,12948.0,12948.0,1.0570000000000002,10.0,10.0
2003-11-01,1457.51,13019.0,13019.0,1.063,10.0,10.0
2003-12-01,1590.1270000000002,14204.0,14204.0,1.16,10.0,10.0
2004-01-01,1435.5,13265.0,13265.0,9.604000000000001,88.0,88.0
2004-02-01,1435.5,13265.0,13265.0,6.245,57.0,57.0
2004-03-01,1435.5,13265.0,13265.0,0.052000000000000005,0.0,0.0
2004-04-01,1435.5,13265.0,13265.0,1.207,11.0,11.0
2004-05-01,1435.5,13265.0,13265.0,0.21,2.0,2.0
2004-06-01,1435.5,13265.0,13265.0,5.458,50.0,50.0
2004-07-01,1435.5,13265.0,13265.0,5.038,46.0,46.0
2004-08-01,1435.5,13265.0,13265.0,1.732,16.0,16.0
2004-09-01,1435.5,13265.0,13265.0,5.458,50.0,50.0
2004-10-01,1435.5,13265.0,13265.0,0.5770000000000001,5.0,5.0
2004-11-01,1435.5,13265.0,13265.0,0.0,0.0,0.0
2004-12-01,1435.5,13265.0,13265.0,1.417,13.0,13.0
2005-01-01,1077.593,10458.86,10458.86,0.0,0.0,0.0
2005-02-01,961.298,9330.13,9330.13,0.0,0.0,0.0
