measured_on,"Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Bituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Lignite Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Subbituminous Coal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,,,,613.0,8485.0,8485.0,660419.0,8049634.0,8049634.0,624478.0,5940081.0,5940081.0
2003-02-01,,,,3631.0,35450.0,35450.0,289298.0,6089968.0,6089968.0,706718.0,4703271.0,4703271.0
2003-03-01,,,,3287.0,35647.0,35647.0,493271.0,5349159.0,5349159.0,241560.0,2619542.0,2619542.0
2003-04-01,,,,1878.0,26349.0,26349.0,444051.0,5487316.0,5487316.0,400360.0,3834156.0,3834156.0
2003-05-01,,,,1869.0,26998.0,26998.0,414021.0,5336788.0,5336788.0,539514.0,5311049.0,5311049.0
2003-06-01,,,,619.0,8642.0,8642.0,856645.0,8928327.0,8928327.0,453175.0,5397024.0,5397024.0
2003-07-01,,,,735.0,10415.0,10415.0,809332.0,8418720.0,8418720.0,386956.0,4694817.0,4694817.0
2003-08-01,,,,411.0,5369.0,5369.0,599561.0,8200981.0,8200981.0,702761.0,6290521.0,6290521.0
2003-09-01,,,,3754.0,42334.0,42334.0,714164.0,8053835.0,8053835.0,423494.0,4775859.0,4775859.0
2003-10-01,,,,1290.0,16455.0,16455.0,815088.0,9188324.0,9188324.0,478612.0,5102321.0,5102321.0
2003-11-01,,,,433.0,4880.0,4880.0,766942.0,8647730.0,8647730.0,412571.0,4651987.0,4651987.0
2003-12-01,,,,694.0,7656.0,7656.0,847162.0,9346322.0,9346322.0,406960.0,4489785.0,4489785.0
2004-01-01,,,,1624.0,18409.0,18409.0,592494.0,6714581.0,6714581.0,550473.0,6238364.0,6238364.0
2004-02-01,,,,579.0,6415.0,6415.0,624520.0,6915484.0,6915484.0,631315.0,6990729.0,6990729.0
2004-03-01,,,,1671.0,19018.0,19018.0,498706.0,5677079.0,5677079.0,619679.0,7054187.0,7054187.0
2004-04-01,,,,281.0,3109.0,3109.0,617042.0,6833454.0,6833454.0,581823.0,6443422.0,6443422.0
2004-05-01,,,,258.0,3109.0,3109.0,278776.0,3353444.0,3353444.0,535650.0,6443422.0,6443422.0
2004-06-01,,,,5628.0,64473.0,64473.0,533907.0,6116677.0,6116677.0,565094.0,6473967.0,6473967.0
2004-07-01,,,,0.0,0.0,0.0,742390.0,8312761.0,8312761.0,521412.0,5838403.0,5838403.0
2004-08-01,,,,305.0,3341.0,3341.0,774477.0,8496344.0,8496344.0,528735.0,5800451.0,5800451.0
2004-09-01,,,,303.0,3341.0,3341.0,686268.0,7554881.0,7554881.0,514191.0,5660550.0,5660550.0
2004-10-01,,,,1309.0,14187.0,14187.0,623982.0,6761828.0,6761828.0,629930.0,6826283.0,6826283.0
2004-11-01,,,,4997.0,54868.0,54868.0,555619.0,6100934.0,6100934.0,521726.0,5728778.0,5728778.0
2004-12-01,,,,1617.0,17850.0,17850.0,621250.0,6857796.0,6857796.0,680314.0,7509784.0,7509784.0
2005-01-01,0.0,0.0,0.0,3193.0,35032.0,35032.0,521108.0,5716958.75,5716958.75,647061.0,7098759.0,7098759.0
2005-02-01,0.0,0.0,0.0,1681.0,18391.8,18391.8,507744.0,5556744.28,5556744.28,687663.0,7525775.65,7525775.65
2005-03-01,0.0,0.0,0.0,4025.0,43784.2,43784.2,498480.0,5422064.45,5422064.45,729796.0,7938128.29,7938128.29
2005-04-01,0.0,0.0,0.0,3424.0,37485.4,37485.4,392933.0,4301275.88,4301275.88,611779.0,6696895.68,6696895.68
2005-05-01,0.0,0.0,0.0,1168.0,12876.0,12876.0,473296.0,5215571.17,5215571.17,673113.0,7417494.42,7417494.42
2005-06-01,0.0,0.0,0.0,375.0,4129.6,4129.6,504619.0,5557767.29,5557767.29,764462.0,8419612.4,8419612.4
2005-07-01,0.0,0.0,0.0,828.0,9227.8,9227.8,525967.0,5858493.86,5858493.86,822136.0,9157386.63,9157386.63
2005-08-01,0.0,0.0,0.0,579.0,6530.8,6530.8,549684.0,6198441.86,6198441.86,750846.0,8466817.43,8466817.43
2005-09-01,0.0,0.0,0.0,115.0,1316.6,1316.6,609452.0,8082017.34,8082017.34,627296.0,6159927.45,6159927.45
2005-10-01,0.0,0.0,0.0,2125.0,23437.8,23437.8,488185.0,5384393.1,5384393.1,727000.0,8018374.3,8018374.3
2005-11-01,0.0,0.0,0.0,33.0,359.6,359.6,478602.0,5267751.29,5267751.29,820411.0,9029882.28,9029882.28
2005-12-01,0.0,0.0,0.0,108.0,1212.2,1212.2,687132.0,7717658.18,7717658.18,691059.0,7761756.32,7761756.32
2006-01-01,0.0,0.0,0.0,59.0,655.0,655.0,638194.0,7095901.0,7095901.0,702532.0,7811261.0,7811261.0
2006-02-01,0.0,0.0,0.0,302.0,3364.0,3364.0,483308.0,5376048.0,5376048.0,702569.0,7814989.0,7814989.0
2006-03-01,0.0,0.0,0.0,1166.0,12841.0,12841.0,542594.0,5976178.0,5976178.0,743183.0,8185486.0,8185486.0
2006-04-01,0.0,0.0,0.0,513.0,5696.0,5696.0,469553.0,5216600.0,5216600.0,574165.0,6378808.0,6378808.0
2006-05-01,0.0,0.0,0.0,2904.0,32845.0,32845.0,346057.0,3914324.0,3914324.0,455864.0,5156366.0,5156366.0
2006-06-01,0.0,0.0,0.0,3821.0,42618.0,42618.0,467465.0,5214513.0,5214513.0,703891.0,7851809.0,7851809.0
2006-07-01,0.0,0.0,0.0,351.0,3996.0,3996.0,502038.0,5718019.0,5718019.0,861620.0,9813520.0,9813520.0
2006-08-01,0.0,0.0,0.0,209.0,2407.0,2407.0,578986.0,6669478.0,6669478.0,776268.0,8942004.0,8942004.0
2006-09-01,0.0,0.0,0.0,351.0,3967.0,3967.0,653462.0,7375873.0,7375873.0,682930.0,7708489.0,7708489.0
2006-10-01,0.0,0.0,0.0,1095.0,12261.0,12261.0,638569.0,7149497.0,7149497.0,721805.0,8081424.0,8081424.0
2006-11-01,0.0,0.0,0.0,1420.0,15573.0,15573.0,583593.0,6398505.0,6398505.0,702801.0,7705497.0,7705497.0
2006-12-01,0.0,0.0,0.0,115.0,1253.0,1253.0,723476.0,7884646.0,7884646.0,694053.0,7563981.0,7563981.0
2007-01-01,0.0,0.0,0.0,2735.665,30334.0,30334.0,574444.247,6369635.0,6369635.0,682505.087,7567851.0,7567851.0
2007-02-01,0.0,0.0,0.0,752.205,8265.0,8265.0,495569.628,5445171.0,5445171.0,754862.167,8294200.0,8294200.0
2007-03-01,0.0,0.0,0.0,1546.9270000000001,16913.0,16913.0,543539.197,5942599.0,5942599.0,801409.875,8761939.0,8761939.0
2007-04-01,0.0,0.0,0.0,834.197,9100.0,9100.0,551632.052,6017718.0,6017718.0,624194.751,6809299.0,6809299.0
2007-05-01,0.0,0.0,0.0,1453.085,16049.0,16049.0,529678.234,5850031.0,5850031.0,694639.68,7671947.0,7671947.0
2007-06-01,0.0,0.0,0.0,1167.395,12928.0,12928.0,512890.63,5679956.0,5679956.0,756208.975,8374560.0,8374560.0
