measured_on,Natural Gas-Fuel Cell Generation,Natural Gas-Fuel Cell Quantity Consumed For Electricity,Natural Gas-Fuel Cell Total Fuel Consumed
2019-04-01,1118.566,7200.0,7200.0
2019-05-01,963.883,6204.0,6204.0
2019-06-01,1288.885,8296.0,8296.0
2019-07-01,2031.804,13077.0,13077.0
2019-08-01,2386.596,15361.0,15361.0
2019-09-01,2100.028,13517.0,13517.0
2019-10-01,2150.882,13844.0,13844.0
2019-11-01,2109.454,13577.0,13577.0
2019-12-01,2187.902,14082.0,14082.0
2020-01-01,1651.119,11218.0,11218.0
2020-02-01,1458.096,9907.0,9907.0
2020-03-01,1618.584,10997.0,10997.0
2020-04-01,1144.663,7777.0,7777.0
2020-05-01,1076.294,7313.0,7313.0
2020-06-01,1514.033,10287.0,10287.0
2020-07-01,2117.973,14390.0,14390.0
2020-08-01,2633.847,17896.0,17896.0
2020-09-01,2293.67,15585.0,15585.0
2020-10-01,2382.034,16184.0,16184.0
2020-11-01,1902.684,12927.0,12927.0
2020-12-01,2109.003,14330.0,14330.0
2021-01-01,1598.355,11515.0,11515.0
2021-02-01,1355.454,9765.0,9765.0
2021-03-01,1457.375,10500.0,10500.0
2021-04-01,1293.178,9316.0,9316.0
2021-05-01,1351.537,9737.0,9737.0
2021-06-01,1848.15,13315.0,13315.0
2021-07-01,2550.412,18374.0,18374.0
2021-08-01,2328.612,16777.0,16777.0
2021-09-01,1981.374,14275.0,14275.0
2021-10-01,1888.859,13608.0,13608.0
2021-11-01,1735.954,12506.0,12506.0
2021-12-01,1791.74,12908.0,12908.0
2022-01-01,1238.344,9272.0,9272.0
2022-02-01,1028.155,7696.0,7696.0
2022-03-01,951.317,7121.0,7121.0
2022-04-01,974.466,7294.0,7294.0
2022-05-01,894.238,6694.0,6694.0
2022-06-01,1216.224,9104.0,9104.0
2022-07-01,1624.753,12162.0,12162.0
2022-08-01,1960.481,14675.0,14675.0
2022-09-01,1796.775,13451.0,13451.0
2022-10-01,1650.062,12352.0,12352.0
2022-11-01,1515.298,11343.0,11343.0
2022-12-01,1674.887,12538.0,12538.0
2023-01-01,1485.28,10883.0,10883.0
2023-02-01,1265.171,9272.0,9272.0
2023-03-01,1215.992,8912.0,8912.0
2023-04-01,949.944,6962.0,6962.0
2023-05-01,615.273,4509.0,4509.0
2023-06-01,809.415,5932.0,5932.0
2023-07-01,1873.637,13731.0,13731.0
2023-08-01,1890.537,13855.0,13855.0
2023-09-01,1338.174,9807.0,9807.0
2023-10-01,1634.159,11976.0,11976.0
2023-11-01,1535.109,11250.0,11250.0
2023-12-01,1728.309,12666.0,12666.0
2024-01-01,1675.0,11814.0,11814.0
2024-02-01,1587.0,11234.0,11234.0
2024-03-01,1766.0,12478.0,12478.0
2024-04-01,1756.0,12374.0,12374.0
2024-05-01,1790.0,12690.0,12690.0
2024-06-01,1743.0,12398.0,12398.0
2024-07-01,1732.0,12441.0,12441.0
2024-08-01,1768.0,12774.0,12774.0
2024-09-01,1688.0,12269.0,12269.0
2024-10-01,1739.0,12661.0,12661.0
2024-11-01,1657.0,12040.0,12040.0
2024-12-01,1708.0,12357.0,12357.0
