measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2022-01-01,56.122,530.0,530.0
2022-02-01,25.795,245.0,245.0
2022-03-01,36.217,342.0,342.0
2022-04-01,27.463,262.0,262.0
2022-05-01,46.627,445.0,445.0
2022-06-01,39.543,376.0,376.0
2022-07-01,36.606,348.0,348.0
2022-08-01,17.938,171.0,171.0
2022-09-01,49.971,473.0,473.0
2022-10-01,41.726,393.0,393.0
2022-11-01,51.426,490.0,490.0
2022-12-01,61.546,581.0,581.0
2023-01-01,67.49,633.0,633.0
2023-02-01,30.939,285.0,285.0
2023-03-01,61.13,570.0,570.0
2023-04-01,135.068,1254.0,1254.0
2023-05-01,76.839,713.0,713.0
2023-06-01,59.643,553.0,553.0
2023-07-01,67.216,627.0,627.0
2023-08-01,87.904,815.0,815.0
2023-09-01,86.636,804.0,804.0
2023-10-01,41.443,388.0,388.0
2023-11-01,69.331,644.0,644.0
2023-12-01,93.361,866.0,866.0
2024-01-01,51.765,536.0,536.0
2024-02-01,11.51,120.0,120.0
2024-03-01,11.877,120.0,120.0
2024-04-01,16.261,170.0,170.0
2024-05-01,23.073,239.0,239.0
2024-06-01,18.329,189.0,189.0
2024-07-01,16.023,164.0,164.0
2024-08-01,14.967,151.0,151.0
2024-09-01,15.433,158.0,158.0
2024-10-01,15.098,158.0,158.0
2024-11-01,12.362,126.0,126.0
2024-12-01,14.302,145.0,145.0
