measured_on,"Electricity used for energy storage - Energy Storage, Battery - Other - Generation","Electricity used for energy storage - Energy Storage, Battery - Other - Quantity Consumed For Electricity","Electricity used for energy storage - Energy Storage, Battery - Other - Total Fuel Consumed",Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Generation,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Combustion Turbine Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combined Cycle Steam Part - Natural Gas - Generation,Natural Gas - Combined Cycle Steam Part - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combined Cycle Steam Part - Natural Gas - Total Fuel Consumed,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Generation,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Quantity Consumed For Electricity,Natural Gas - Combustion (Gas) Turbine (including jet engine design) - Natural Gas - Total Fuel Consumed,"Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2003-01-01,,,,163.442,3164.0,3164.0,26.883000000000003,449.0,449.0,,,,,,
2003-02-01,,,,150.799,2919.0,2919.0,24.804000000000002,414.0,414.0,,,,,,
2003-03-01,,,,166.237,3218.0,3218.0,27.343,456.0,456.0,,,,,,
2003-04-01,,,,157.208,3043.0,3043.0,25.858,431.0,431.0,,,,,,
2003-05-01,,,,180.001,3484.0,3484.0,29.607000000000003,494.0,494.0,,,,,,
2003-06-01,,,,187.543,3630.0,3630.0,30.848000000000003,515.0,515.0,,,,,,
2003-07-01,,,,240.788,4661.0,4661.0,39.605,661.0,661.0,,,,,,
2003-08-01,,,,226.21200000000002,4379.0,4379.0,37.208,621.0,621.0,,,,,,
2003-09-01,,,,206.715,4001.0,4001.0,34.001000000000005,567.0,567.0,,,,,,
2003-10-01,,,,194.537,3765.0,3765.0,31.998,534.0,534.0,,,,,,
2003-11-01,,,,164.675,3187.0,3187.0,27.086000000000002,452.0,452.0,,,,,,
2003-12-01,,,,174.845,3384.0,3384.0,28.759,480.0,480.0,,,,,,
2004-01-01,,,,595.005,9161.78,9161.78,163.657,3106.06,8934.71,,,,,,
2004-02-01,,,,599.899,9237.14,9237.14,155.47400000000002,2950.76,8487.98,,,,,,
2004-03-01,,,,587.272,9042.71,9042.71,165.901,3148.64,9057.21,,,,,,
2004-04-01,,,,596.446,9183.96,9183.96,169.305,3213.24,9243.05,,,,,,
2004-05-01,,,,516.788,7957.4,7957.4,157.431,2987.89,8594.79,,,,,,
2004-06-01,,,,564.1890000000001,8687.28,8687.28,152.697,2898.03,8336.33,,,,,,
2004-07-01,,,,797.048,12272.79,12272.79,229.526,4356.19,12530.75,,,,,,
2004-08-01,,,,822.158,12659.43,12659.43,236.568,4489.84,12915.22,,,,,,
2004-09-01,,,,761.534,11725.96,11725.96,215.622,4092.3,11771.7,,,,,,
2004-10-01,,,,726.716,11189.84,11189.84,207.614,3940.31,11334.48,,,,,,
2004-11-01,,,,685.296,10552.06,10552.06,191.423,3633.02,10450.54,,,,,,
2004-12-01,,,,747.239,11505.84,11505.84,211.002,4004.62,11519.45,,,,,,
2005-01-01,,,,3095.46,36021.34,36021.34,839.5060000000001,0.0,0.0,,,,,,
2005-02-01,,,,2793.976,32513.02,32513.02,757.7420000000001,0.0,0.0,,,,,,
2005-03-01,,,,3015.266,35088.13,35088.13,817.7570000000001,0.0,0.0,,,,,,
2005-04-01,,,,3029.7470000000003,35256.66,35256.66,821.6840000000001,0.0,0.0,,,,,,
2005-05-01,,,,3327.589,38722.59,38722.59,902.461,0.0,0.0,,,,,,
2005-06-01,,,,4274.095,49736.91,49736.91,1159.1580000000001,0.0,0.0,,,,,,
2005-07-01,,,,5473.058,63689.05,63689.05,1484.324,0.0,0.0,,,,,,
2005-08-01,,,,5671.83,66002.13,66002.13,1538.232,0.0,0.0,,,,,,
2005-09-01,,,,4277.771000000001,49779.69,49779.69,1160.155,0.0,0.0,,,,,,
2005-10-01,,,,3320.377,38638.66,38638.66,900.505,0.0,0.0,,,,,,
2005-11-01,,,,2962.569,34474.91,34474.91,803.465,0.0,0.0,,,,,,
2005-12-01,,,,3380.203,39334.86,39334.86,916.73,0.0,0.0,,,,,,
2006-01-01,,,,4493.146000000001,53044.44,53044.44,1032.286,0.0,0.0,,,,,,
2006-02-01,,,,3961.4930000000004,46767.94,46767.94,910.1410000000001,0.0,0.0,,,,,,
2006-03-01,,,,4387.89,51801.82,51801.82,1008.104,0.0,0.0,,,,,,
2006-04-01,,,,4180.79,49356.88,49356.88,960.523,0.0,0.0,,,,,,
2006-05-01,,,,4873.055,57529.51,57529.51,1119.569,0.0,0.0,,,,,,
2006-06-01,,,,5165.203,60978.51,60978.51,1186.689,0.0,0.0,,,,,,
2006-07-01,,,,5815.791,68659.11,68659.11,1336.16,0.0,0.0,,,,,,
2006-08-01,,,,6008.066000000001,70929.03,70929.03,1380.334,0.0,0.0,,,,,,
2006-09-01,,,,4891.987,57753.02,57753.02,1123.919,0.0,0.0,,,,,,
2006-10-01,,,,5128.2080000000005,60541.75,60541.75,1178.19,0.0,0.0,,,,,,
2006-11-01,,,,4331.881,51140.6,51140.6,995.2360000000001,0.0,0.0,,,,,,
2006-12-01,,,,4857.73,57348.59,57348.59,1116.048,0.0,0.0,,,,,,
2007-01-01,,,,,,,,,,3819.242,36427.0,36427.0,673.975,6428.0,6428.0
2007-02-01,,,,,,,,,,3474.0240000000003,33135.0,33135.0,613.055,5847.0,5847.0
2007-03-01,,,,,,,,,,3213.558,30651.0,30651.0,567.091,5409.0,5409.0
2007-04-01,,,,,,,,,,3198.688,30509.0,30509.0,564.467,5383.0,5383.0
2007-05-01,,,,,,,,,,3567.8740000000003,34031.0,34031.0,629.6170000000001,6005.0,6005.0
2007-06-01,,,,,,,,,,4218.429,40235.0,40235.0,744.419,7100.0,7100.0
2007-07-01,,,,,,,,,,5746.419,54809.0,54809.0,1014.061,9672.0,9672.0
2007-08-01,,,,,,,,,,6370.4890000000005,60761.0,60761.0,1124.19,10723.0,10723.0
2007-09-01,,,,,,,,,,5020.075,47881.0,47881.0,885.885,8450.0,8450.0
2007-10-01,,,,,,,,,,4757.545,45377.0,45377.0,839.556,8007.0,8007.0
2007-11-01,,,,,,,,,,4523.22,43142.0,43142.0,798.205,7613.0,7613.0
2007-12-01,,,,,,,,,,5040.436000000001,48075.0,48075.0,889.4780000000001,8484.0,8484.0
2008-01-01,,,,6179.775000000001,53107.0,53107.0,1090.553,9373.0,9373.0,,,,,,
2008-02-01,,,,5178.073,44498.0,44498.0,913.782,7852.0,7852.0,,,,,,
2008-03-01,,,,4859.603,41762.0,41762.0,857.581,7369.0,7369.0,,,,,,
2008-04-01,,,,5528.215,47507.0,47507.0,975.572,8383.0,8383.0,,,,,,
2008-05-01,,,,4394.085,37761.0,37761.0,775.431,6663.0,6663.0,,,,,,
2008-06-01,,,,4809.3550000000005,41330.0,41330.0,848.714,7293.0,7293.0,,,,,,
2008-07-01,,,,6299.34,54133.0,54133.0,1111.654,9553.0,9553.0,,,,,,
2008-08-01,,,,7369.55,63331.0,63331.0,1300.515,11176.0,11176.0,,,,,,
2008-09-01,,,,6637.616,57041.0,57041.0,1171.3500000000001,10066.0,10066.0,,,,,,
2008-10-01,,,,6188.015,53178.0,53178.0,1092.008,9384.0,9384.0,,,,,,
2008-11-01,,,,5388.987,46310.0,46310.0,951.0020000000001,8172.0,8172.0,,,,,,
2008-12-01,,,,6028.386,51805.0,51805.0,1063.838,9142.0,9142.0,,,,,,
