measured_on,Solar-Photovoltaic Generation,Solar-Photovoltaic Quantity Consumed For Electricity,Solar-Photovoltaic Total Fuel Consumed
2021-08-01,332.893,2944.0,2944.0
2021-09-01,283.534,2508.0,2508.0
2021-10-01,190.196,1682.0,1682.0
2021-11-01,116.925,1034.0,1034.0
2021-12-01,74.452,658.0,658.0
2022-01-01,96.646,330.0,330.0
2022-02-01,145.404,496.0,496.0
2022-03-01,191.084,652.0,652.0
2022-04-01,161.843,552.0,552.0
2022-05-01,239.026,816.0,816.0
2022-06-01,299.701,1023.0,1023.0
2022-07-01,291.363,994.0,994.0
2022-08-01,257.565,879.0,879.0
2022-09-01,241.707,825.0,825.0
2022-10-01,161.172,550.0,550.0
2022-11-01,86.862,296.0,296.0
2022-12-01,41.627,142.0,142.0
2023-01-01,107.0,365.0,365.0
2023-02-01,169.0,577.0,577.0
2023-03-01,211.0,720.0,720.0
2023-04-01,216.0,737.0,737.0
2023-05-01,277.0,945.0,945.0
2023-06-01,288.0,983.0,983.0
2023-07-01,294.0,1003.0,1003.0
2023-08-01,248.0,846.0,846.0
2023-09-01,163.0,556.0,556.0
2023-10-01,117.0,399.0,399.0
2023-11-01,95.0,324.0,324.0
2023-12-01,56.0,191.0,191.0
2024-01-01,74.0,252.0,252.0
2024-02-01,139.0,474.0,474.0
2024-03-01,194.0,662.0,662.0
2024-04-01,198.0,676.0,676.0
2024-05-01,261.0,891.0,891.0
2024-06-01,138.0,471.0,471.0
2024-07-01,162.0,553.0,553.0
2024-08-01,133.0,454.0,454.0
2024-09-01,165.0,563.0,563.0
2024-10-01,162.0,553.0,553.0
2024-11-01,79.0,270.0,270.0
2024-12-01,56.0,191.0,191.0
