measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2007-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-03-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,255.316,2488.0,2488.0,863.408,8418.0,8418.0
2007-09-01,119.284,1166.0,1166.0,934.635,9113.0,9113.0
2007-10-01,142.16,1386.0,1386.0,1224.661,11941.0,11941.0
2007-11-01,110.78800000000001,1079.0,1079.0,787.999,7683.0,7683.0
2007-12-01,164.816,1607.0,1607.0,604.653,5895.0,5895.0
2008-01-01,417.358,3103.0,3103.0,2328.783,17298.0,17298.0
2008-02-01,223.185,1659.0,1659.0,1431.267,10632.0,10632.0
2008-03-01,194.55,1444.0,1444.0,6215.395,46169.0,46169.0
2008-04-01,151.52800000000002,1125.0,1125.0,889.754,6609.0,6609.0
2008-05-01,199.916,1485.0,1485.0,683.984,5081.0,5081.0
2008-06-01,155.448,1154.0,1154.0,1498.516,11131.0,11131.0
2008-07-01,115.962,864.0,864.0,1308.805,9722.0,9722.0
2008-08-01,151.77200000000002,1125.0,1125.0,1309.376,9727.0,9727.0
2008-09-01,151.728,1125.0,1125.0,1327.6580000000001,9862.0,9862.0
2008-10-01,188.538,1398.0,1398.0,1482.415,11012.0,11012.0
2008-11-01,292.72,2175.0,2175.0,921.537,6845.0,6845.0
2008-12-01,319.90000000000003,2378.0,2378.0,391.90500000000003,2911.0,2911.0
2009-01-01,220.705,2262.0,2262.0,2827.4190000000003,28845.0,28845.0
2009-02-01,161.725,1647.0,1647.0,2490.0440000000003,25404.0,25404.0
2009-03-01,152.05100000000002,1549.0,1549.0,1545.313,15765.0,15765.0
2009-04-01,86.27600000000001,882.0,882.0,1202.901,12272.0,12272.0
2009-05-01,107.009,1090.0,1090.0,1679.5520000000001,17135.0,17135.0
2009-06-01,91.42800000000001,934.0,934.0,1430.5810000000001,14595.0,14595.0
2009-07-01,79.255,806.0,806.0,1190.083,12141.0,12141.0
2009-08-01,80.946,824.0,824.0,895.499,9136.0,9136.0
2009-09-01,79.528,812.0,812.0,1147.8,11710.0,11710.0
2009-10-01,69.294,708.0,708.0,943.898,9630.0,9630.0
2009-11-01,99.58200000000001,1015.0,1015.0,1107.983,11304.0,11304.0
2009-12-01,109.331,1114.0,1114.0,1304.797,13312.0,13312.0
2010-01-01,227.53500000000003,2941.0,2941.0,812.077,10511.0,10511.0
2010-02-01,116.308,1508.0,1508.0,1178.892,15258.0,15258.0
2010-03-01,52.727000000000004,684.0,684.0,546.613,7075.0,7075.0
2010-04-01,46.752,603.0,603.0,801.211,10370.0,10370.0
2010-05-01,74.304,963.0,963.0,933.0780000000001,12077.0,12077.0
2010-06-01,66.88900000000001,864.0,864.0,1726.4450000000002,22345.0,22345.0
2010-07-01,47.629000000000005,615.0,615.0,1572.534,20353.0,20353.0
2010-08-01,54.014,702.0,702.0,1582.713,20485.0,20485.0
2010-09-01,42.055,545.0,545.0,2421.098,31336.0,31336.0
2010-10-01,44.64,580.0,580.0,1200.165,15533.0,15533.0
2010-11-01,58.654,760.0,760.0,1622.2420000000002,20996.0,20996.0
2010-12-01,166.018,2146.0,2146.0,3046.407,39429.0,39429.0
2011-01-01,379.987,4389.0,4389.0,1771.297,20493.0,20493.0
2011-02-01,98.645,1140.0,1140.0,1369.625,15846.0,15846.0
2011-03-01,129.494,1499.0,1499.0,423.651,4901.0,4901.0
2011-04-01,107.869,1248.0,1248.0,808.009,9348.0,9348.0
2011-05-01,190.977,2212.0,2212.0,1324.969,15329.0,15329.0
2011-06-01,179.107,2075.0,2075.0,1616.23,18698.0,18698.0
2011-07-01,97.222,1123.0,1123.0,2494.19,28856.0,28856.0
2011-08-01,110.504,1277.0,1277.0,2539.985,29386.0,29386.0
2011-09-01,110.7,1283.0,1283.0,2738.924,31687.0,31687.0
2011-10-01,72.227,838.0,838.0,1967.567,22763.0,22763.0
2011-11-01,113.807,1317.0,1317.0,2544.591,29439.0,29439.0
2011-12-01,116.126,1345.0,1345.0,2148.297,24854.0,24854.0
2012-01-01,207.67,2158.0,2158.0,2015.732,20959.0,20959.0
2012-02-01,126.201,1311.0,1311.0,1232.555,12816.0,12816.0
2012-03-01,77.446,806.0,806.0,720.68,7494.0,7494.0
2012-04-01,104.851,1090.0,1090.0,432.385,4496.0,4496.0
2012-05-01,162.353,1688.0,1688.0,639.126,6646.0,6646.0
2012-06-01,84.513,882.0,882.0,1804.06,18759.0,18759.0
2012-07-01,81.866,853.0,853.0,2806.664,29184.0,29184.0
2012-08-01,50.528,528.0,528.0,2625.902,27304.0,27304.0
2012-09-01,73.757,766.0,766.0,1781.992,18529.0,18529.0
2012-10-01,104.752,1090.0,1090.0,2962.113,30800.0,30800.0
2012-11-01,106.818,1108.0,1108.0,1630.189,16951.0,16951.0
2012-12-01,70.966,737.0,737.0,3583.881,37265.0,37265.0
2013-01-01,141.586,1544.0,1544.0,1396.868,15159.0,15159.0
2013-02-01,99.376,1077.0,1077.0,1575.196,17094.0,17094.0
2013-03-01,128.565,1394.0,1394.0,2273.645,24674.0,24674.0
2013-04-01,73.234,795.0,795.0,2499.618,27126.0,27126.0
2013-05-01,96.707,1048.0,1048.0,3248.339,35251.0,35251.0
2013-06-01,58.739,639.0,639.0,2764.99,30006.0,30006.0
2013-07-01,115.131,1250.0,1250.0,3409.672,37002.0,37002.0
2013-08-01,67.875,737.0,737.0,2362.985,25643.0,25643.0
2013-09-01,64.709,703.0,703.0,1225.311,13297.0,13297.0
2013-10-01,89.962,973.0,973.0,433.264,4702.0,4702.0
2013-11-01,141.393,1532.0,1532.0,379.644,4120.0,4120.0
2013-12-01,98.397,1066.0,1066.0,732.794,7953.0,7953.0
2014-01-01,1002.869,10712.0,10712.0,3401.782,36339.0,36339.0
2014-02-01,82.254,880.0,880.0,4325.525,46206.0,46206.0
2014-03-01,100.603,1075.0,1075.0,2199.502,23496.0,23496.0
2014-04-01,35.909,385.0,385.0,1520.081,16238.0,16238.0
2014-05-01,82.381,880.0,880.0,613.273,6551.0,6551.0
2014-06-01,73.39,782.0,782.0,2114.116,22584.0,22584.0
2014-07-01,43.74,466.0,466.0,3838.008,40998.0,40998.0
2014-08-01,57.542,615.0,615.0,2962.637,31648.0,31648.0
2014-09-01,30.729,328.0,328.0,3241.664,34628.0,34628.0
2014-10-01,31.809,339.0,339.0,1065.934,11386.0,11386.0
2014-11-01,59.497,638.0,638.0,198.283,2118.0,2118.0
2014-12-01,71.703,765.0,765.0,168.769,1803.0,1803.0
2015-01-01,4985.247,3251.0,3251.0,5.62,3.0,3.0
2015-02-01,11478.561,7484.0,7484.0,26.476,17.0,17.0
2015-03-01,1207.656,785.0,785.0,37.147,24.0,24.0
2015-04-01,480.823,312.0,312.0,29.2,19.0,19.0
2015-05-01,1608.718,1051.0,1051.0,35.701,23.0,23.0
2015-06-01,1237.897,809.0,809.0,21.557,14.0,14.0
2015-07-01,875.185,572.0,572.0,67.106,44.0,44.0
2015-08-01,803.737,526.0,526.0,40.112,26.0,26.0
2015-09-01,781.959,508.0,508.0,35.521,23.0,23.0
2015-10-01,613.091,398.0,398.0,40.053,26.0,26.0
2015-11-01,1697.155,1109.0,1109.0,82.633,54.0,54.0
2015-12-01,1054.401,687.0,687.0,90.444,59.0,59.0
2016-01-01,275.711,3529.0,3529.0,2140.522,27388.0,27388.0
2016-02-01,189.155,2420.0,2420.0,1874.759,23987.0,23987.0
2016-03-01,60.23,768.0,768.0,1626.891,20816.0,20816.0
2016-04-01,60.911,780.0,780.0,3038.278,38874.0,38874.0
2016-05-01,101.551,1299.0,1299.0,2516.954,32204.0,32204.0
