measured_on,"Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Generation","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Natural Gas - Total Fuel Consumed","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Generation","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Quantity Consumed For Electricity","Other Biomass Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Other Renewables - Total Fuel Consumed"
2003-01-01,,,,1153.567,9650.0,19300.0
2003-02-01,,,,1073.235,8978.0,17956.0
2003-03-01,,,,1248.093,10441.0,20881.0
2003-04-01,,,,1297.4080000000001,10853.0,21706.0
2003-05-01,,,,1269.0240000000001,10616.0,21231.0
2003-06-01,,,,1289.449,10787.0,21573.0
2003-07-01,,,,1231.574,10302.0,20605.0
2003-08-01,,,,1172.847,9811.0,19622.0
2003-09-01,,,,970.114,8115.0,16230.0
2003-10-01,,,,1120.961,9377.0,18754.0
2003-11-01,,,,1182.143,9889.0,19778.0
2003-12-01,,,,1324.587,11080.0,22161.0
2004-01-01,,,,625.322,7257.13,12000.0
2004-02-01,,,,625.322,7257.13,12000.0
2004-03-01,,,,625.322,7257.13,12000.0
2004-04-01,,,,625.322,7257.13,12000.0
2004-05-01,,,,625.322,7257.13,12000.0
2004-06-01,,,,625.322,7257.13,12000.0
2004-07-01,,,,625.322,7257.13,12000.0
2004-08-01,,,,625.322,7257.13,12000.0
2004-09-01,,,,625.322,7257.13,12000.0
2004-10-01,,,,625.322,7257.13,12000.0
2004-11-01,,,,625.322,7257.13,12000.0
2004-12-01,,,,625.322,7257.13,12000.0
2005-01-01,,,,460.404,5343.19,9006.65
2005-02-01,,,,410.71700000000004,4766.55,8034.64
2005-03-01,,,,469.095,5444.06,9176.68
2005-04-01,,,,468.12600000000003,5432.8,9157.7
2005-05-01,,,,514.6360000000001,5972.58,10067.57
2005-06-01,,,,509.85600000000005,5917.1,9974.05
2005-07-01,,,,527.928,6126.84,10327.6
2005-08-01,,,,525.542,6099.15,10280.92
2005-09-01,,,,495.057,5745.35,9684.55
2005-10-01,,,,499.72400000000005,5799.51,9775.84
2005-11-01,,,,503.30600000000004,5841.09,9845.92
2005-12-01,,,,504.42900000000003,5854.12,9867.88
2006-01-01,,,,707.2660000000001,8208.13,13589.92
2006-02-01,,,,633.433,7351.27,12171.25
2006-03-01,,,,568.682,6599.8,10927.07
2006-04-01,,,,517.025,6000.3,9934.49
2006-05-01,,,,601.714,6983.16,11561.79
2006-06-01,,,,409.23900000000003,4749.4,7863.43
2006-07-01,,,,542.805,6299.5,10429.87
2006-08-01,,,,533.54,6191.96,10251.82
2006-09-01,,,,496.14700000000005,5758.0,9533.33
2006-10-01,,,,568.549,6598.26,10924.52
2006-11-01,,,,624.486,7247.44,11999.35
2006-12-01,,,,640.455,7432.76,12306.17
2007-01-01,0.0,0.0,0.0,0.235,3.0,4.0
2007-02-01,0.0,0.0,0.0,0.229,2.0,4.0
2007-03-01,0.0,0.0,0.0,0.218,2.0,4.0
2007-04-01,0.0,0.0,0.0,0.298,4.0,5.0
2007-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-07-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2007-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-06-01,0.0,0.0,0.0,22.249,253.0,271.0
2012-07-01,0.0,0.0,0.0,27.808,316.0,338.0
2012-08-01,0.0,0.0,0.0,29.55,336.0,359.0
2012-09-01,0.0,0.0,0.0,30.296,345.0,368.0
2012-10-01,0.0,0.0,0.0,29.636,337.0,360.0
2012-11-01,0.0,0.0,0.0,29.208,332.0,355.0
2012-12-01,0.0,0.0,0.0,25.253,287.0,307.0
2013-01-01,0.0,0.0,0.0,563.946,5246.0,5246.0
2013-02-01,0.0,0.0,0.0,514.666,4788.0,4788.0
2013-03-01,0.0,0.0,0.0,570.084,5303.0,5303.0
2013-04-01,0.0,0.0,0.0,566.675,5272.0,5272.0
2013-05-01,0.0,0.0,0.0,552.206,5137.0,5137.0
2013-06-01,0.0,0.0,0.0,447.977,4168.0,4168.0
2013-07-01,0.0,0.0,0.0,524.061,4876.0,4876.0
2013-08-01,0.0,0.0,0.0,591.526,5503.0,5503.0
2013-09-01,0.0,0.0,0.0,571.71,5318.0,5318.0
2013-10-01,0.0,0.0,0.0,535.432,4981.0,4981.0
2013-11-01,0.0,0.0,0.0,550.825,5124.0,5124.0
2013-12-01,0.0,0.0,0.0,516.892,4808.0,4808.0
2014-01-01,0.0,0.0,0.0,1525.515,15328.0,15328.0
2014-02-01,0.0,0.0,0.0,1333.122,13394.0,13394.0
2014-03-01,0.0,0.0,0.0,1437.606,14444.0,14444.0
2014-04-01,0.0,0.0,0.0,1345.41,13517.0,13517.0
2014-05-01,0.0,0.0,0.0,1378.556,13850.0,13850.0
2014-06-01,0.0,0.0,0.0,1027.983,10328.0,10328.0
2014-07-01,0.0,0.0,0.0,1202.17,12079.0,12079.0
2014-08-01,0.0,0.0,0.0,1617.196,16248.0,16248.0
2014-09-01,0.0,0.0,0.0,1559.084,15664.0,15664.0
2014-10-01,0.0,0.0,0.0,1601.663,16092.0,16092.0
2014-11-01,0.0,0.0,0.0,1477.962,14849.0,14849.0
2014-12-01,0.0,0.0,0.0,1374.733,13812.0,13812.0
2015-01-01,0.0,0.0,0.0,1309.52,13559.0,13559.0
2015-02-01,0.0,0.0,0.0,1322.788,13696.0,13696.0
2015-03-01,0.0,0.0,0.0,1451.32,15027.0,15027.0
2015-04-01,0.0,0.0,0.0,1416.288,14664.0,14664.0
2015-05-01,0.0,0.0,0.0,1480.466,15329.0,15329.0
2015-06-01,0.0,0.0,0.0,894.92,9266.0,9266.0
2015-07-01,0.0,0.0,0.0,1444.913,14960.0,14960.0
2015-08-01,0.0,0.0,0.0,1416.122,14662.0,14662.0
2015-09-01,0.0,0.0,0.0,1377.278,14260.0,14260.0
2015-10-01,0.0,0.0,0.0,1492.78,15456.0,15456.0
2015-11-01,0.0,0.0,0.0,1176.879,12185.0,12185.0
2015-12-01,0.0,0.0,0.0,1081.726,11200.0,11200.0
2016-01-01,0.0,0.0,0.0,1166.543,6951.0,12491.0
2016-02-01,0.0,0.0,0.0,1312.499,7820.0,14054.0
2016-03-01,0.0,0.0,0.0,1460.474,8702.0,15638.0
2016-04-01,0.0,0.0,0.0,1458.447,8690.0,15617.0
2016-05-01,0.0,0.0,0.0,1422.683,8477.0,15234.0
2016-06-01,0.0,0.0,0.0,1029.131,6132.0,11020.0
2016-07-01,0.0,0.0,0.0,1328.601,7916.0,14227.0
2016-08-01,0.0,0.0,0.0,1206.382,7188.0,12918.0
2016-09-01,0.0,0.0,0.0,1219.037,7264.0,13054.0
2016-10-01,0.0,0.0,0.0,1400.401,8344.0,14995.0
2016-11-01,0.0,0.0,0.0,1341.889,7996.0,14369.0
2016-12-01,0.0,0.0,0.0,1397.913,8329.0,14969.0
2017-01-01,0.0,0.0,0.0,812.204,4888.0,8650.0
2017-02-01,0.0,0.0,0.0,726.92,4375.0,7741.0
2017-03-01,0.0,0.0,0.0,829.205,4990.0,8831.0
2017-04-01,0.0,0.0,0.0,771.349,4642.0,8215.0
2017-05-01,0.0,0.0,0.0,822.287,4949.0,8757.0
2017-06-01,0.0,0.0,0.0,781.684,4704.0,8324.0
2017-07-01,0.0,0.0,0.0,833.315,5015.0,8875.0
2017-08-01,0.0,0.0,0.0,826.335,4973.0,8800.0
2017-09-01,0.0,0.0,0.0,782.881,4712.0,8338.0
2017-10-01,0.0,0.0,0.0,692.98,4170.0,7380.0
2017-11-01,0.0,0.0,0.0,785.492,4727.0,8365.0
2017-12-01,0.0,0.0,0.0,865.348,5208.0,9215.0
2018-01-01,0.0,0.0,0.0,1160.005,6990.0,12463.0
2018-02-01,0.0,0.0,0.0,1074.049,6472.0,11539.0
2018-03-01,0.0,0.0,0.0,1084.082,6533.0,11647.0
2018-04-01,0.0,0.0,0.0,1018.531,6138.0,10943.0
2018-05-01,0.0,0.0,0.0,1030.298,6208.0,11069.0
2018-06-01,0.0,0.0,0.0,965.224,5816.0,10370.0
2018-07-01,0.0,0.0,0.0,1011.015,6092.0,10862.0
2018-08-01,0.0,0.0,0.0,1043.391,6287.0,11210.0
2018-09-01,0.0,0.0,0.0,1023.568,6168.0,10997.0
2018-10-01,0.0,0.0,0.0,1031.768,6217.0,11085.0
2018-11-01,0.0,0.0,0.0,998.985,6020.0,10733.0
2018-12-01,0.0,0.0,0.0,1063.084,6406.0,11422.0
2019-01-01,0.0,0.0,0.0,1334.848,8048.0,13789.0
2019-02-01,0.0,0.0,0.0,1200.354,7237.0,12401.0
2019-03-01,0.0,0.0,0.0,1345.052,8110.0,13896.0
2019-04-01,0.0,0.0,0.0,1251.102,7543.0,12925.0
2019-05-01,0.0,0.0,0.0,1139.238,6869.0,11770.0
2019-06-01,0.0,0.0,0.0,1183.245,7134.0,12224.0
2019-07-01,0.0,0.0,0.0,1296.928,7820.0,13399.0
2019-08-01,0.0,0.0,0.0,1342.51,8094.0,13870.0
2019-09-01,0.0,0.0,0.0,1244.354,7503.0,12856.0
2019-10-01,0.0,0.0,0.0,1129.699,6811.0,11671.0
2019-11-01,0.0,0.0,0.0,1196.237,7213.0,12358.0
2019-12-01,0.0,0.0,0.0,1307.433,7883.0,13507.0
2020-01-01,0.0,0.0,0.0,1182.051,7259.0,12521.0
2020-02-01,0.0,0.0,0.0,1079.219,6627.0,11432.0
2020-03-01,0.0,0.0,0.0,1139.607,6998.0,12072.0
2020-04-01,0.0,0.0,0.0,1061.538,6519.0,11245.0
2020-05-01,0.0,0.0,0.0,1119.047,6872.0,11854.0
2020-06-01,0.0,0.0,0.0,1039.345,6382.0,11010.0
2020-07-01,0.0,0.0,0.0,1160.606,7127.0,12295.0
2020-08-01,0.0,0.0,0.0,1108.795,6809.0,11746.0
2020-09-01,0.0,0.0,0.0,1099.181,6750.0,11644.0
2020-10-01,0.0,0.0,0.0,1066.31,6548.0,11296.0
2020-11-01,0.0,0.0,0.0,1059.777,6508.0,11227.0
2020-12-01,0.0,0.0,0.0,989.524,6077.0,10482.0
2021-01-01,0.0,0.0,0.0,956.554,5977.0,10625.0
2021-02-01,0.0,0.0,0.0,874.608,5465.0,9715.0
2021-03-01,0.0,0.0,0.0,991.672,6197.0,11015.0
2021-04-01,0.0,0.0,0.0,827.057,5168.0,9187.0
2021-05-01,0.0,0.0,0.0,883.768,5522.0,9817.0
2021-06-01,0.0,0.0,0.0,905.052,5655.0,10053.0
2021-07-01,0.0,0.0,0.0,879.219,5494.0,9766.0
2021-08-01,0.0,0.0,0.0,871.807,5448.0,9684.0
2021-09-01,0.0,0.0,0.0,895.727,5597.0,9950.0
2021-10-01,0.0,0.0,0.0,862.636,5390.0,9582.0
2021-11-01,0.0,0.0,0.0,841.918,5261.0,9352.0
2021-12-01,0.0,0.0,0.0,866.982,5417.0,9630.0
2022-01-01,0.0,0.0,0.0,940.345,5789.0,10431.0
2022-02-01,0.0,0.0,0.0,833.551,5131.0,9247.0
2022-03-01,0.0,0.0,0.0,914.251,5628.0,10142.0
2022-04-01,0.0,0.0,0.0,729.178,4489.0,8089.0
2022-05-01,0.0,0.0,0.0,743.862,4579.0,8252.0
2022-06-01,0.0,0.0,0.0,811.599,4996.0,9003.0
2022-07-01,0.0,0.0,0.0,875.063,5387.0,9707.0
2022-08-01,0.0,0.0,0.0,919.123,5658.0,10196.0
