measured_on,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Generation,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Municiapl Landfill Gas-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Municiapl Landfill Gas-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,,,,1746.661,23923.0,23923.0
2003-02-01,,,,1484.2540000000001,20329.0,20329.0
2003-03-01,,,,1640.107,22464.0,22464.0
2003-04-01,,,,1422.519,19484.0,19484.0
2003-05-01,,,,1280.058,17532.0,17532.0
2003-06-01,,,,1530.769,20966.0,20966.0
2003-07-01,,,,1850.807,25350.0,25350.0
2003-08-01,,,,1745.352,23905.0,23905.0
2003-09-01,,,,1622.0310000000002,22216.0,22216.0
2003-10-01,,,,1586.1960000000001,21725.0,21725.0
2003-11-01,,,,1511.855,20707.0,20707.0
2003-12-01,,,,1708.391,23399.0,23399.0
2004-01-01,,,,1662.9170000000001,21841.0,21841.0
2004-02-01,,,,1662.9170000000001,21841.0,21841.0
2004-03-01,,,,1662.9170000000001,21841.0,21841.0
2004-04-01,,,,1662.9170000000001,21841.0,21841.0
2004-05-01,,,,1662.9170000000001,21841.0,21841.0
2004-06-01,,,,1662.9170000000001,21841.0,21841.0
2004-07-01,,,,1662.9170000000001,21841.0,21841.0
2004-08-01,,,,1662.9170000000001,21841.0,21841.0
2004-09-01,,,,1662.9170000000001,21841.0,21841.0
2004-10-01,,,,1662.9170000000001,21841.0,21841.0
2004-11-01,,,,1662.9170000000001,21841.0,21841.0
2004-12-01,,,,1662.9170000000001,21841.0,21841.0
2005-01-01,,,,1637.929,22355.19,22355.19
2005-02-01,,,,1461.161,19942.59,19942.59
2005-03-01,,,,1668.8490000000002,22777.19,22777.19
2005-04-01,,,,1665.3990000000001,22730.11,22730.11
2005-05-01,,,,1830.864,24988.45,24988.45
2005-06-01,,,,1813.8570000000002,24756.33,24756.33
2005-07-01,,,,1878.152,25633.86,25633.86
2005-08-01,,,,1869.663,25518.0,25518.0
2005-09-01,,,,1761.21,24037.79,24037.79
2005-10-01,,,,1777.8110000000001,24264.36,24264.36
2005-11-01,,,,1790.556,24438.31,24438.31
2005-12-01,,,,1794.549,24492.82,24492.82
2006-01-01,,,,1710.5330000000001,22800.0,22800.0
2006-02-01,,,,1580.7930000000001,21071.0,21071.0
2006-03-01,,,,1743.721,23243.0,23243.0
2006-04-01,,,,1282.9560000000001,17101.0,17101.0
2006-05-01,,,,1568.5240000000001,20907.0,20907.0
2006-06-01,,,,1643.09,21901.0,21901.0
2006-07-01,,,,1705.255,22730.0,22730.0
2006-08-01,,,,1695.0,22593.0,22593.0
