measured_on,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed,"Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Internal Combustion Engine (diesel, piston, reciprocating) - Distillate Fuel Oil - Total Fuel Consumed"
2003-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-03-01,13.0,288.0,288.0,80.0,792.0,792.0
2003-04-01,11.0,246.0,246.0,6.0,78.0,78.0
2003-05-01,11.76,294.0,294.0,14.7,240.0,240.0
2003-06-01,88.0,1862.0,1862.0,68.0,760.0,760.0
2003-07-01,0.0,0.0,0.0,12.0,151.0,151.0
2003-08-01,0.0,0.0,0.0,12.0,151.0,151.0
2003-09-01,10.0,122.0,122.0,31.0,464.0,464.0
2003-10-01,7.0,81.0,81.0,32.0,412.0,412.0
2003-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2003-12-01,0.0,0.0,0.0,6.0,58.0,58.0
2004-01-01,18.729,482.0,482.0,48.109,407.0,407.0
2004-02-01,18.143,466.0,466.0,62.23,527.0,527.0
2004-03-01,32.19,828.0,828.0,55.849000000000004,473.0,473.0
2004-04-01,34.531,888.0,888.0,37.869,321.0,321.0
2004-05-01,213.037,5477.0,5477.0,41.067,348.0,348.0
2004-06-01,20.484,527.0,527.0,39.448,334.0,334.0
2004-07-01,80.182,2061.0,2061.0,62.822,532.0,532.0
2004-08-01,9.364,241.0,241.0,66.506,563.0,563.0
2004-09-01,10.535,271.0,271.0,54.161,458.0,458.0
2004-10-01,110.03,2829.0,2829.0,39.613,335.0,335.0
2004-11-01,14.632000000000001,376.0,376.0,23.024,195.0,195.0
2004-12-01,18.143,466.0,466.0,22.3,189.0,189.0
2007-01-01,19.764,377.0,377.0,214.765,2888.0,2888.0
2007-02-01,15.306000000000001,294.0,294.0,166.32,2234.0,2234.0
2007-03-01,30.267000000000003,577.0,577.0,328.898,4419.0,4419.0
2007-04-01,18.41,349.0,349.0,200.055,2689.0,2689.0
2007-05-01,16.985,322.0,322.0,184.571,2484.0,2484.0
2007-06-01,16.605,316.0,316.0,180.442,2428.0,2428.0
2007-07-01,24.519000000000002,466.0,466.0,266.44300000000004,3581.0,3581.0
2007-08-01,30.95,588.0,588.0,336.327,4518.0,4518.0
2007-09-01,25.71,488.0,488.0,279.384,3753.0,3753.0
2007-10-01,31.049000000000003,593.0,593.0,337.40200000000004,4535.0,4535.0
2007-11-01,22.778000000000002,432.0,432.0,247.52200000000002,3326.0,3326.0
2007-12-01,32.657000000000004,621.0,621.0,354.873,4768.0,4768.0
2008-01-01,0.0,0.0,0.0,4137.0,42251.0,42251.0
2008-02-01,0.0,0.0,0.0,2882.0,30010.0,30010.0
2008-03-01,13.0,238.0,238.0,3903.0,39945.0,39945.0
2008-04-01,1930.0,30807.0,30807.0,6144.0,62206.0,62206.0
2008-05-01,3323.0,53408.0,53408.0,6455.0,65915.0,65915.0
2008-06-01,-57.0,314.0,314.0,1.0,23.0,23.0
2008-07-01,31.0,1085.0,1085.0,11.0,971.0,971.0
2008-08-01,0.0,0.0,0.0,-43.0,337.0,337.0
2008-09-01,0.0,977.0,977.0,0.0,0.0,0.0
2008-10-01,-8.0,131.0,131.0,-70.0,360.0,360.0
2008-11-01,-94.0,103.0,103.0,0.0,0.0,0.0
2008-12-01,-72.0,274.0,274.0,-123.0,126.0,126.0
2009-01-01,5179.0,84452.0,84452.0,3491.0,37299.0,37299.0
2009-02-01,-66.0,80.0,80.0,-107.0,51.0,51.0
2009-03-01,0.0,0.0,0.0,-45.0,714.0,714.0
2009-04-01,-74.0,331.0,331.0,-95.0,0.0,0.0
2009-05-01,-79.0,0.0,0.0,0.0,0.0,0.0
2009-06-01,-54.0,268.0,268.0,0.0,0.0,0.0
2009-07-01,-7.0,474.0,474.0,-7.0,286.0,286.0
2009-08-01,270.0,5466.0,5466.0,69.0,977.0,977.0
2009-09-01,-16.0,948.0,948.0,-1.0,40.0,40.0
2009-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2009-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,-94.0,69.0,69.0
2010-03-01,0.0,0.0,0.0,-94.0,211.0,211.0
2010-04-01,-2.0,6.0,6.0,-65.0,354.0,354.0
2010-05-01,-36.0,0.0,0.0,-36.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,-66.0,69.0,69.0
2010-07-01,-66.0,257.0,257.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,-60.0,23.0,23.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,58.0,1108.0,1108.0,84.0,977.0,977.0
2010-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-01,0.0,0.0,0.0,0.0,17.0,17.0
2011-01-01,0.0,234.0,234.0,0.0,428.0,428.0
2011-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2011-03-01,124.0,2056.0,2056.0,201.0,2153.0,2153.0
2011-04-01,0.0,0.0,0.0,3.0,29.0,29.0
2011-05-01,40.0,828.0,828.0,43.0,457.0,457.0
2011-06-01,0.0,0.0,0.0,10.0,120.0,120.0
2011-07-01,580.0,10362.0,10362.0,623.0,6894.0,6894.0
2011-08-01,4.0,91.0,91.0,0.0,6.0,6.0
2011-09-01,8.0,183.0,183.0,0.0,0.0,0.0
2011-10-01,0.0,0.0,0.0,0.0,6.0,6.0
2011-11-01,518.0,9111.0,9111.0,129.0,1382.0,1382.0
2011-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-01,1.0,23.0,23.0,56.0,577.0,577.0
2012-02-01,9.0,194.0,194.0,0.0,29.0,29.0
2012-03-01,0.0,0.0,0.0,53.0,571.0,571.0
2012-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-01,0.0,0.0,0.0,1.0,11.0,11.0
2012-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-07-01,1.0,17.0,17.0,0.0,0.0,0.0
2012-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-09-01,0.0,0.0,0.0,71.0,743.0,743.0
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2012-11-01,9.0,211.0,211.0,29.0,314.0,314.0
2012-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01,12.0,297.0,297.0,34.0,388.0,388.0
2013-02-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-03-01,4.0,97.0,97.0,41.0,428.0,428.0
2013-04-01,122.0,1839.0,1839.0,102.0,1062.0,1062.0
2013-05-01,0.0,137.0,137.0,0.0,0.0,0.0
2013-06-01,4.0,63.0,63.0,0.0,0.0,0.0
2013-07-01,0.0,0.0,0.0,0.0,6.0,6.0
2013-08-01,71.0,1131.0,1131.0,14.0,154.0,154.0
2013-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2013-10-01,9.0,160.0,160.0,0.0,11.0,11.0
2013-11-01,4.0,86.0,86.0,5.0,80.0,80.0
2013-12-01,5.0,97.0,97.0,4.0,97.0,97.0
2014-01-01,12.0,268.0,268.0,0.0,0.0,0.0
2014-02-01,0.0,0.0,0.0,18.0,194.0,194.0
2014-03-01,0.0,0.0,0.0,24.0,274.0,274.0
2014-04-01,4.0,97.0,97.0,2.0,23.0,23.0
2014-05-01,2.0,63.0,63.0,22.0,246.0,246.0
2014-06-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-01,0.0,0.0,0.0,8.0,80.0,80.0
2014-08-01,15.0,280.0,280.0,15.0,166.0,166.0
2014-09-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-10-01,3.0,86.0,86.0,0.0,0.0,0.0
2014-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-01,14.0,217.0,217.0,42.0,434.0,434.0
2015-01-01,9.0,177.0,177.0,0.0,0.0,0.0
2015-02-01,0.0,0.0,0.0,21.0,234.0,234.0
2015-03-01,4.0,114.0,114.0,14.0,143.0,143.0
2015-04-01,0.0,29.0,29.0,0.0,6.0,6.0
2015-05-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,14.0,326.0,326.0,0.0,0.0,0.0
2015-07-01,21.0,440.0,440.0,14.0,154.0,154.0
2015-08-01,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,10.0,274.0,274.0,0.0,0.0,0.0
2015-10-01,37.0,611.0,611.0,66.0,697.0,697.0
2015-11-01,0.0,0.0,0.0,59.0,594.0,594.0
2015-12-01,5.0,149.0,149.0,19.0,194.0,194.0
2016-01-01,0.0,0.0,0.0,13.0,143.0,143.0
2016-02-01,0.0,0.0,0.0,32.0,343.0,343.0
2016-03-01,0.0,0.0,0.0,4.0,63.0,63.0
2016-04-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,21.0,583.0,583.0,0.0,0.0,0.0
2016-06-01,3.0,126.0,126.0,17.0,183.0,183.0
2016-07-01,96.0,1485.0,1485.0,14.0,160.0,160.0
2016-08-01,3.0,86.0,86.0,0.0,0.0,0.0
2016-09-01,9.0,188.0,188.0,0.0,0.0,0.0
2016-10-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,-42.636,289.0,289.0,-40.7,159.0,159.0
2017-02-01,-34.424,227.0,227.0,-32.863,130.0,130.0
2017-03-01,-39.636,261.0,261.0,-37.839,147.0,147.0
2017-04-01,-36.544,244.0,244.0,-34.887,136.0,136.0
2017-05-01,-36.505,244.0,244.0,-34.849,136.0,136.0
2017-06-01,-38.503,255.0,255.0,-36.757,142.0,142.0
2017-07-01,-39.237,261.0,261.0,-37.457,147.0,147.0
2017-08-01,-40.529,272.0,272.0,-38.691,153.0,153.0
2017-09-01,-40.313,266.0,266.0,-38.485,147.0,147.0
2017-10-01,-41.145,272.0,272.0,-39.279,153.0,153.0
2017-11-01,-36.443,244.0,244.0,-34.79,136.0,136.0
2017-12-01,-37.085,244.0,244.0,-35.403,136.0,136.0
2018-01-01,-18.507,272.0,272.0,-37.176,215.0,215.0
2018-02-01,-17.262,261.0,261.0,-34.673,193.0,193.0
2018-03-01,-17.264,261.0,261.0,-34.678,193.0,193.0
2018-04-01,-17.439,266.0,266.0,-35.029,193.0,193.0
