measured_on,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combined Cycle Combustion Turbine Part - Distillate Fuel Oil - Total Fuel Consumed,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Generation,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Quantity Consumed For Electricity,Distillate Fuel Oil - Combustion (Gas) Turbine (including jet engine design) - Distillate Fuel Oil - Total Fuel Consumed
2003-01-01,,,,739.0,11594.0,11594.0
2003-02-01,,,,325.0,5743.0,5743.0
2003-03-01,,,,323.0,5714.0,5714.0
2003-04-01,,,,384.0,6779.0,6779.0
2003-05-01,,,,96.0,2372.0,2372.0
2003-06-01,,,,1002.0,17368.0,17368.0
2003-07-01,,,,838.0,14932.0,14932.0
2003-08-01,,,,405.0,7466.0,7466.0
2003-09-01,,,,52.0,1151.0,1151.0
2003-12-01,,,,-4.0,0.0,0.0
2004-01-01,,,,214.665,5713.0,5713.0
2004-02-01,,,,29.024,772.0,772.0
2004-03-01,,,,31.546000000000003,839.0,839.0
2004-04-01,,,,33.284,886.0,886.0
2004-05-01,,,,63.933,1701.0,1701.0
2004-06-01,,,,36.509,972.0,972.0
2004-07-01,,,,36.703,977.0,977.0
2004-08-01,,,,45.812000000000005,1219.0,1219.0
2004-09-01,,,,15.73,419.0,419.0
2004-10-01,,,,5.586,149.0,149.0
2004-11-01,,,,9.616,256.0,256.0
2004-12-01,,,,97.592,2597.0,2597.0
2005-01-01,,,,310.273,6462.13,6462.13
2005-02-01,,,,75.708,1576.78,1576.78
2005-03-01,,,,108.17800000000001,2253.05,2253.05
2005-04-01,,,,88.857,1850.65,1850.65
2005-05-01,,,,91.887,1913.75,1913.75
2005-06-01,,,,80.36800000000001,1673.84,1673.84
2005-07-01,,,,234.46900000000002,4883.34,4883.34
2005-08-01,,,,283.8,5910.77,5910.77
2005-09-01,,,,234.311,4880.04,4880.04
2005-10-01,,,,98.799,2057.71,2057.71
2005-11-01,,,,99.01400000000001,2062.2,2062.2
2005-12-01,,,,223.336,4651.48,4651.48
2006-01-01,,,,57.051,1573.0,1573.0
2006-02-01,,,,56.456,1556.0,1556.0
2006-03-01,,,,49.5,1365.0,1365.0
2006-04-01,,,,65.299,1800.0,1800.0
2006-05-01,,,,59.014,1627.0,1627.0
2006-06-01,,,,70.57900000000001,1946.0,1946.0
2006-07-01,,,,68.46600000000001,1887.0,1887.0
2006-08-01,,,,73.684,2031.0,2031.0
2006-09-01,,,,52.346000000000004,1443.0,1443.0
2006-10-01,,,,67.375,1857.0,1857.0
2006-11-01,,,,58.808,1621.0,1621.0
2006-12-01,,,,65.424,1804.0,1804.0
2007-01-01,143.431,2970.0,2970.0,,,
2007-02-01,546.702,11316.0,11316.0,,,
2007-03-01,159.594,3303.0,3303.0,,,
2007-04-01,115.098,2382.0,2382.0,,,
2007-05-01,23.714000000000002,493.0,493.0,,,
2007-06-01,72.534,1503.0,1503.0,,,
2007-07-01,32.011,665.0,665.0,,,
2007-08-01,152.062,3148.0,3148.0,,,
2007-09-01,19.139,398.0,398.0,,,
2007-10-01,37.574000000000005,778.0,778.0,,,
