measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2012-06-01,18569.0,176703.0,176703.0
2012-07-01,19349.0,184125.0,184125.0
2012-08-01,21744.0,206916.0,206916.0
2012-09-01,22936.0,218259.0,218259.0
2012-10-01,22169.0,210960.0,210960.0
2012-11-01,26199.0,249310.0,249310.0
2012-12-01,28108.0,267476.0,267476.0
2013-01-01,28329.0,270287.0,270287.0
2013-02-01,26867.0,256338.0,256338.0
2013-03-01,30501.0,291010.0,291010.0
2013-04-01,28340.0,270392.0,270392.0
2013-05-01,27726.0,264534.0,264534.0
2013-06-01,23684.0,225969.0,225969.0
2013-07-01,22179.0,211610.0,211610.0
2013-08-01,23707.0,226188.0,226188.0
2013-09-01,25618.0,244421.0,244421.0
2013-10-01,30366.0,289722.0,289722.0
2013-11-01,30541.0,291392.0,291392.0
2013-12-01,29232.0,278903.0,278903.0
2014-01-01,30064.0,285909.0,285909.0
2014-02-01,28454.0,270598.0,270598.0
2014-03-01,30372.0,288838.0,288838.0
2014-04-01,29210.0,277787.0,277787.0
2014-05-01,28237.0,268534.0,268534.0
2014-06-01,24328.0,231359.0,231359.0
2014-07-01,22785.0,216685.0,216685.0
2014-08-01,24176.0,229914.0,229914.0
2014-09-01,24895.0,236751.0,236751.0
2014-10-01,22238.0,211483.0,211483.0
2014-11-01,30604.0,291044.0,291044.0
2014-12-01,30132.0,286555.0,286555.0
2015-01-01,28432.0,264958.0,264958.0
2015-02-01,46076.0,429382.0,429382.0
2015-03-01,58593.0,546028.0,546028.0
2015-04-01,62687.0,584180.0,584180.0
2015-05-01,62988.0,586985.0,586985.0
2015-06-01,43685.0,407101.0,407101.0
2015-07-01,53555.0,499079.0,499079.0
2015-08-01,51430.0,479276.0,479276.0
2015-09-01,55144.0,513887.0,513887.0
2015-10-01,63394.0,590769.0,590769.0
2015-11-01,69061.0,643579.0,643579.0
2015-12-01,71915.0,670176.0,670176.0
2016-01-01,72617.0,670400.0,670400.0
2016-02-01,66331.0,612368.0,612368.0
2016-03-01,66946.0,618045.0,618045.0
2016-04-01,66694.0,615719.0,615719.0
2016-05-01,64957.0,599683.0,599683.0
2016-06-01,54549.0,503596.0,503596.0
2016-07-01,51185.0,472540.0,472540.0
2016-08-01,52490.0,484588.0,484588.0
2016-09-01,59791.0,551991.0,551991.0
2016-10-01,59734.0,551464.0,551464.0
2016-11-01,68772.0,634903.0,634903.0
2016-12-01,75138.0,693674.0,693674.0
2017-01-01,67802.675,624666.0,624666.0
2017-02-01,59726.125,550257.0,550257.0
2017-03-01,66801.629,615443.0,615443.0
2017-04-01,64719.092,596257.0,596257.0
2017-05-01,62561.521,576379.0,576379.0
2017-06-01,61389.035,565577.0,565577.0
2017-07-01,66032.357,608356.0,608356.0
2017-08-01,65594.963,604326.0,604326.0
2017-09-01,64148.676,591002.0,591002.0
2017-10-01,58425.035,538270.0,538270.0
2017-11-01,62771.02,578309.0,578309.0
2017-12-01,65266.872,601304.0,601304.0
2018-01-01,62339.228,567536.0,567536.0
2018-02-01,59259.518,539499.0,539499.0
2018-03-01,63512.607,578219.0,578219.0
2018-04-01,55248.064,502978.0,502978.0
2018-05-01,63914.717,581880.0,581880.0
2018-06-01,59635.05,542917.0,542917.0
2018-07-01,63203.228,575402.0,575402.0
2018-08-01,63083.668,574314.0,574314.0
2018-09-01,61370.761,558719.0,558719.0
2018-10-01,59078.67,537852.0,537852.0
2018-11-01,61731.537,562004.0,562004.0
2018-12-01,65475.952,596093.0,596093.0
2019-01-01,67618.366,602142.0,602142.0
2019-02-01,62985.103,560882.0,560882.0
2019-03-01,69388.579,617905.0,617905.0
2019-04-01,61355.864,546374.0,546374.0
2019-05-01,66084.181,588480.0,588480.0
2019-06-01,64158.253,571329.0,571329.0
2019-07-01,66359.232,590929.0,590929.0
2019-08-01,67002.783,596660.0,596660.0
2019-09-01,65699.997,585058.0,585058.0
2019-10-01,56056.658,499185.0,499185.0
2019-11-01,51188.5,455834.0,455834.0
2019-12-01,60289.484,536878.0,536878.0
2020-01-01,59793.137,524206.0,524206.0
2020-02-01,63653.292,558048.0,558048.0
2020-03-01,66479.991,582830.0,582830.0
