measured_on,"Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Black Liquor-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Distillate Fuel Oil-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Other-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,1229.04562,6677.13,45387.76,0.0,0.0,0.0,13524.16438,73473.81,499437.5,,,,,,
2004-02-01,1322.38129,7184.21,48834.65,0.0,0.0,0.0,9707.61471,52739.34,358495.7,,,,,,
2004-03-01,1273.67483,6919.6,47035.98,0.0,0.0,0.0,8654.71617,47019.17,319613.02,,,,,,
2004-04-01,1423.37416,7732.88,52564.28,0.0,0.0,0.0,9223.64584,50110.04,340623.23,,,,,,
2004-05-01,1352.69908,7348.92,49954.36,0.0,0.0,0.0,7452.63592,40488.53,275221.32,,,,,,
2004-06-01,1381.14701,7503.47,51004.91,0.0,0.0,0.0,7849.00299,42641.91,289858.86,,,,,,
2004-07-01,1337.01455,7263.71,49375.09,0.0,0.0,0.0,8470.58245,46018.81,312813.2,,,,,,
2004-08-01,1310.94897,7122.1,48412.57,0.0,0.0,0.0,6562.17103,35650.83,242337.08,,,,,,
2004-09-01,1182.37255,6423.57,43664.25,0.0,0.0,0.0,7782.25545,42279.28,287393.62,,,,,,
2004-10-01,1363.85785,7409.54,50366.41,0.0,0.0,0.0,8036.45015,43660.27,296781.05,,,,,,
2004-11-01,1364.27533,7411.81,50381.87,0.0,0.0,0.0,7331.12067,39828.37,270733.89,,,,,,
2004-12-01,1440.12598,7823.89,53182.95,0.0,0.0,0.0,8317.54702,45187.41,307161.82,,,,,,
2005-01-01,1233.48903,6701.28,45957.58,0.0,0.0,0.0,4394.34297,23873.5,163725.3,,,,,,
