measured_on,"Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Generation","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Quantity Consumed For Electricity","Geothermal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Geothermal - Total Fuel Consumed",Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2009-01-01,5832.374000000001,56923.97,56923.97,,,
2009-02-01,5331.255,52033.05,52033.05,,,
2009-03-01,6025.011,58804.11,58804.11,0.0,0.0,0.0
2009-04-01,5534.678,54018.46,54018.46,0.0,0.0,0.0
2009-05-01,5169.785,50457.1,50457.1,0.0,0.0,0.0
2009-06-01,5437.7970000000005,53072.9,53072.9,0.0,0.0,0.0
2009-07-01,5395.843,52663.43,52663.43,0.0,0.0,0.0
2009-08-01,5468.398,53371.56,53371.56,0.0,0.0,0.0
2009-09-01,5262.295,51360.0,51360.0,0.0,0.0,0.0
2009-10-01,4108.738,40101.28,40101.28,0.0,0.0,0.0
2009-11-01,7065.046,68954.85,68954.85,0.0,0.0,0.0
2009-12-01,7875.78,76867.61,76867.61,0.0,0.0,0.0
2010-01-01,,,,8810.017,85951.0,85951.0
2010-02-01,,,,6975.7210000000005,68055.0,68055.0
2010-03-01,,,,9861.112000000001,96205.0,96205.0
2010-04-01,,,,9659.995,94243.0,94243.0
2010-05-01,,,,10521.834,102651.0,102651.0
2010-06-01,,,,9723.52,94863.0,94863.0
2010-07-01,,,,8859.484,86433.0,86433.0
2010-08-01,,,,9722.992,94858.0,94858.0
2010-09-01,,,,9139.237000000001,89162.0,89162.0
2010-10-01,,,,9802.332,95632.0,95632.0
2010-11-01,,,,9138.182,89152.0,89152.0
2010-12-01,,,,10458.574,102034.0,102034.0
2011-01-01,,,,10126.4,98388.0,98388.0
2011-02-01,,,,9276.908,90134.0,90134.0
2011-03-01,,,,9966.571,96835.0,96835.0
2011-04-01,,,,9620.653,93474.0,93474.0
2011-05-01,,,,9736.823,94603.0,94603.0
2011-06-01,,,,9031.855,87754.0,87754.0
2011-07-01,,,,8963.273,87087.0,87087.0
2011-08-01,,,,8994.135,87387.0,87387.0
2011-09-01,,,,8552.788,83099.0,83099.0
2011-10-01,,,,8580.889,83372.0,83372.0
2011-11-01,,,,9428.624,91609.0,91609.0
2011-12-01,,,,9900.081,96189.0,96189.0
2012-01-01,,,,8191.053,77946.0,77946.0
2012-02-01,,,,7738.253,73637.0,73637.0
2012-03-01,,,,8144.903,77507.0,77507.0
2012-04-01,,,,7696.804,73243.0,73243.0
2012-05-01,,,,8008.878,76212.0,76212.0
2012-06-01,,,,8996.947,85615.0,85615.0
2012-07-01,,,,9052.638,86145.0,86145.0
2012-08-01,,,,9063.748,86251.0,86251.0
2012-09-01,,,,9250.409,88027.0,88027.0
2012-10-01,,,,9497.96,90383.0,90383.0
2012-11-01,,,,9941.074,94599.0,94599.0
2012-12-01,,,,10094.333,96058.0,96058.0
2013-01-01,,,,13149.058,125455.0,125455.0
2013-02-01,,,,12028.295,114762.0,114762.0
2013-03-01,,,,12928.176,123348.0,123348.0
2013-04-01,,,,12273.749,117104.0,117104.0
2013-05-01,,,,12159.547,116014.0,116014.0
2013-06-01,,,,11326.473,108066.0,108066.0
2013-07-01,,,,10984.394,104802.0,104802.0
2013-08-01,,,,11162.079,106497.0,106497.0
2013-09-01,,,,11195.832,106819.0,106819.0
2013-10-01,,,,12554.355,119781.0,119781.0
2013-11-01,,,,12569.133,119922.0,119922.0
2013-12-01,,,,13458.609,128409.0,128409.0
2014-01-01,,,,9996.558,95067.0,95067.0
2014-02-01,,,,8404.089,79923.0,79923.0
2014-03-01,,,,9302.314,88465.0,88465.0
2014-04-01,,,,8515.165,80979.0,80979.0
2014-05-01,,,,8494.272,80781.0,80781.0
2014-06-01,,,,7845.928,74615.0,74615.0
2014-07-01,,,,7515.365,71471.0,71471.0
2014-08-01,,,,8163.265,77633.0,77633.0
2014-09-01,,,,8184.769,77837.0,77837.0
2014-10-01,,,,8239.335,78356.0,78356.0
2014-11-01,,,,9214.797,87633.0,87633.0
2014-12-01,,,,9575.143,91060.0,91060.0
2015-01-01,,,,7455.626,69479.0,69479.0
2015-02-01,,,,7599.935,70824.0,70824.0
2015-03-01,,,,8610.574,80242.0,80242.0
2015-04-01,,,,8338.234,77704.0,77704.0
2015-05-01,,,,8360.775,77914.0,77914.0
2015-06-01,,,,6976.97,65018.0,65018.0
2015-07-01,,,,7822.832,72901.0,72901.0
2015-08-01,,,,7537.453,70242.0,70242.0
2015-09-01,,,,8234.558,76738.0,76738.0
2015-10-01,,,,8665.672,80755.0,80755.0
2015-11-01,,,,10072.06,93862.0,93862.0
2015-12-01,,,,10319.311,96166.0,96166.0
2016-01-01,,,,9660.444,89185.0,89185.0
2016-02-01,,,,8893.51,82105.0,82105.0
2016-03-01,,,,9187.596,84820.0,84820.0
2016-04-01,,,,8755.287,80829.0,80829.0
2016-05-01,,,,8916.965,82321.0,82321.0
2016-06-01,,,,7677.741,70881.0,70881.0
2016-07-01,,,,7485.44,69106.0,69106.0
2016-08-01,,,,7541.669,69625.0,69625.0
2016-09-01,,,,8087.67,74665.0,74665.0
2016-10-01,,,,8689.023,80217.0,80217.0
2016-11-01,,,,9164.3,84605.0,84605.0
2016-12-01,,,,9877.355,91188.0,91188.0
2017-01-01,,,,8604.528,79274.0,79274.0
2017-02-01,,,,7579.571,69831.0,69831.0
2017-03-01,,,,8477.491,78103.0,78103.0
2017-04-01,,,,8213.206,75668.0,75668.0
2017-05-01,,,,7939.398,73146.0,73146.0
2017-06-01,,,,7790.603,71775.0,71775.0
2017-07-01,,,,8379.866,77204.0,77204.0
2017-08-01,,,,8324.358,76692.0,76692.0
2017-09-01,,,,8140.817,75001.0,75001.0
2017-10-01,,,,7414.455,68309.0,68309.0
2017-11-01,,,,7965.985,73391.0,73391.0
2017-12-01,,,,8282.722,76309.0,76309.0
2018-01-01,,,,8304.515,75604.0,75604.0
2018-02-01,,,,7894.25,71869.0,71869.0
2018-03-01,,,,8460.824,77027.0,77027.0
2018-04-01,,,,7359.864,67004.0,67004.0
2018-05-01,,,,8514.391,77515.0,77515.0
2018-06-01,,,,7944.276,72325.0,72325.0
2018-07-01,,,,8419.61,76652.0,76652.0
2018-08-01,,,,8403.683,76507.0,76507.0
2018-09-01,,,,8175.499,74430.0,74430.0
2018-10-01,,,,7870.158,71650.0,71650.0
2018-11-01,,,,8223.559,74867.0,74867.0
2018-12-01,,,,8722.371,79408.0,79408.0
2019-01-01,,,,9254.922,82415.0,82415.0
2019-02-01,,,,8620.766,76768.0,76768.0
2019-03-01,,,,9497.21,84573.0,84573.0
2019-04-01,,,,8397.773,74782.0,74782.0
2019-05-01,,,,9044.937,80545.0,80545.0
2019-06-01,,,,8781.335,78198.0,78198.0
2019-07-01,,,,9082.583,80880.0,80880.0
2019-08-01,,,,9170.666,81665.0,81665.0
2019-09-01,,,,8992.354,80077.0,80077.0
2019-10-01,,,,7672.471,68323.0,68323.0
2019-11-01,,,,7006.166,62390.0,62390.0
2019-12-01,,,,8251.817,73482.0,73482.0
2020-01-01,,,,3272.557,28691.0,28691.0
2020-02-01,,,,3483.827,30543.0,30543.0
2020-03-01,,,,3638.536,31899.0,31899.0
2020-04-01,,,,3438.747,30147.0,30147.0
2020-05-01,,,,3284.087,28792.0,28792.0
2020-06-01,,,,3023.051,26503.0,26503.0
2020-07-01,,,,2855.087,25031.0,25031.0
2020-08-01,,,,2777.672,24352.0,24352.0
2020-09-01,,,,2998.144,26285.0,26285.0
