measured_on,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed",Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Generation,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Quantity Consumed For Electricity,Hydroelectric-Hydroelectric Turbine (including turbines associated with delivery of water by pipeline) Total Fuel Consumed
2003-01-01,-4.9510000000000005,1.0,1.0,,,
2003-02-01,-4.747,1.0,1.0,,,
2003-03-01,-4.796,1.0,1.0,,,
2003-04-01,-4.385,1.0,1.0,,,
2003-05-01,-4.463,1.0,1.0,,,
2003-06-01,-4.664000000000001,1.0,1.0,,,
2003-07-01,-5.4,1.0,1.0,,,
2003-08-01,-5.7780000000000005,1.0,1.0,,,
2003-09-01,-4.9270000000000005,1.0,1.0,,,
2003-10-01,-4.799,1.0,1.0,,,
2003-11-01,-4.825,1.0,1.0,,,
2003-12-01,-5.264,1.0,1.0,,,
2004-01-01,-8.73,9.0,9.0,,,
2004-02-01,-3.317,3.0,3.0,,,
2004-03-01,-0.175,0.0,0.0,,,
2004-04-01,-2.444,3.0,3.0,,,
2004-05-01,-2.794,3.0,3.0,,,
2004-06-01,-6.81,7.0,7.0,,,
2004-07-01,-3.1430000000000002,3.0,3.0,,,
2004-08-01,-0.6980000000000001,1.0,1.0,,,
2004-09-01,-2.444,3.0,3.0,,,
2004-10-01,-0.6980000000000001,1.0,1.0,,,
2004-11-01,0.0,0.0,0.0,,,
2004-12-01,-1.746,2.0,2.0,,,
2005-01-01,-6.126,0.0,0.0,0.0,0.0,0.0
2005-02-01,-2.105,0.0,0.0,0.0,0.0,0.0
2005-03-01,-2.333,0.0,0.0,0.0,0.0,0.0
2005-04-01,-2.826,0.0,0.0,0.0,0.0,0.0
2005-05-01,-2.624,0.0,0.0,0.0,0.0,0.0
2005-06-01,-3.406,0.0,0.0,0.0,0.0,0.0
2005-07-01,-3.467,0.0,0.0,0.0,0.0,0.0
2005-08-01,-4.073,0.0,0.0,0.0,0.0,0.0
2005-09-01,-2.666,0.0,0.0,0.0,0.0,0.0
2005-10-01,-2.9610000000000003,0.0,0.0,0.0,0.0,0.0
2005-11-01,-2.38,0.0,0.0,0.0,0.0,0.0
2005-12-01,-5.033,0.0,0.0,0.0,0.0,0.0
2006-01-01,-3.761,0.0,0.0,0.0,0.0,0.0
2006-02-01,-1.9680000000000002,0.0,0.0,0.0,0.0,0.0
2006-03-01,-1.653,0.0,0.0,0.0,0.0,0.0
2006-04-01,-3.1660000000000004,0.0,0.0,0.0,0.0,0.0
2006-05-01,-2.96,0.0,0.0,0.0,0.0,0.0
2006-06-01,-2.69,0.0,0.0,0.0,0.0,0.0
2006-07-01,-3.8970000000000002,0.0,0.0,0.0,0.0,0.0
2006-08-01,-3.78,0.0,0.0,0.0,0.0,0.0
2006-09-01,-1.737,0.0,0.0,0.0,0.0,0.0
2006-10-01,-1.834,0.0,0.0,0.0,0.0,0.0
2006-11-01,-2.16,0.0,0.0,0.0,0.0,0.0
2006-12-01,-2.3930000000000002,0.0,0.0,,,
