measured_on,"Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Municiapl Landfill Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Tire-Derived Fuels-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,882.0,25905.0,25905.0,1559.0,45780.0,45780.0,6374.0,187136.0,187136.0
2003-05-01,821.0,22432.0,22432.0,2870.0,78420.0,78420.0,12919.0,352988.0,352988.0
2004-01-01,820.0,23200.0,23200.0,2594.0,73420.0,73420.0,13125.0,371433.0,371433.0
2004-02-01,802.0,22388.0,22388.0,2376.0,66320.0,66320.0,11104.0,309910.0,309910.0
2004-03-01,860.0,24088.0,24088.0,1586.0,44420.0,44420.0,7160.0,200583.0,200583.0
2004-04-01,843.0,21943.0,21943.0,2681.0,69780.0,69780.0,12913.0,336056.0,336056.0
2004-05-01,765.0,20759.0,20759.0,2735.0,74200.0,74200.0,13094.0,355300.0,355300.0
2004-06-01,760.0,22346.0,22346.0,2239.0,65880.0,65880.0,10721.0,315418.0,315418.0
2004-07-01,813.0,23577.0,23577.0,2663.0,77220.0,77220.0,12624.0,366112.0,366112.0
2004-08-01,729.0,24054.0,24054.0,2337.0,77120.0,77120.0,11254.0,371348.0,371348.0
2004-09-01,544.0,19029.0,19029.0,1820.0,63660.0,63660.0,10493.0,366962.0,366962.0
