measured_on,"Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Wood Waste Solids-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2003-01-01,5126.865000000001,23574.0,53091.0
2003-02-01,4769.84,21932.0,49394.0
2003-03-01,5546.972000000001,25506.0,57442.0
2003-04-01,5766.146000000001,26513.0,59711.0
2003-05-01,5639.999000000001,25933.0,58405.0
2003-06-01,5730.776,26351.0,59345.0
2003-07-01,5473.558,25168.0,56681.0
2003-08-01,5212.553,23968.0,53979.0
2003-09-01,4311.535,19825.0,44648.0
2003-10-01,4981.951,22908.0,51591.0
2003-11-01,5253.868,24158.0,54406.0
2003-12-01,5886.94,27069.0,60962.0
2004-01-01,11400.639,51637.24,112065.03
2004-02-01,10160.483,46020.17,99874.62
2004-03-01,10128.381,45874.76,99559.08
2004-04-01,8585.192000000001,38885.16,84389.94
2004-05-01,5370.6140000000005,24325.27,52791.57
2004-06-01,8136.863,36854.53,79983.0
2004-07-01,11439.62,51813.8,112448.16
2004-08-01,10609.222,48052.65,104285.61
2004-09-01,10294.365,46626.56,101190.6
2004-10-01,10851.276,49149.0,106664.94
2004-11-01,11011.46,49874.52,108239.49
2004-12-01,13174.857,59673.26,129505.05
2005-01-01,10727.037,48586.28,209465.1
2005-02-01,9955.314,45090.89,194395.86
2005-03-01,10763.297,48750.51,210173.22
2005-04-01,9254.021,41914.51,180701.82
2005-05-01,10269.854,46515.54,200537.82
2005-06-01,9942.659,45033.57,194148.72
2005-07-01,11011.546,49874.91,215020.62
2005-08-01,11337.219000000001,51349.99,221380.02
2005-09-01,10672.34,48338.54,208396.98
2005-10-01,10172.567,46074.9,198638.1
2005-11-01,10360.145,46924.51,202300.92
2005-12-01,11192.136,50692.86,218547.0
2006-01-01,10511.115,47608.29,210890.52
2006-02-01,9542.384,43220.6,191454.3
2006-03-01,10335.206,46811.55,207361.08
2006-04-01,9552.629,43267.0,191659.86
2006-05-01,9529.761,43163.42,191201.04
2006-06-01,9513.681,43090.59,190878.48
2006-07-01,10222.991,46303.29,205109.64
2006-08-01,10825.353,49031.58,217195.2
2006-09-01,10130.044,45882.3,203244.84
2006-10-01,10520.005,47648.57,211068.9
2006-11-01,10287.445,46595.22,206402.94
2006-12-01,10663.865,48300.15,213955.2
2007-01-01,9340.0,45396.0,252558.0
2007-02-01,7162.0,33966.0,201510.0
2007-03-01,9164.0,44514.0,249462.0
2007-04-01,8931.0,43110.0,244458.0
2007-05-01,7587.0,35136.0,203616.0
2007-06-01,9164.0,44208.0,239886.0
2007-07-01,10654.0,50850.0,261630.0
2007-08-01,10688.0,50922.0,261468.0
2007-09-01,10199.0,48672.0,251370.0
2007-10-01,10275.0,49266.0,259452.0
2007-11-01,9999.0,47952.0,256860.0
2007-12-01,8161.0,38772.0,213120.0
2008-01-01,9977.0,48162.0,219834.0
2008-02-01,9172.0,44417.0,206532.0
2008-03-01,9732.0,46957.0,218394.0
2008-04-01,9641.0,46492.0,212742.0
2008-05-01,10209.0,49063.0,218664.0
2008-06-01,7892.0,38471.0,174978.0
2008-07-01,10578.0,50502.0,217782.0
2008-08-01,10066.0,48175.0,215658.0
