measured_on,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Generation,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Quantity Consumed For Electricity,Geothermal - Turbines Used in a Binary Cycle (including those used for geothermal applications) - Geothermal - Total Fuel Consumed
2008-12-01,614.0,6050.36,6050.36
2009-01-01,595.0,5807.2,5807.2
2009-02-01,1134.0,11067.84,11067.84
2009-03-01,3627.0,35399.52,35399.52
2009-04-01,2433.0,23746.08,23746.08
2009-05-01,3518.0,34335.68,34335.68
2009-06-01,4162.0,40621.12,40621.12
2009-07-01,1999.0,19510.24,19510.24
2009-08-01,1014.0,9896.64,9896.64
2009-09-01,1898.0,18524.48,18524.48
2009-10-01,2552.0,24907.52,24907.52
2009-11-01,3921.0,38268.96,38268.96
2009-12-01,7841.0,76528.16,76528.16
2010-01-01,10950.0,106828.0,106828.0
2010-02-01,10856.0,105911.0,105911.0
2010-03-01,15022.0,146555.0,146555.0
2010-04-01,13620.0,132877.0,132877.0
2010-05-01,13864.0,135257.0,135257.0
2010-06-01,13841.0,135033.0,135033.0
2010-07-01,14148.0,138028.0,138028.0
2010-08-01,15630.0,152486.0,152486.0
2010-09-01,17672.0,172408.0,172408.0
2010-10-01,17179.0,167598.0,167598.0
2010-11-01,18450.0,179998.0,179998.0
2010-12-01,16337.0,159384.0,159384.0
2011-01-01,19221.0,186751.0,186751.0
2011-02-01,16133.0,156748.0,156748.0
2011-03-01,19917.0,193514.0,193514.0
2011-04-01,19748.0,191872.0,191872.0
2011-05-01,19108.0,185653.0,185653.0
2011-06-01,17591.0,170914.0,170914.0
2011-07-01,13067.0,126959.0,126959.0
2011-08-01,11655.0,113240.0,113240.0
2011-09-01,11080.0,107653.0,107653.0
2011-10-01,11664.0,113327.0,113327.0
2011-11-01,11550.0,112220.0,112220.0
2011-12-01,12392.0,120401.0,120401.0
2012-01-01,13291.0,126477.0,126477.0
2012-02-01,14031.0,133519.0,133519.0
2012-03-01,16803.0,159897.0,159897.0
2012-04-01,15231.0,144938.0,144938.0
2012-05-01,16443.0,156472.0,156472.0
2012-06-01,16266.0,154787.0,154787.0
2012-07-01,12142.0,115543.0,115543.0
2012-08-01,9974.0,94913.0,94913.0
2012-09-01,14239.0,135498.0,135498.0
2012-10-01,17099.0,162714.0,162714.0
2012-11-01,18135.0,172573.0,172573.0
2012-12-01,19274.0,183411.0,183411.0
2013-01-01,18407.0,175621.0,175621.0
2013-02-01,14564.0,138955.0,138955.0
2013-03-01,14916.0,142314.0,142314.0
2013-04-01,16738.0,159697.0,159697.0
2013-05-01,13304.0,126933.0,126933.0
2013-06-01,15127.0,144327.0,144327.0
2013-07-01,13830.0,131952.0,131952.0
2013-08-01,13381.0,127668.0,127668.0
2013-09-01,13583.0,129595.0,129595.0
2013-10-01,15737.0,150147.0,150147.0
2013-11-01,16481.0,157245.0,157245.0
2013-12-01,17828.0,170097.0,170097.0
2014-01-01,18716.0,177989.0,177989.0
2014-02-01,16310.0,155108.0,155108.0
2014-03-01,17313.0,164647.0,164647.0
2014-04-01,14186.0,134909.0,134909.0
2014-05-01,8384.0,79732.0,79732.0
2014-06-01,9256.0,88025.0,88025.0
2014-07-01,9896.0,94111.0,94111.0
2014-08-01,9403.0,89423.0,89423.0
2014-09-01,9325.0,88681.0,88681.0
2014-10-01,9468.0,90041.0,90041.0
2014-11-01,7762.0,73817.0,73817.0
2014-12-01,8489.0,80730.0,80730.0
2015-01-01,9262.0,86313.0,86313.0
2015-02-01,9411.0,87701.0,87701.0
2015-03-01,9299.0,86657.0,86657.0
2015-04-01,9680.0,90208.0,90208.0
2015-05-01,8323.0,77562.0,77562.0
2015-06-01,7705.0,71803.0,71803.0
2015-07-01,9535.0,88857.0,88857.0
2015-08-01,8509.0,79295.0,79295.0
2015-09-01,8317.0,77506.0,77506.0
2015-10-01,9539.0,88894.0,88894.0
2015-11-01,6869.0,64012.0,64012.0
2015-12-01,6228.0,58039.0,58039.0
2016-01-01,6354.0,58660.0,58660.0
2016-02-01,6456.0,59602.0,59602.0
2016-03-01,5609.0,51782.0,51782.0
2016-04-01,6287.0,58042.0,58042.0
2016-05-01,6268.0,57866.0,57866.0
2016-06-01,5396.0,49816.0,49816.0
2016-07-01,5099.0,47074.0,47074.0
2016-08-01,5066.0,46769.0,46769.0
2016-09-01,5483.0,50619.0,50619.0
2016-10-01,5971.0,55124.0,55124.0
2016-11-01,6396.0,59048.0,59048.0
2016-12-01,6500.0,60008.0,60008.0
2017-01-01,4803.211,44252.0,44252.0
2017-02-01,4204.97,38740.0,38740.0
2017-03-01,4703.744,43336.0,43336.0
2017-04-01,4559.865,42010.0,42010.0
2017-05-01,4423.895,40757.0,40757.0
2017-06-01,4403.469,40569.0,40569.0
2017-07-01,4669.522,43020.0,43020.0
2017-08-01,4641.065,42758.0,42758.0
2017-09-01,4560.766,42018.0,42018.0
2017-10-01,4099.069,37765.0,37765.0
2017-11-01,4439.704,40903.0,40903.0
2017-12-01,4606.72,42442.0,42442.0
2018-01-01,4659.659,42422.0,42422.0
2018-02-01,4437.475,40399.0,40399.0
2018-03-01,4738.582,43140.0,43140.0
2018-04-01,4117.302,37484.0,37484.0
2018-05-01,4844.878,44108.0,44108.0
2018-06-01,4626.54,42120.0,42120.0
2018-07-01,4819.211,43874.0,43874.0
2018-08-01,4793.587,43641.0,43641.0
2018-09-01,4648.522,42320.0,42320.0
2018-10-01,4457.661,40583.0,40583.0
2018-11-01,4622.344,42082.0,42082.0
2018-12-01,4902.239,44630.0,44630.0
2019-01-01,4933.648,43934.0,43934.0
2019-02-01,4588.132,40857.0,40857.0
2019-03-01,5060.451,45063.0,45063.0
2019-04-01,4627.03,41204.0,41204.0
2019-05-01,4914.429,43763.0,43763.0
2019-06-01,4817.744,42902.0,42902.0
2019-07-01,4995.311,44483.0,44483.0
2019-08-01,5059.224,45052.0,45052.0
2019-09-01,4957.844,44150.0,44150.0
2019-10-01,3952.56,35198.0,35198.0
2019-11-01,3461.792,30827.0,30827.0
2019-12-01,4324.835,38513.0,38513.0
2020-01-01,5525.189,48439.0,48439.0
2020-02-01,6056.301,53096.0,53096.0
2020-03-01,7684.074,67366.0,67366.0
2020-04-01,7383.985,64735.0,64735.0
2020-05-01,7315.472,64135.0,64135.0
2020-06-01,6813.608,59735.0,59735.0
2020-07-01,7364.028,64560.0,64560.0
2020-08-01,7389.188,64781.0,64781.0
2020-09-01,6935.745,60806.0,60806.0
2020-10-01,6662.367,58409.0,58409.0
2020-11-01,7331.058,64271.0,64271.0
2020-12-01,7177.985,62929.0,62929.0
2021-01-01,3669.549,32453.0,32453.0
2021-02-01,3636.893,32165.0,32165.0
2021-03-01,3626.732,32075.0,32075.0
2021-04-01,3640.095,32193.0,32193.0
2021-05-01,3670.112,32458.0,32458.0
2021-06-01,3658.586,32357.0,32357.0
2021-07-01,3969.68,35108.0,35108.0
2021-08-01,3910.29,34583.0,34583.0
2021-09-01,3873.792,34260.0,34260.0
2021-10-01,3644.744,32234.0,32234.0
2021-11-01,3779.978,33430.0,33430.0
