measured_on,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Generation,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Quantity Consumed For Electricity,Distillate Fuel Oil-Combustion (Gas) Turbine (including jet engine design) Total Fuel Consumed,"Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Generation","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Quantity Consumed For Electricity","Distillate Fuel Oil-Internal Combustion Engine (diesel, piston, reciprocating) Total Fuel Consumed"
2003-01-01,88.935,1106.0,1106.0,,,
2003-02-01,83.257,1036.0,1036.0,,,
2003-03-01,80.434,1001.0,1001.0,,,
2003-04-01,77.015,958.0,958.0,,,
2003-05-01,78.13600000000001,972.0,972.0,,,
2003-06-01,81.536,1014.0,1014.0,,,
2003-07-01,94.027,1170.0,1170.0,,,
2003-08-01,95.331,1186.0,1186.0,,,
2003-09-01,82.607,1028.0,1028.0,,,
2003-10-01,85.65400000000001,1066.0,1066.0,,,
2003-11-01,87.914,1094.0,1094.0,,,
2003-12-01,91.76100000000001,1142.0,1142.0,,,
2004-01-01,-24.479000000000003,80.0,80.0,,,
2004-02-01,-0.6880000000000001,2.0,2.0,,,
2004-03-01,-7.734,25.0,25.0,,,
2004-04-01,-0.922,3.0,3.0,,,
2004-05-01,-6.948,23.0,23.0,,,
2004-06-01,-27.393,90.0,90.0,,,
2004-07-01,-22.679000000000002,74.0,74.0,,,
2004-08-01,0.0,0.0,0.0,,,
2004-09-01,-8.649000000000001,28.0,28.0,,,
2004-10-01,-3.375,11.0,11.0,,,
2004-11-01,-0.383,1.0,1.0,,,
2004-12-01,-17.752000000000002,58.0,58.0,,,
2005-01-01,-25.27,108.04,108.04,,,
2005-02-01,-8.682,37.12,37.12,,,
2005-03-01,-9.623000000000001,41.14,41.14,,,
2005-04-01,-11.656,49.84,49.84,,,
2005-05-01,-10.825,46.28,46.28,,,
2005-06-01,-14.05,60.07,60.07,,,
2005-07-01,-14.302000000000001,61.15,61.15,,,
2005-08-01,-16.801000000000002,71.83,71.83,,,
2005-09-01,-10.998000000000001,47.02,47.02,,,
2005-10-01,-12.213000000000001,52.22,52.22,,,
2005-11-01,-9.819,41.98,41.98,,,
2005-12-01,-20.761,88.76,88.76,,,
2006-01-01,-20.097,76.0,76.0,,,
2006-02-01,-10.516,40.0,40.0,,,
2006-03-01,-8.833,33.0,33.0,,,
2006-04-01,-16.921,64.0,64.0,,,
2006-05-01,-15.817,60.0,60.0,,,
2006-06-01,-14.376000000000001,54.0,54.0,,,
2006-07-01,-20.825,79.0,79.0,,,
2006-08-01,-20.2,76.0,76.0,,,
2006-09-01,-9.28,35.0,35.0,,,
2006-10-01,-9.803,37.0,37.0,,,
2006-11-01,-11.543000000000001,44.0,44.0,,,
2006-12-01,-12.79,48.0,48.0,,,
2007-01-01,-30.091,81.0,81.0,,,
2007-02-01,-64.555,180.0,180.0,,,
2007-03-01,-10.514000000000001,29.0,29.0,,,
2007-04-01,-7.457000000000001,23.0,23.0,,,
2007-05-01,-9.198,23.0,23.0,,,
2007-06-01,-9.814,29.0,29.0,,,
2007-07-01,-7.771000000000001,23.0,23.0,,,
2007-08-01,-0.6880000000000001,0.0,0.0,,,
2007-09-01,-2.498,6.0,6.0,,,
2007-10-01,-2.192,6.0,6.0,,,
2007-11-01,-8.519,23.0,23.0,,,
2007-12-01,-13.7,41.0,41.0,,,
2008-01-01,-26.999000000000002,41.0,41.0,0.0,0.0,0.0
2008-02-01,-34.51,58.0,58.0,0.0,0.0,0.0
2008-03-01,-13.648000000000001,23.0,23.0,0.0,0.0,0.0
