measured_on,"Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Natural Gas-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed"
2004-01-01,1319.395,7877.28,129197.12
2004-02-01,1313.316,7840.98,128601.86
2004-03-01,1274.199,7607.44,124771.47
2004-04-01,1153.53,6887.01,112955.39
2004-05-01,1470.601,8780.04,144003.45
2004-06-01,1965.028,11731.95,192418.43
2004-07-01,2161.235,12903.37,211631.27
2004-08-01,2341.634,13980.43,229296.26
2004-09-01,2022.455,12074.81,198041.78
2004-10-01,2160.935,12901.58,211601.97
2004-11-01,1380.8870000000002,8244.41,135218.46
2004-12-01,1438.183,8586.49,140829.04
2005-01-01,2135.505,12749.76,138769.78
2005-02-01,1927.516,11507.99,125254.2
2005-03-01,2080.181,12419.45,135174.66
2005-04-01,2090.1710000000003,12479.1,135823.86
2005-05-01,2295.647,13705.87,149176.15
2005-06-01,2948.626,17604.39,191608.08
2005-07-01,3775.77,22542.74,245357.72
2005-08-01,3912.8990000000003,23361.46,254268.7
2005-09-01,2951.161,17619.53,191772.88
2005-10-01,2290.672,13676.16,148852.81
2005-11-01,2043.826,12202.4,132812.24
2005-12-01,2331.945,13922.58,151534.85
2006-01-01,2350.4770000000003,14033.22,149595.63
2006-02-01,2072.356,12372.73,131894.68
2006-03-01,2295.415,13704.48,146091.2
2006-04-01,2187.075,13057.65,139195.96
2006-05-01,2549.217,15219.77,162244.38
2006-06-01,2702.047,16132.22,171971.22
2006-07-01,3042.385,18164.17,193632.0
2006-08-01,3142.969,18764.69,200033.65
2006-09-01,2559.12,15278.9,162874.7
2006-10-01,2682.693,16016.67,170739.48
2006-11-01,2266.115,13529.55,144226.43
2006-12-01,2541.2,15171.91,161734.15
2007-01-01,2142.1040000000003,12679.0,93259.0
2007-02-01,1924.659,11391.0,83791.0
2007-03-01,2213.226,13099.0,96355.0
2007-04-01,2206.9610000000002,13062.0,96081.0
2007-05-01,2503.5820000000003,14817.0,108995.0
2007-06-01,2756.6110000000003,16315.0,120011.0
2007-07-01,2842.5040000000004,16824.0,123751.0
2007-08-01,3678.57,21772.0,160149.0
2007-09-01,2774.725,16423.0,120800.0
2007-10-01,2715.359,16071.0,118215.0
2007-11-01,2038.258,12064.0,88737.0
2007-12-01,2077.4410000000003,12296.0,90443.0
2008-01-01,2496.657,14906.0,164746.0
2008-02-01,1942.6940000000002,11599.0,128191.0
2008-03-01,2173.335,12976.0,143410.0
2008-04-01,1939.3220000000001,11578.0,127969.0
2008-05-01,2658.0750000000003,15870.0,175396.0
2008-06-01,2789.184,16652.0,184048.0
2008-07-01,3279.203,19578.0,216382.0
2008-08-01,3016.672,18010.0,199058.0
2008-09-01,2313.7780000000002,13814.0,152678.0
2008-10-01,2343.341,13990.0,154628.0
2008-11-01,1984.89,11850.0,130975.0
2008-12-01,2138.849,12770.0,141134.0
2009-01-01,2322.28,13654.0,159463.0
2009-02-01,1928.375,11338.0,132412.0
2009-03-01,2071.1220000000003,12177.0,142214.0
2009-04-01,2004.4160000000002,11785.0,137633.0
2009-05-01,2348.415,13807.0,161255.0
2009-06-01,2862.154,16828.0,196530.0
2009-07-01,3159.4860000000003,18576.0,216947.0
2009-08-01,3140.088,18462.0,215615.0
