measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Generation","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Quantity Consumed For Electricity","Wood Waste Solids - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Wood and Wood-derived Fuels - Total Fuel Consumed"
2003-01-01,,,,11500.0,144252.0,144252.0
2003-02-01,,,,8343.0,110592.0,110592.0
2003-03-01,,,,4794.0,71433.0,71433.0
2003-04-01,,,,4653.0,56304.0,56304.0
2003-05-01,,,,0.0,0.0,0.0
2003-06-01,,,,7970.0,90099.0,90099.0
2003-07-01,,,,10754.0,134829.0,134829.0
2003-08-01,,,,11209.0,145953.0,145953.0
2003-09-01,,,,4324.0,56070.0,56070.0
2003-10-01,,,,8847.0,122058.0,122058.0
2003-11-01,,,,10376.0,148581.0,148581.0
2003-12-01,,,,8919.0,142695.0,142695.0
2004-01-01,,,,6729.719,101654.0,101654.0
2004-02-01,,,,7440.131,112385.0,112385.0
2004-03-01,,,,7759.764,117213.0,117213.0
2004-04-01,,,,5383.162,81314.0,81314.0
2004-05-01,,,,6833.862,103227.0,103227.0
2004-06-01,,,,6028.715,91065.0,91065.0
2004-07-01,,,,6256.921,94513.0,94513.0
2004-08-01,,,,7650.447,115562.0,115562.0
2004-09-01,,,,7791.878000000001,117699.0,117699.0
2004-10-01,,,,7478.322,112962.0,112962.0
2004-11-01,,,,7593.963000000001,114709.0,114709.0
2004-12-01,,,,9990.116,150904.0,150904.0
2005-01-01,,,,8804.735,136691.22,136691.22
2005-02-01,,,,8171.3060000000005,126857.4,126857.4
2005-03-01,,,,8834.497000000001,137153.26,137153.26
2005-04-01,,,,7595.686000000001,117921.05,117921.05
2005-05-01,,,,8429.48,130865.48,130865.48
2005-06-01,,,,8160.919000000001,126696.13,126696.13
2005-07-01,,,,9038.259,140316.62,140316.62
2005-08-01,,,,9305.571,144466.56,144466.56
2005-09-01,,,,8759.84,135994.23,135994.23
2005-10-01,,,,8349.627,129625.79,129625.79
2005-11-01,,,,8503.591,132016.03,132016.03
2005-12-01,,,,9186.488000000001,142617.83,142617.83
2006-01-01,,,,6436.696,116104.0,116104.0
2006-02-01,,,,5887.679,106201.0,106201.0
2006-03-01,,,,5920.966,106801.0,106801.0
2006-04-01,,,,3903.257,70406.0,70406.0
2006-05-01,,,,5171.177000000001,93277.0,93277.0
2006-06-01,,,,5193.347000000001,93677.0,93677.0
2006-07-01,,,,5940.301,107150.0,107150.0
2006-08-01,,,,6608.69,119207.0,119207.0
2006-09-01,,,,5639.533,101725.0,101725.0
2006-10-01,,,,6069.59,109482.0,109482.0
2006-11-01,,,,5708.876,102976.0,102976.0
2006-12-01,,,,6215.888,112121.0,112121.0
2007-01-01,,,,8813.0,148588.0,148588.0
2007-02-01,,,,8037.0,136060.0,136060.0
2007-03-01,,,,7688.0,137342.0,137342.0
2007-04-01,,,,4032.0,67904.0,67904.0
2007-05-01,,,,7263.0,120170.0,120170.0
2007-06-01,,,,8506.0,134461.0,134461.0
2007-07-01,,,,10071.0,160129.0,160129.0
2007-08-01,,,,10089.0,160428.0,160428.0
2007-09-01,,,,9297.0,145579.0,145579.0
2007-10-01,,,,9322.0,142845.0,142845.0
2007-11-01,,,,2560.0,38148.0,38148.0
2007-12-01,,,,10092.0,160160.0,160160.0
2008-01-01,,,,10382.0,179802.0,179802.0
2008-02-01,,,,10555.0,171292.0,171292.0
2008-03-01,,,,9419.0,159394.0,159394.0
2008-04-01,,,,8222.0,133056.0,133056.0
2008-05-01,,,,7530.0,118307.0,118307.0
2008-06-01,,,,8283.0,128533.0,128533.0
2008-07-01,,,,11429.0,170148.0,170148.0
2008-08-01,,,,10550.0,150348.0,150348.0
2008-09-01,,,,7375.0,98498.0,98498.0
2008-10-01,,,,6328.0,85774.0,85774.0
2008-11-01,,,,10309.0,155470.0,155470.0
2008-12-01,,,,10555.0,183445.0,183445.0
2009-01-01,,,,10046.0,186173.0,186173.0
2009-02-01,,,,5504.0,103101.0,103101.0
2009-03-01,,,,10231.0,183357.0,183357.0
2009-04-01,,,,0.0,0.0,0.0
2009-05-01,,,,0.0,0.0,0.0
2009-06-01,,,,0.0,0.0,0.0
2009-07-01,,,,0.0,0.0,0.0
2009-08-01,,,,0.0,0.0,0.0
2009-09-01,,,,0.0,0.0,0.0
