measured_on,"Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Generation","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Quantity Consumed For Electricity","Geothermal-Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) Total Fuel Consumed",Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Generation,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Quantity Consumed For Electricity,Geothermal-Turbines Used in a Binary Cycle (including those used for geothermal applications) Total Fuel Consumed
2003-01-01,27564.0,282282.92,282282.92,,,
2003-02-01,24864.0,254632.22,254632.22,,,
2003-03-01,28092.0,287690.17,287690.17,,,
2003-04-01,26352.0,269870.83,269870.83,,,
2003-05-01,27836.0,285068.48,285068.48,,,
2003-06-01,26831.0,274776.27,274776.27,,,
2003-07-01,27818.0,284884.14,284884.14,,,
2003-08-01,27516.0,281791.36,281791.36,,,
2003-09-01,27060.0,277121.46,277121.46,,,
2003-10-01,27419.0,280797.98,280797.98,,,
2003-11-01,26752.0,273967.23,273967.23,,,
2003-12-01,27922.0,285949.2,285949.2,,,
2004-01-01,27439.0,274993.66,274993.66,,,
2004-02-01,25523.0,255791.51,255791.51,,,
2004-03-01,27596.0,276567.11,276567.11,,,
2004-04-01,26514.0,265723.31,265723.31,,,
2004-05-01,25699.0,257555.38,257555.38,,,
2004-06-01,26591.0,266495.0,266495.0,,,
2004-07-01,27817.0,278781.97,278781.97,,,
2004-08-01,27759.0,278200.7,278200.7,,,
2004-09-01,27086.0,271455.89,271455.89,,,
2004-10-01,27061.0,271205.34,271205.34,,,
2004-11-01,26981.0,270403.58,270403.58,,,
2004-12-01,27821.0,278822.06,278822.06,,,
2005-01-01,27511.0,275082.49,275082.49,,,
2005-02-01,23474.0,234716.53,234716.53,,,
2005-03-01,28685.0,286821.32,286821.32,,,
2005-04-01,27841.0,278382.16,278382.16,,,
2005-05-01,26082.0,260793.92,260793.92,,,
2005-06-01,27320.0,273172.68,273172.68,,,
2005-07-01,27074.0,270712.93,270712.93,,,
2005-08-01,27717.0,277142.28,277142.28,,,
2005-09-01,27150.0,271472.85,271472.85,,,
2005-10-01,27597.0,275942.4,275942.4,,,
2005-11-01,27286.0,272832.71,272832.71,,,
2005-12-01,27093.0,270902.91,270902.91,,,
2006-01-01,27053.0,268338.71,268338.71,,,
2006-02-01,24585.0,243858.62,243858.62,,,
2006-03-01,24385.0,241874.82,241874.82,,,
2006-04-01,25697.0,254888.54,254888.54,,,
2006-05-01,24461.0,242628.66,242628.66,,,
2006-06-01,27418.0,271959.14,271959.14,,,
2006-07-01,29707.0,294663.73,294663.73,,,
2006-08-01,31931.0,316723.59,316723.59,,,
2006-09-01,31639.0,313827.24,313827.24,,,
2006-10-01,32878.0,326116.88,326116.88,,,
2006-11-01,32133.0,318727.23,318727.23,,,
2006-12-01,31721.0,314640.6,314640.6,,,
2007-01-01,32115.0,317424.66,317424.66,,,
2007-02-01,1700.0,16802.8,16802.8,,,
2007-03-01,33291.0,329048.24,329048.24,,,
2007-04-01,32258.0,318838.07,318838.07,,,
2007-05-01,31280.0,309171.52,309171.52,,,
2007-06-01,31095.0,307342.98,307342.98,,,
2007-07-01,30725.0,303685.9,303685.9,,,
2007-08-01,30445.0,300918.38,300918.38,,,
2007-09-01,30449.0,300957.92,300957.92,,,
2007-10-01,32737.0,323572.51,323572.51,,,
2007-11-01,30662.0,303063.21,303063.21,,,
2007-12-01,27921.0,275971.16,275971.16,,,
2008-01-01,28322.311,279088.05,279088.05,3769.3880000000004,37143.55,37143.55
2008-02-01,25618.657,252446.25,252446.25,3409.56,33597.8,33597.8
