measured_on,"Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Generation","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Quantity Consumed For Electricity","Distillate Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Distillate Fuel Oil - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Other - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Generation","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Quantity Consumed For Electricity","Residual Fuel Oil - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Residual Fuel Oil - Total Fuel Consumed","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Generation","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Quantity Consumed For Electricity","Waste heat not directly attributed to a fuel source - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Other - Total Fuel Consumed"
2004-12-01,,,,287.12865999999997,1482.32,7430.99,1515.61391,7824.43,39224.64,137.17343,708.16,3550.1,,,
2005-01-01,,,,145.72565,752.32,7622.05,670.35846,3460.76,35062.48,76.32090000000001,394.01,3991.89,,,
2005-02-01,,,,131.53253,679.04,6879.7,672.2374,3470.46,35160.8,63.784079999999996,329.29,3336.17,,,
2005-03-01,,,,141.95010000000002,732.82,7424.58,819.19774,4229.14,42847.44,64.36416,332.28,3366.51,,,
2005-04-01,,,,142.63208,736.34,7460.24,744.60562,3844.06,38945.92,55.2483,285.22,2889.71,,,
2005-05-01,,,,156.65362,808.73,8193.63,787.57878,4065.91,41193.6,60.415600000000005,311.9,3159.98,,,
2005-06-01,,,,201.21241,1038.77,10524.24,754.3821,3894.53,39457.28,60.62348,312.97,3170.86,,,
2005-07-01,,,,257.65607,1330.16,13476.49,892.57593,4607.96,46685.44,75.0,387.19,3922.81,,,
2005-08-01,,,,267.01389,1378.47,13965.92,862.25119,4451.41,45099.28,84.13593,434.36,4400.65,,,
2005-09-01,,,,201.38533,1039.66,10533.29,746.81788,3855.48,39061.68,89.39278,461.49,4675.61,,,
2005-10-01,,,,156.31405,806.98,8175.87,623.58199,3219.27,32615.92,78.45196,405.01,4103.36,,,
2005-11-01,,,,139.4694,720.02,7294.83,730.75356,3772.55,38221.44,50.41704,260.28,2637.02,,,
2005-12-01,,,,159.13049,821.52,8323.19,694.87407,3587.32,36344.8,56.464439999999996,291.5,2953.32,,,
2006-01-01,,,,394.14674,2034.8,23218.7,570.53226,2945.4,33609.36,0.0,0.0,0.0,,,
2006-02-01,,,,347.50911,1794.03,20471.34,525.15489,2711.14,30936.24,0.0,0.0,0.0,,,
2006-03-01,,,,384.91328999999996,1987.13,22674.78,662.30771,3419.2,39015.76,0.0,0.0,0.0,,,
2006-04-01,,,,366.74613,1893.34,21604.58,594.26087,3067.9,35007.2,0.0,0.0,0.0,,,
2006-05-01,,,,427.47291,2206.85,25181.91,638.63209,3296.97,37621.04,0.0,0.0,0.0,,,
2006-06-01,,,,453.10113,2339.15,26691.61,533.24387,2752.89,31412.72,0.0,0.0,0.0,,,
2006-07-01,,,,510.17139,2633.78,30053.58,610.09161,3149.63,35939.76,0.0,0.0,0.0,,,
2006-08-01,,,,527.03804,2720.86,31047.18,579.87396,2993.63,34159.68,0.0,0.0,0.0,,,
2006-09-01,,,,429.13369,2215.42,25279.75,587.88231,3034.97,34631.44,0.0,0.0,0.0,,,
2006-10-01,,,,449.85528,2322.4,26500.43,637.84972,3292.93,37574.96,0.0,0.0,0.0,,,
2006-11-01,,,,379.99992,1961.77,22385.35,630.53508,3255.17,37144.08,0.0,0.0,0.0,,,
2006-12-01,,,,426.12856,2199.91,25102.73,606.82944,3132.79,35747.6,0.0,0.0,0.0,,,
2007-01-01,,,,364.225,1880.0,18102.0,521.341,2688.0,25912.0,0.0,0.0,0.0,,,
2007-02-01,,,,331.303,1711.0,16466.0,756.2090000000001,3904.0,37584.0,0.0,0.0,0.0,,,
2007-03-01,,,,306.464,1582.0,15231.0,842.408,4352.0,41872.0,0.0,0.0,0.0,,,
2007-04-01,,,,305.046,1575.0,15161.0,819.792,4232.0,40744.0,0.0,0.0,0.0,,,
2007-05-01,,,,340.25300000000004,1756.0,16910.0,727.405,3752.0,36152.0,0.0,0.0,0.0,,,
2007-06-01,,,,402.29400000000004,2077.0,19994.0,846.06,4368.0,42048.0,0.0,0.0,0.0,,,
2007-07-01,,,,548.0120000000001,2829.0,27237.0,957.805,4944.0,47600.0,0.0,0.0,0.0,,,
2007-08-01,,,,607.527,3136.0,30195.0,910.4720000000001,4704.0,45248.0,0.0,0.0,0.0,,,
2007-09-01,,,,478.744,2471.0,23795.0,819.354,4232.0,40720.0,0.0,0.0,0.0,,,
2007-10-01,,,,453.707,2342.0,22549.0,827.893,4272.0,41144.0,0.0,0.0,0.0,,,
2007-11-01,,,,431.36,2227.0,21439.0,596.4010000000001,3080.0,29640.0,0.0,0.0,0.0,,,
2007-12-01,,,,480.685,2481.0,23891.0,827.7090000000001,4272.0,41136.0,0.0,0.0,0.0,,,
2008-01-01,,,,214.679,1108.0,10777.0,1002.426,5175.0,50328.0,0.0,0.0,0.0,,,
2008-02-01,,,,179.882,929.0,9031.0,1016.378,5247.0,51024.0,0.0,0.0,0.0,,,
2008-03-01,,,,168.81900000000002,872.0,8475.0,1074.2640000000001,5546.0,53928.0,0.0,0.0,0.0,,,
2008-04-01,,,,192.04600000000002,991.0,9641.0,1057.924,5462.0,53112.0,0.0,0.0,0.0,,,
2008-05-01,,,,152.64700000000002,788.0,7663.0,904.9050000000001,4672.0,45424.0,0.0,0.0,0.0,,,
2008-06-01,,,,167.073,863.0,8387.0,983.238,5076.0,49360.0,0.0,0.0,0.0,,,
2008-07-01,,,,218.834,1130.0,10986.0,1058.526,5465.0,53136.0,0.0,0.0,0.0,,,
2008-08-01,,,,256.012,1322.0,12852.0,763.605,3942.0,38336.0,0.0,0.0,0.0,,,
2008-09-01,,,,230.585,1190.0,11576.0,389.084,2009.0,19536.0,0.0,0.0,0.0,,,
2008-10-01,,,,214.966,1110.0,10791.0,758.13,3914.0,38056.0,0.0,0.0,0.0,,,
2008-11-01,,,,187.209,966.0,9398.0,967.072,4993.0,48544.0,0.0,0.0,0.0,,,
2008-12-01,,,,209.42100000000002,1081.0,10513.0,958.135,4946.0,48096.0,0.0,0.0,0.0,,,
2009-01-01,,,,409.46200000000005,2114.0,19830.0,646.258,3336.0,31304.0,0.0,0.0,0.0,,,
2009-02-01,,,,376.75300000000004,1945.0,18246.0,545.676,2817.0,26424.0,0.0,0.0,0.0,,,
2009-03-01,,,,350.567,1810.0,16977.0,661.5210000000001,3415.0,32040.0,0.0,0.0,0.0,,,
2009-04-01,,,,301.144,1555.0,14584.0,622.975,3216.0,30168.0,0.0,0.0,0.0,,,
2009-05-01,,,,305.954,1580.0,14818.0,758.046,3913.0,36712.0,0.0,0.0,0.0,,,
2009-06-01,,,,283.565,1464.0,13733.0,694.349,3585.0,33624.0,0.0,0.0,0.0,,,
2009-07-01,,,,518.868,2679.0,25129.0,697.539,3601.0,33784.0,0.0,0.0,0.0,,,
2009-08-01,,,,532.058,2747.0,25768.0,685.176,3537.0,33184.0,0.0,0.0,0.0,,,
2009-09-01,,,,557.556,2878.0,27002.0,476.208,2458.0,23064.0,0.0,0.0,0.0,,,
2009-10-01,,,,436.0,2251.0,21116.0,630.605,3256.0,30536.0,0.0,0.0,0.0,,,
2009-11-01,,,,398.16200000000003,2056.0,19283.0,777.778,4015.0,37664.0,0.0,0.0,0.0,,,
2009-12-01,,,,457.026,2359.0,22134.0,675.904,3489.0,32736.0,0.0,0.0,0.0,,,
2010-01-01,,,,203.103,1049.0,12814.0,851.129,4394.0,53705.0,0.0,0.0,0.0,,,
2010-02-01,,,,187.512,968.0,11830.0,636.157,3284.0,40134.0,0.0,0.0,0.0,,,
2010-03-01,,,,199.686,1031.0,12598.0,811.5350000000001,4190.0,51199.0,0.0,0.0,0.0,,,
2010-04-01,,,,168.197,868.0,10611.0,708.544,3658.0,44703.0,0.0,0.0,0.0,,,
2010-05-01,,,,122.50800000000001,632.0,7729.0,840.248,4338.0,53014.0,0.0,0.0,0.0,,,
2010-06-01,,,,114.357,590.0,7215.0,836.236,4317.0,52757.0,0.0,0.0,0.0,,,
2010-07-01,,,,188.79,975.0,11911.0,898.759,4640.0,56700.0,0.0,0.0,0.0,,,
2010-08-01,,,,222.842,1150.0,14060.0,830.412,4287.0,52388.0,0.0,0.0,0.0,,,
2010-09-01,,,,206.495,1066.0,13027.0,577.894,2983.0,36456.0,0.0,0.0,0.0,,,
2010-10-01,,,,231.823,1197.0,14625.0,786.933,4063.0,49649.0,0.0,0.0,0.0,,,
2010-11-01,,,,195.217,1008.0,12317.0,730.0690000000001,3769.0,46060.0,0.0,0.0,0.0,,,
2010-12-01,,,,182.88,944.0,11537.0,704.004,3634.0,44414.0,0.0,0.0,0.0,,,
2011-01-01,,,,13.782,1440.0,15504.0,30.117,3147.0,33863.0,0.0,0.0,0.0,,,
2011-02-01,,,,13.591,1420.0,15286.0,38.922,4067.0,43780.0,0.0,0.0,0.0,,,
2011-03-01,,,,10.811,1130.0,12159.0,43.475,4543.0,48903.0,0.0,0.0,0.0,,,
2011-04-01,,,,9.212,963.0,10361.0,35.699,3730.0,40150.0,0.0,0.0,0.0,,,
2011-05-01,,,,8.219,859.0,9245.0,43.405,4535.0,48822.0,0.0,0.0,0.0,,,
2011-06-01,,,,9.146,956.0,10288.0,40.07,4187.0,45072.0,0.0,0.0,0.0,,,
2011-07-01,,,,14.664,1532.0,16493.0,44.949,4697.0,50557.0,0.0,0.0,0.0,,,
2011-08-01,,,,18.004,1881.0,20249.0,41.467,4333.0,46638.0,0.0,0.0,0.0,,,
2011-09-01,,,,18.277,1910.0,20557.0,24.946,2607.0,28057.0,0.0,0.0,0.0,,,
2011-10-01,,,,14.638,1530.0,16464.0,37.359,3904.0,42021.0,0.0,0.0,0.0,,,
2011-11-01,,,,14.431,1508.0,16232.0,39.879,4167.0,44856.0,0.0,0.0,0.0,,,
2011-12-01,,,,18.776,1962.0,21118.0,43.161,4510.0,48549.0,0.0,0.0,0.0,,,
2012-01-01,,,,23.403,1934.0,14974.0,78.33,6473.0,50112.0,0.0,0.0,0.0,,,
2012-02-01,,,,23.401,1934.0,14974.0,70.699,5843.0,45240.0,0.0,0.0,0.0,,,
2012-03-01,,,,22.257,1839.0,14242.0,72.244,5970.0,46224.0,0.0,0.0,0.0,,,
2012-04-01,,,,20.622,1704.0,13195.0,62.746,5185.0,40152.0,0.0,0.0,0.0,,,
2012-05-01,,,,20.478,1692.0,13103.0,69.858,5773.0,44696.0,0.0,0.0,0.0,,,
2012-06-01,,,,21.679,1792.0,13872.0,73.251,6054.0,46872.0,0.0,0.0,0.0,,,
2012-07-01,,,,25.64,2119.0,16406.0,67.875,5609.0,43432.0,0.0,0.0,0.0,,,
2012-08-01,,,,33.762,2790.0,21603.0,68.595,5669.0,43888.0,0.0,0.0,0.0,,,
2012-09-01,,,,30.671,2535.0,19625.0,59.492,4917.0,38064.0,0.0,0.0,0.0,,,
2012-10-01,,,,28.381,2345.0,18160.0,55.034,4548.0,35216.0,0.0,0.0,0.0,,,
2012-11-01,,,,24.505,2025.0,15679.0,59.396,4909.0,38008.0,0.0,0.0,0.0,,,
2012-12-01,,,,23.117,1910.0,14791.0,71.564,5914.0,45792.0,0.0,0.0,0.0,,,
2013-01-01,,,,23.896,1645.0,16494.0,70.688,4866.0,48792.0,0.0,0.0,0.0,,,
2013-02-01,,,,22.012,1515.0,15193.0,63.149,4347.0,43584.0,0.0,0.0,0.0,,,
2013-03-01,,,,21.229,1461.0,14652.0,52.024,3581.0,35912.0,0.0,0.0,0.0,,,
2013-04-01,,,,18.268,1258.0,12609.0,30.028,2067.0,20728.0,0.0,0.0,0.0,,,
2013-05-01,,,,19.292,1328.0,13316.0,39.595,2726.0,27328.0,0.0,0.0,0.0,,,
2013-06-01,,,,22.824,1571.0,15754.0,71.37,4913.0,49264.0,0.0,0.0,0.0,,,
2013-07-01,,,,28.961,1994.0,19990.0,72.537,4993.0,50064.0,0.0,0.0,0.0,,,
2013-08-01,,,,29.536,2033.0,20386.0,72.372,4982.0,49952.0,0.0,0.0,0.0,,,
2013-09-01,,,,29.463,2028.0,20336.0,71.301,4908.0,49216.0,0.0,0.0,0.0,,,
2013-10-01,,,,25.564,1760.0,17645.0,64.228,4421.0,44328.0,0.0,0.0,0.0,,,
2013-11-01,,,,25.216,1736.0,17404.0,63.601,4378.0,43896.0,0.0,0.0,0.0,,,
2013-12-01,,,,29.364,2021.0,20268.0,67.482,4645.0,46576.0,0.0,0.0,0.0,,,
2014-01-01,,,,31.468,3087.0,35056.0,42.184,4138.0,46992.0,0.0,0.0,0.0,,,
2014-02-01,,,,29.386,2883.0,32737.0,36.535,3584.0,40704.0,0.0,0.0,0.0,,,
2014-03-01,,,,25.5,2502.0,28408.0,40.093,3933.0,44664.0,0.0,0.0,0.0,,,
2014-04-01,,,,24.247,2379.0,27013.0,36.113,3543.0,40232.0,0.0,0.0,0.0,,,
2014-05-01,,,,24.45,2399.0,27238.0,35.594,3492.0,39656.0,0.0,0.0,0.0,,,
2014-06-01,,,,24.103,2365.0,26852.0,36.141,3546.0,40264.0,0.0,0.0,0.0,,,
2014-07-01,,,,34.103,3346.0,37992.0,41.836,4104.0,46608.0,0.0,0.0,0.0,,,
2014-08-01,,,,35.203,3453.0,39217.0,43.279,4246.0,48216.0,0.0,0.0,0.0,,,
2014-09-01,,,,36.823,3612.0,41022.0,41.867,4107.0,46640.0,0.0,0.0,0.0,,,
2014-10-01,,,,36.325,3564.0,40468.0,24.014,2356.0,26752.0,0.0,0.0,0.0,,,
2014-11-01,,,,26.252,2575.0,29246.0,37.049,3635.0,41272.0,0.0,0.0,0.0,,,
2014-12-01,,,,28.556,2801.0,31813.0,38.879,3814.0,43312.0,0.0,0.0,0.0,,,
2015-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1124.611,10480.0,10480.0
2015-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1148.399,10702.0,10702.0
2015-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1012.749,9438.0,9438.0
2015-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1022.857,9532.0,9532.0
2015-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1281.797,11945.0,11945.0
2015-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,916.906,8545.0,8545.0
2015-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1275.66,11888.0,11888.0
2015-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1246.06,11612.0,11612.0
2015-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1201.225,11194.0,11194.0
2015-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1187.564,11067.0,11067.0
2015-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1170.971,10912.0,10912.0
2015-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1275.201,11884.0,11884.0
2016-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1105.519,10206.0,10206.0
2016-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,823.532,7603.0,7603.0
2016-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,746.62,6893.0,6893.0
2016-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,673.103,6214.0,6214.0
2016-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,998.704,9220.0,9220.0
2016-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1200.676,11085.0,11085.0
2016-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1269.029,11716.0,11716.0
2016-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1087.413,10039.0,10039.0
2016-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1252.773,11566.0,11566.0
2016-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1287.815,11889.0,11889.0
2016-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1292.391,11931.0,11931.0
2016-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1334.425,12319.0,12319.0
2017-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,751.919,6927.0,6927.0
2017-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,751.963,6928.0,6928.0
2017-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,962.734,8870.0,8870.0
2017-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,946.41,8719.0,8719.0
2017-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,930.767,8575.0,8575.0
2017-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,961.082,8854.0,8854.0
2017-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,935.115,8615.0,8615.0
2017-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,935.671,8620.0,8620.0
2017-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,868.802,8004.0,8004.0
2017-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,700.042,6449.0,6449.0
2017-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,896.216,8257.0,8257.0
2017-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,969.279,8930.0,8930.0
2018-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,770.57,7015.0,7015.0
2018-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,598.337,5447.0,5447.0
2018-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,870.646,7926.0,7926.0
2018-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,997.088,9077.0,9077.0
2018-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,948.086,8631.0,8631.0
2018-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,931.764,8483.0,8483.0
2018-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,937.827,8538.0,8538.0
2018-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,962.199,8760.0,8760.0
2018-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,873.866,7956.0,7956.0
2018-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,901.734,8209.0,8209.0
2018-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,888.465,8089.0,8089.0
2018-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,869.418,7915.0,7915.0
2019-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1193.772,10631.0,10631.0
2019-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,961.173,8559.0,8559.0
2019-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1090.267,9709.0,9709.0
2019-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1015.984,9047.0,9047.0
2019-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,933.134,8310.0,8310.0
2019-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1100.856,9803.0,9803.0
2019-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1135.137,10108.0,10108.0
2019-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1238.995,11033.0,11033.0
2019-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1113.978,9920.0,9920.0
2019-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1209.398,10770.0,10770.0
2019-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1029.514,9168.0,9168.0
2019-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1090.792,9714.0,9714.0
2020-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,854.299,7490.0,7490.0
2020-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,660.087,5787.0,5787.0
2020-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1012.884,8880.0,8880.0
2020-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,898.18,7874.0,7874.0
2020-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,870.187,7629.0,7629.0
2020-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,772.824,6775.0,6775.0
2020-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,913.701,8010.0,8010.0
2020-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,910.608,7983.0,7983.0
2020-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,984.444,8631.0,8631.0
2020-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1051.347,9217.0,9217.0
2020-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1036.335,9086.0,9086.0
2020-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,968.104,8487.0,8487.0
2021-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,965.998,8543.0,8543.0
2021-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1031.461,9122.0,9122.0
2021-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1160.413,10263.0,10263.0
2021-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1126.965,9967.0,9967.0
2021-05-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,953.56,8433.0,8433.0
2021-06-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1100.415,9732.0,9732.0
2021-07-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1101.801,9744.0,9744.0
2021-08-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1105.077,9773.0,9773.0
2021-09-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1227.64,10857.0,10857.0
2021-10-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1060.618,9380.0,9380.0
2021-11-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1137.666,10062.0,10062.0
2021-12-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1129.386,9988.0,9988.0
2022-01-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1318.917,4500.0,4500.0
2022-02-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1385.556,4728.0,4728.0
2022-03-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1282.429,4376.0,4376.0
2022-04-01,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,1343.172,4583.0,4583.0
