measured_on,Solar - Photovoltaic - Solar - Generation,Solar - Photovoltaic - Solar - Quantity Consumed For Electricity,Solar - Photovoltaic - Solar - Total Fuel Consumed
2016-05-01,543.2,5015.0,5015.0
2016-06-01,699.524,6458.0,6458.0
2016-07-01,661.342,6106.0,6106.0
2016-08-01,642.138,5928.0,5928.0
2016-09-01,482.67,4456.0,4456.0
2016-10-01,473.125,4368.0,4368.0
2016-11-01,424.948,3923.0,3923.0
2016-12-01,309.053,2853.0,2853.0
2017-01-01,266.23,2453.0,2453.0
2017-02-01,487.928,4495.0,4495.0
2017-03-01,620.328,5715.0,5715.0
2017-04-01,646.404,5955.0,5955.0
2017-05-01,696.887,6420.0,6420.0
2017-06-01,794.758,7322.0,7322.0
2017-07-01,777.732,7165.0,7165.0
2017-08-01,777.375,7162.0,7162.0
2017-09-01,663.073,6109.0,6109.0
2017-10-01,421.252,3881.0,3881.0
2017-11-01,437.087,4027.0,4027.0
2017-12-01,286.946,2644.0,2644.0
2018-01-01,395.456,3600.0,3600.0
2018-02-01,367.568,3346.0,3346.0
2018-03-01,616.581,5613.0,5613.0
2018-04-01,613.547,5586.0,5586.0
2018-05-01,710.398,6467.0,6467.0
2018-06-01,789.046,7183.0,7183.0
2018-07-01,839.805,7646.0,7646.0
2018-08-01,730.118,6647.0,6647.0
2018-09-01,484.023,4407.0,4407.0
2018-10-01,446.916,4069.0,4069.0
2018-11-01,347.614,3165.0,3165.0
2018-12-01,330.928,3013.0,3013.0
2019-01-01,412.488,3673.0,3673.0
2019-02-01,493.659,4396.0,4396.0
2019-03-01,695.682,6195.0,6195.0
2019-04-01,660.705,5884.0,5884.0
2019-05-01,722.096,6430.0,6430.0
2019-06-01,787.105,7009.0,7009.0
2019-07-01,882.025,7854.0,7854.0
2019-08-01,791.085,7045.0,7045.0
2019-09-01,677.711,6035.0,6035.0
2019-10-01,485.94,4327.0,4327.0
2019-11-01,465.677,4147.0,4147.0
2019-12-01,289.827,2581.0,2581.0
2020-01-01,376.117,3297.0,3297.0
2020-02-01,422.572,3705.0,3705.0
2020-03-01,605.221,5306.0,5306.0
2020-04-01,629.363,5518.0,5518.0
2020-05-01,823.666,7221.0,7221.0
2020-06-01,864.625,7580.0,7580.0
2020-07-01,814.342,7139.0,7139.0
2020-08-01,703.621,6169.0,6169.0
2020-09-01,646.512,5668.0,5668.0
2020-10-01,466.861,4093.0,4093.0
2020-11-01,428.4,3756.0,3756.0
2020-12-01,296.7,2601.0,2601.0
2021-01-01,372.687,3296.0,3296.0
2021-02-01,221.939,1963.0,1963.0
2021-03-01,727.711,6436.0,6436.0
2021-04-01,717.593,6346.0,6346.0
2021-05-01,811.698,7179.0,7179.0
2021-06-01,808.325,7149.0,7149.0
2021-07-01,776.619,6868.0,6868.0
2021-08-01,679.31,6008.0,6008.0
2021-09-01,613.706,5428.0,5428.0
2021-10-01,491.774,4349.0,4349.0
2021-11-01,425.159,3760.0,3760.0
2021-12-01,381.479,3374.0,3374.0
2022-01-01,374.714,1279.0,1279.0
2022-02-01,457.43,1561.0,1561.0
2022-03-01,612.693,2091.0,2091.0
2022-04-01,725.092,2474.0,2474.0
2022-05-01,743.888,2538.0,2538.0
2022-06-01,770.895,2630.0,2630.0
2022-07-01,784.267,2676.0,2676.0
2022-08-01,803.703,2742.0,2742.0
2022-09-01,672.207,2294.0,2294.0
2022-10-01,556.871,1900.0,1900.0
2022-11-01,442.739,1511.0,1511.0
2022-12-01,335.501,1145.0,1145.0
2023-01-01,287.0,979.0,979.0
2023-02-01,477.0,1628.0,1628.0
2023-03-01,642.0,2191.0,2191.0
2023-04-01,709.0,2419.0,2419.0
2023-05-01,926.0,3160.0,3160.0
2023-06-01,695.0,2371.0,2371.0
2023-07-01,779.0,2658.0,2658.0
2023-08-01,739.0,2521.0,2521.0
2023-09-01,590.0,2013.0,2013.0
2023-10-01,466.0,1590.0,1590.0
2023-11-01,494.0,1686.0,1686.0
2023-12-01,282.0,962.0,962.0
2024-01-01,204.0,696.0,696.0
2024-02-01,517.0,1764.0,1764.0
2024-03-01,637.0,2173.0,2173.0
2024-04-01,657.0,2242.0,2242.0
2024-05-01,686.0,2341.0,2341.0
2024-06-01,820.0,2798.0,2798.0
2024-07-01,777.0,2651.0,2651.0
2024-08-01,687.0,2344.0,2344.0
2024-09-01,591.0,2016.0,2016.0
2024-10-01,691.0,2358.0,2358.0
2024-11-01,467.0,1593.0,1593.0
2024-12-01,305.0,1041.0,1041.0
