measured_on,"Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Generation","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Quantity Consumed For Electricity","Bituminous Coal - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Coal - Total Fuel Consumed","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Generation","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Quantity Consumed For Electricity","Natural Gas - Steam Turbine, including nuclear, geothermal and solar steam (does not include combined cycle) - Natural Gas - Total Fuel Consumed"
2011-01-01,3499.333,324051.0,324051.0,,,
2011-02-01,2693.642,155922.0,155922.0,,,
2011-03-01,2684.999,157440.0,157440.0,,,
2011-04-01,3390.819,158730.0,158730.0,,,
2011-05-01,2755.101,141882.0,141882.0,,,
2011-06-01,2509.264,126477.0,126477.0,,,
2011-07-01,2088.653,137727.0,137727.0,,,
2011-08-01,2706.125,154842.0,154842.0,,,
2011-09-01,375.477,139030.0,139030.0,,,
2011-10-01,2886.662,131737.0,131737.0,,,
2011-11-01,3073.92,135524.0,135524.0,,,
2011-12-01,3789.344,136176.0,136176.0,,,
2012-01-01,3841.2,45493.0,271674.0,,,
2012-02-01,2981.732,35314.0,267384.0,,,
2012-03-01,3070.079,36361.0,191667.0,,,
2012-04-01,3053.754,36167.0,197829.0,,,
2012-05-01,1976.297,23406.0,215257.0,,,
2012-06-01,2136.668,25306.0,212933.0,,,
2012-07-01,2468.931,29241.0,166192.0,,,
2012-08-01,2411.313,28558.0,157572.0,,,
2012-09-01,2470.852,29264.0,186216.0,,,
2012-10-01,1048.648,12420.0,240364.0,,,
2012-11-01,2849.21,33745.0,216134.0,,,
2012-12-01,2879.94,34109.0,200850.0,,,
2013-01-01,2411.023,28555.0,227402.0,1.251,15.0,118.0
2013-02-01,2787.781,33017.0,211056.0,0.93,11.0,70.0
2013-03-01,2913.003,34500.0,233865.0,1.508,18.0,121.0
2013-04-01,2488.411,29472.0,232592.0,0.687,8.0,64.0
2013-05-01,2837.88,33610.0,260357.0,0.767,9.0,70.0
2013-06-01,1580.893,18723.0,149689.0,0.721,9.0,68.0
2013-07-01,2522.22,29872.0,235524.0,0.488,6.0,46.0
2013-08-01,1686.3,19972.0,151053.0,0.947,11.0,85.0
2013-09-01,885.859,10492.0,132613.0,0.498,6.0,75.0
2013-10-01,1437.11,17020.0,155573.0,0.459,5.0,50.0
2013-11-01,1792.179,21226.0,174601.0,0.701,8.0,68.0
2013-12-01,1599.098,18939.0,173839.0,0.762,9.0,83.0
2014-01-01,434.731,138850.0,138850.0,0.285,91.0,91.0
2014-02-01,2066.061,169312.0,169312.0,1.465,120.0,120.0
2014-03-01,2082.938,158850.0,158850.0,1.873,143.0,143.0
2014-04-01,1994.352,175800.0,175800.0,1.151,101.0,101.0
2014-05-01,1381.278,202592.0,202592.0,0.593,87.0,87.0
2014-06-01,1146.899,172588.0,172588.0,0.66,99.0,99.0
2014-07-01,1227.648,203060.0,203060.0,0.576,95.0,95.0
2014-08-01,1521.118,174200.0,174200.0,0.958,110.0,110.0
2014-09-01,207.314,110084.0,110084.0,0.111,59.0,59.0
2014-10-01,1808.246,195208.0,195208.0,0.959,104.0,104.0
2014-11-01,2222.932,180284.0,180284.0,1.123,91.0,91.0
2014-12-01,2155.994,223236.0,223236.0,0.84,87.0,87.0
2015-01-01,2436.183,28853.0,238400.0,1.058,13.0,104.0
2015-02-01,2291.385,27138.0,225602.0,0.851,10.0,84.0
2015-03-01,2308.886,27345.0,221722.0,0.636,8.0,61.0
2015-04-01,1848.0,21887.0,225160.0,0.578,7.0,70.0
2015-05-01,1224.714,14505.0,163150.0,0.629,7.0,84.0
2015-06-01,1304.639,15452.0,201552.0,0.409,5.0,63.0
2015-07-01,269.707,3194.0,127998.0,0.137,2.0,65.0
2015-08-01,369.43,4375.0,119000.0,0.286,3.0,92.0
2015-09-01,646.889,7661.0,46358.0,1.314,16.0,94.0
2015-10-01,0.0,0.0,86190.0,0.0,0.0,57.0
2015-11-01,0.0,0.0,141466.0,0.0,0.0,98.0
2015-12-01,0.0,0.0,145530.0,0.0,0.0,98.0
