measured_on,"Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Generation","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Quantity Consumed For Electricity","Municiapl Landfill Gas - Internal Combustion Engine (diesel, piston, reciprocating) - Municipal Landfill Gas - Total Fuel Consumed"
2013-01-01,2302.331,26541.0,26541.0
2013-02-01,1986.065,22895.0,22895.0
2013-03-01,1728.661,19927.0,19927.0
2013-04-01,1603.111,18481.0,18481.0
2013-05-01,2077.027,23944.0,23944.0
2013-06-01,1507.673,17380.0,17380.0
2013-07-01,2152.55,24814.0,24814.0
2013-08-01,2306.073,26584.0,26584.0
2013-09-01,3056.741,35237.0,35237.0
2013-10-01,1544.474,17804.0,17804.0
2013-11-01,2457.965,28335.0,28335.0
2013-12-01,2370.329,27325.0,27325.0
2014-01-01,2749.294,31282.0,31282.0
2014-02-01,2380.452,27086.0,27086.0
2014-03-01,2630.176,29927.0,29927.0
2014-04-01,2530.603,28794.0,28794.0
2014-05-01,2642.924,30072.0,30072.0
2014-06-01,2370.124,26968.0,26968.0
2014-07-01,1912.567,21761.0,21761.0
2014-08-01,2040.301,23215.0,23215.0
2014-09-01,1907.82,21708.0,21708.0
2014-10-01,266.965,3038.0,3038.0
2014-11-01,403.34,4590.0,4590.0
2014-12-01,2085.434,23729.0,23729.0
2015-01-01,2380.825,28746.0,28746.0
2015-02-01,2007.696,24241.0,24241.0
2015-03-01,2444.063,29510.0,29510.0
2015-04-01,2717.769,32814.0,32814.0
2015-05-01,2922.354,35284.0,35284.0
2015-06-01,2689.72,32476.0,32476.0
2015-07-01,3067.007,37031.0,37031.0
2015-08-01,2773.484,33487.0,33487.0
2015-09-01,3017.175,36429.0,36429.0
2015-10-01,2805.69,33876.0,33876.0
2015-11-01,2660.269,32120.0,32120.0
2015-12-01,2531.948,30570.0,30570.0
2016-01-01,2237.544,27233.0,27233.0
2016-02-01,2260.43,27512.0,27512.0
2016-03-01,2425.444,29520.0,29520.0
2016-04-01,2389.259,29080.0,29080.0
2016-05-01,2531.397,30810.0,30810.0
2016-06-01,2138.476,26028.0,26028.0
2016-07-01,2401.432,29228.0,29228.0
2016-08-01,2215.325,26963.0,26963.0
2016-09-01,2062.82,25107.0,25107.0
2016-10-01,1958.011,23831.0,23831.0
2016-11-01,2259.194,27497.0,27497.0
2016-12-01,2271.668,27648.0,27648.0
2017-01-01,2395.893,29369.0,29369.0
2017-02-01,2163.645,26522.0,26522.0
2017-03-01,2359.252,28920.0,28920.0
2017-04-01,2246.958,27544.0,27544.0
2017-05-01,2423.348,29706.0,29706.0
2017-06-01,2227.259,27302.0,27302.0
2017-07-01,2141.074,26246.0,26246.0
2017-08-01,2154.849,26415.0,26415.0
2017-09-01,2054.715,25187.0,25187.0
2017-10-01,2215.411,27157.0,27157.0
2017-11-01,2127.479,26079.0,26079.0
2017-12-01,2296.117,28146.0,28146.0
2018-01-01,2910.26,35554.0,35554.0
2018-02-01,2565.098,31337.0,31337.0
2018-03-01,2762.185,33745.0,33745.0
2018-04-01,2749.461,33590.0,33590.0
2018-05-01,2889.167,35297.0,35297.0
2018-06-01,2592.492,31672.0,31672.0
2018-07-01,2663.688,32542.0,32542.0
2018-08-01,2538.868,31017.0,31017.0
2018-09-01,2418.419,29546.0,29546.0
2018-10-01,2801.606,34227.0,34227.0
2018-11-01,2724.679,33287.0,33287.0
2018-12-01,2815.077,34392.0,34392.0
2019-01-01,2708.236,34336.0,34336.0
2019-02-01,2436.958,30896.0,30896.0
2019-03-01,2769.129,35107.0,35107.0
2019-04-01,2562.476,32487.0,32487.0
2019-05-01,2717.873,34457.0,34457.0
2019-06-01,2509.61,31817.0,31817.0
2019-07-01,2521.513,31967.0,31967.0
2019-08-01,2456.257,31141.0,31141.0
2019-09-01,2308.598,29268.0,29268.0
2019-10-01,2396.384,30381.0,30381.0
2019-11-01,2359.661,29915.0,29915.0
2019-12-01,2618.305,33195.0,33195.0
2020-01-01,2536.235,31284.0,31284.0
2020-02-01,2271.805,28023.0,28023.0
2020-03-01,2584.951,31885.0,31885.0
2020-04-01,2483.265,30631.0,30631.0
2020-05-01,2442.175,30124.0,30124.0
2020-06-01,2282.987,28161.0,28161.0
2020-07-01,2234.545,27563.0,27563.0
2020-08-01,2211.401,27277.0,27277.0
2020-09-01,2211.62,27280.0,27280.0
2020-10-01,2404.367,29658.0,29658.0
2020-11-01,2276.528,28081.0,28081.0
2020-12-01,2511.121,30974.0,30974.0
2021-01-01,2963.679,35652.0,35652.0
2021-02-01,2496.457,30031.0,30031.0
2021-03-01,2694.804,32417.0,32417.0
2021-04-01,2557.934,30771.0,30771.0
2021-05-01,2689.324,32352.0,32352.0
2021-06-01,2490.564,29960.0,29960.0
2021-07-01,2565.555,30863.0,30863.0
2021-08-01,2393.465,28793.0,28793.0
2021-09-01,2434.375,29285.0,29285.0
2021-10-01,2322.431,27938.0,27938.0
2021-11-01,2107.12,25348.0,25348.0
2021-12-01,2584.292,31088.0,31088.0
2022-01-01,2411.33,28768.0,28768.0
2022-02-01,2281.214,27215.0,27215.0
2022-03-01,2523.493,30106.0,30106.0
2022-04-01,2356.129,28109.0,28109.0
2022-05-01,2340.357,27921.0,27921.0
2022-06-01,2145.677,25598.0,25598.0
2022-07-01,2149.561,25645.0,25645.0
2022-08-01,2082.207,24841.0,24841.0
2022-09-01,2206.006,26318.0,26318.0
2022-10-01,2189.439,26120.0,26120.0
2022-11-01,2197.158,26213.0,26213.0
2022-12-01,1818.429,21695.0,21695.0
2023-01-01,2717.518,32078.0,32078.0
2023-02-01,2268.519,26778.0,26778.0
2023-03-01,2611.775,30829.0,30829.0
2023-04-01,2445.314,28865.0,28865.0
2023-05-01,2575.682,30403.0,30403.0
2023-06-01,2566.449,30294.0,30294.0
2023-07-01,2516.261,29702.0,29702.0
2023-08-01,2368.872,27962.0,27962.0
2023-09-01,2048.895,24185.0,24185.0
2023-10-01,2274.174,26844.0,26844.0
2023-11-01,2242.657,26472.0,26472.0
2023-12-01,2223.884,26251.0,26251.0
2024-01-01,2340.403,28201.0,28201.0
2024-02-01,2320.5,27960.0,27960.0
2024-03-01,2449.817,29519.0,29519.0
2024-04-01,2222.958,26785.0,26785.0
2024-05-01,2337.371,28164.0,28164.0
2024-06-01,2247.309,27078.0,27078.0
2024-07-01,2282.62,27504.0,27504.0
2024-08-01,2336.732,28156.0,28156.0
2024-09-01,2048.331,24681.0,24681.0
2024-10-01,2284.675,27529.0,27529.0
2024-11-01,2123.551,25587.0,25587.0
2024-12-01,1837.733,22143.0,22143.0
